United Airlines_unscaled,United Airlines_monthly,isPartial,scale,United Airlines
84,59,,0.59,49.559999999999995
87,59,,0.59,51.33
84,59,,0.59,49.559999999999995
80,62,FALSE,0.62,49.6
82,62,,0.62,50.839999999999996
90,62,,0.62,55.8
92,62,,0.62,57.04
89,62,,0.62,55.18
100,62,,0.62,62
82,62,,0.62,50.839999999999996
84,59,FALSE,0.59,49.559999999999995
93,59,,0.59,54.87
98,59,,0.59,57.82
94,59,,0.59,55.459999999999994
87,59,,0.59,51.33
80,59,,0.59,47.199999999999996
79,59,,0.59,46.61
85,56,FALSE,0.56,47.6
85,56,,0.56,47.6
89,56,,0.56,49.84
82,56,,0.56,45.92
93,56,,0.56,52.080000000000005
81,56,,0.56,45.36000000000001
76,56,,0.56,42.56
71,50,FALSE,0.5,35.5
84,50,,0.5,42
84,50,,0.5,42
78,50,,0.5,39
79,50,,0.5,39.5
69,50,,0.5,34.5
67,50,,0.5,33.5
72,54,FALSE,0.54,38.88
100,54,,0.54,54
97,54,,0.54,52.38
80,54,,0.54,43.2
87,54,,0.54,46.980000000000004
87,54,,0.54,46.980000000000004
79,54,,0.54,42.660000000000004
80,53,FALSE,0.53,42.400000000000006
89,53,,0.53,47.17
80,53,,0.53,42.400000000000006
81,53,,0.53,42.93
85,53,,0.53,45.050000000000004
73,53,,0.53,38.690000000000005
73,53,,0.53,38.690000000000005
71,46,FALSE,0.46,32.660000000000004
79,46,,0.46,36.34
82,46,,0.46,37.72
86,46,,0.46,39.56
82,46,,0.46,37.72
80,46,,0.46,36.800000000000004
70,46,,0.46,32.2
79,49,FALSE,0.49,38.71
78,49,,0.49,38.22
82,49,,0.49,40.18
76,49,,0.49,37.24
78,49,,0.49,38.22
74,49,,0.49,36.26
64,49,,0.49,31.36
66,46,FALSE,0.46,30.360000000000003
75,46,,0.46,34.5
78,46,,0.46,35.88
85,46,,0.46,39.1
100,46,,0.46,46
86,46,,0.46,39.56
69,46,,0.46,31.740000000000002
71,47,FALSE,0.47,33.37
93,47,,0.47,43.71
91,47,,0.47,42.769999999999996
85,47,,0.47,39.949999999999996
91,47,,0.47,42.769999999999996
87,47,,0.47,40.89
84,47,,0.47,39.48
81,48,FALSE,0.48,38.879999999999995
96,48,,0.48,46.08
92,48,,0.48,44.16
89,48,,0.48,42.72
88,48,,0.48,42.239999999999995
96,48,,0.48,46.08
83,48,,0.48,39.839999999999996
91,47,FALSE,0.47,42.769999999999996
91,47,,0.47,42.769999999999996
91,47,,0.47,42.769999999999996
89,47,,0.47,41.83
89,47,,0.47,41.83
86,47,,0.47,40.419999999999995
74,47,,0.47,34.78
78,49,FALSE,0.49,38.22
86,49,,0.49,42.14
89,49,,0.49,43.61
100,49,,0.49,49
96,49,,0.49,47.04
69,49,,0.49,33.81
58,49,,0.49,28.419999999999998
62,50,FALSE,0.5,31
75,50,,0.5,37.5
70,50,,0.5,35
70,50,,0.5,35
69,50,,0.5,34.5
69,50,,0.5,34.5
70,50,,0.5,35
76,55,FALSE,0.55,41.800000000000004
79,55,,0.55,43.45
82,55,,0.55,45.1
81,55,,0.55,44.550000000000004
77,55,,0.55,42.35
71,55,,0.55,39.050000000000004
65,55,,0.55,35.75
69,52,FALSE,0.52,35.88
73,52,,0.52,37.96
76,52,,0.52,39.52
74,52,,0.52,38.480000000000004
74,52,,0.52,38.480000000000004
70,52,,0.52,36.4
63,52,,0.52,32.76
65,54,FALSE,0.54,35.1
100,54,,0.54,54
78,54,,0.54,42.120000000000005
71,54,,0.54,38.34
73,54,,0.54,39.42
68,54,,0.54,36.72
62,54,,0.54,33.480000000000004
72,50,FALSE,0.5,36
