Kaiser Permanente_unscaled,Kaiser Permanente_monthly,isPartial,scale,Kaiser Permanente
91,69.0,,0.69,62.78999999999999
86,69.0,,0.69,59.339999999999996
57,69.0,,0.69,39.33
45,63.0,False,0.63,28.35
93,63.0,,0.63,58.59
90,63.0,,0.63,56.7
85,63.0,,0.63,53.55
92,63.0,,0.63,57.96
82,63.0,,0.63,51.660000000000004
54,63.0,,0.63,34.02
42,60.0,False,0.6,25.2
88,60.0,,0.6,52.8
91,60.0,,0.6,54.6
90,60.0,,0.6,54.0
75,60.0,,0.6,45.0
82,60.0,,0.6,49.199999999999996
61,60.0,,0.6,36.6
49,61.0,False,0.61,29.89
99,61.0,,0.61,60.39
98,61.0,,0.61,59.78
90,61.0,,0.61,54.9
84,61.0,,0.61,51.24
85,61.0,,0.61,51.85
59,61.0,,0.61,35.99
41,61.0,False,0.61,25.009999999999998
88,61.0,,0.61,53.68
100,61.0,,0.61,61.0
89,61.0,,0.61,54.29
92,61.0,,0.61,56.12
89,61.0,,0.61,54.29
63,61.0,,0.61,38.43
47,59.0,False,0.59,27.729999999999997
99,59.0,,0.59,58.41
93,59.0,,0.59,54.87
94,59.0,,0.59,55.459999999999994
86,59.0,,0.59,50.739999999999995
83,59.0,,0.59,48.97
51,59.0,,0.59,30.09
47,58.0,False,0.58,27.259999999999998
96,58.0,,0.58,55.67999999999999
90,58.0,,0.58,52.199999999999996
83,58.0,,0.58,48.13999999999999
86,58.0,,0.58,49.879999999999995
81,58.0,,0.58,46.98
57,58.0,,0.58,33.059999999999995
45,56.0,False,0.56,25.200000000000003
47,56.0,,0.56,26.320000000000004
100,56.0,,0.56,56.00000000000001
96,56.0,,0.56,53.760000000000005
93,56.0,,0.56,52.080000000000005
90,56.0,,0.56,50.400000000000006
57,56.0,,0.56,31.92
44,58.0,False,0.58,25.52
92,58.0,,0.58,53.36
93,58.0,,0.58,53.94
92,58.0,,0.58,53.36
88,58.0,,0.58,51.04
86,58.0,,0.58,49.879999999999995
49,58.0,,0.58,28.419999999999998
43,62.0,False,0.62,26.66
91,62.0,,0.62,56.42
98,62.0,,0.62,60.76
88,62.0,,0.62,54.56
87,62.0,,0.62,53.94
82,62.0,,0.62,50.839999999999996
53,62.0,,0.62,32.86
42,60.0,False,0.6,25.2
98,60.0,,0.6,58.8
95,60.0,,0.6,57.0
93,60.0,,0.6,55.8
85,60.0,,0.6,51.0
82,60.0,,0.6,49.199999999999996
52,60.0,,0.6,31.2
42,59.0,False,0.59,24.779999999999998
87,59.0,,0.59,51.33
97,59.0,,0.59,57.23
89,59.0,,0.59,52.51
68,59.0,,0.59,40.12
60,59.0,,0.59,35.4
39,59.0,,0.59,23.009999999999998
30,56.0,False,0.56,16.8
47,56.0,,0.56,26.320000000000004
70,56.0,,0.56,39.2
68,56.0,,0.56,38.080000000000005
72,56.0,,0.56,40.32000000000001
66,56.0,,0.56,36.96
42,56.0,,0.56,23.520000000000003
33,69.0,False,0.69,22.77
70,69.0,,0.69,48.3
68,69.0,,0.69,46.919999999999995
72,69.0,,0.69,49.67999999999999
100,69.0,,0.69,69.0
77,69.0,,0.69,53.129999999999995
42,69.0,,0.69,28.979999999999997
35,65.0,False,0.65,22.75
74,65.0,,0.65,48.1
73,65.0,,0.65,47.45
72,65.0,,0.65,46.800000000000004
68,65.0,,0.65,44.2
64,65.0,,0.65,41.6
39,65.0,,0.65,25.35
32,66.0,False,0.66,21.12
74,66.0,,0.66,48.84
76,66.0,,0.66,50.160000000000004
70,66.0,,0.66,46.2
72,66.0,,0.66,47.52
68,66.0,,0.66,44.88
49,66.0,,0.66,32.34
39,74.0,False,0.74,28.86
86,74.0,,0.74,63.64
100,74.0,,0.74,74.0
90,74.0,,0.74,66.6
89,74.0,,0.74,65.86
80,74.0,,0.74,59.2
55,74.0,,0.74,40.7
40,69.0,False,0.69,27.599999999999998
84,69.0,,0.69,57.959999999999994
92,69.0,,0.69,63.48
88,69.0,,0.69,60.72
85,69.0,,0.69,58.65
84,69.0,,0.69,57.959999999999994
50,69.0,,0.69,34.5
40,79.0,False,0.79,31.6
93,79.0,,0.79,73.47
97,79.0,,0.79,76.63000000000001
88,79.0,,0.79,69.52000000000001
93,79.0,,0.79,73.47
78,79.0,,0.79,61.620000000000005
55,79.0,,0.79,43.45
36,76.0,False,0.76,27.36
87,76.0,,0.76,66.12
99,76.0,,0.76,75.24
86,76.0,,0.76,65.36
87,76.0,,0.76,66.12
81,76.0,,0.76,61.56
50,76.0,,0.76,38.0
41,73.0,False,0.73,29.93
86,73.0,,0.73,62.78
90,73.0,,0.73,65.7
89,73.0,,0.73,64.97
90,73.0,,0.73,65.7
85,73.0,,0.73,62.05
