Kaiser Permanente_unscaled,Kaiser Permanente_monthly,isPartial,scale,Kaiser Permanente
46,59.0,,0.59,27.139999999999997
36,61.0,False,0.61,21.96
84,61.0,,0.61,51.24
84,61.0,,0.61,51.24
98,61.0,,0.61,59.78
91,61.0,,0.61,55.51
86,61.0,,0.61,52.46
61,61.0,,0.61,37.21
52,59.0,False,0.59,30.68
95,59.0,,0.59,56.05
96,59.0,,0.59,56.64
93,59.0,,0.59,54.87
86,59.0,,0.59,50.739999999999995
82,59.0,,0.59,48.379999999999995
57,59.0,,0.59,33.629999999999995
43,63.0,False,0.63,27.09
85,63.0,,0.63,53.55
90,63.0,,0.63,56.7
95,63.0,,0.63,59.85
100,63.0,,0.63,63.0
91,63.0,,0.63,57.33
57,63.0,,0.63,35.910000000000004
47,57.0,False,0.57,26.79
78,57.0,,0.57,44.459999999999994
95,57.0,,0.57,54.15
89,57.0,,0.57,50.73
90,57.0,,0.57,51.3
87,57.0,,0.57,49.589999999999996
53,57.0,,0.57,30.209999999999997
47,59.0,False,0.59,27.729999999999997
96,59.0,,0.59,56.64
96,59.0,,0.59,56.64
95,59.0,,0.59,56.05
87,59.0,,0.59,51.33
81,59.0,,0.59,47.79
55,59.0,,0.59,32.449999999999996
46,61.0,False,0.61,28.06
91,61.0,,0.61,55.51
100,61.0,,0.61,61.0
90,61.0,,0.61,54.9
91,61.0,,0.61,55.51
83,61.0,,0.61,50.629999999999995
54,61.0,,0.61,32.94
46,58.0,False,0.58,26.68
85,58.0,,0.58,49.3
92,58.0,,0.58,53.36
92,58.0,,0.58,53.36
96,58.0,,0.58,55.67999999999999
85,58.0,,0.58,49.3
50,58.0,,0.58,28.999999999999996
45,59.0,False,0.59,26.549999999999997
93,59.0,,0.59,54.87
93,59.0,,0.59,54.87
87,59.0,,0.59,51.33
89,59.0,,0.59,52.51
81,59.0,,0.59,47.79
49,59.0,,0.59,28.91
45,59.0,False,0.59,26.549999999999997
91,59.0,,0.59,53.69
92,59.0,,0.59,54.279999999999994
93,59.0,,0.59,54.87
88,59.0,,0.59,51.919999999999995
80,59.0,,0.59,47.199999999999996
49,59.0,,0.59,28.91
45,62.0,False,0.62,27.9
87,62.0,,0.62,53.94
91,62.0,,0.62,56.42
85,62.0,,0.62,52.7
85,62.0,,0.62,52.7
79,62.0,,0.62,48.98
50,62.0,,0.62,31.0
40,59.0,False,0.59,23.599999999999998
85,59.0,,0.59,50.15
84,59.0,,0.59,49.559999999999995
84,59.0,,0.59,49.559999999999995
83,59.0,,0.59,48.97
80,59.0,,0.59,47.199999999999996
46,59.0,,0.59,27.139999999999997
41,57.0,False,0.57,23.369999999999997
84,57.0,,0.57,47.879999999999995
87,57.0,,0.57,49.589999999999996
86,57.0,,0.57,49.019999999999996
86,57.0,,0.57,49.019999999999996
78,57.0,,0.57,44.459999999999994
47,57.0,,0.57,26.79
37,59.0,False,0.59,21.83
77,59.0,,0.59,45.43
82,59.0,,0.59,48.379999999999995
100,59.0,,0.59,59.0
87,59.0,,0.59,51.33
79,59.0,,0.59,46.61
44,59.0,,0.59,25.959999999999997
40,57.0,False,0.57,22.799999999999997
95,57.0,,0.57,54.15
100,57.0,,0.57,56.99999999999999
95,57.0,,0.57,54.15
89,57.0,,0.57,50.73
78,57.0,,0.57,44.459999999999994
52,57.0,,0.57,29.639999999999997
44,56.0,False,0.56,24.64
95,56.0,,0.56,53.2
92,56.0,,0.56,51.52
90,56.0,,0.56,50.400000000000006
87,56.0,,0.56,48.720000000000006
78,56.0,,0.56,43.68000000000001
51,56.0,,0.56,28.560000000000002
41,59.0,False,0.59,24.189999999999998
94,59.0,,0.59,55.459999999999994
99,59.0,,0.59,58.41
97,59.0,,0.59,57.23
96,59.0,,0.59,56.64
87,59.0,,0.59,51.33
52,59.0,,0.59,30.68
47,62.0,False,0.62,29.14
94,62.0,,0.62,58.28
98,62.0,,0.62,60.76
92,62.0,,0.62,57.04
93,62.0,,0.62,57.66
81,62.0,,0.62,50.22
53,62.0,,0.62,32.86
42,54.0,False,0.54,22.68
52,54.0,,0.54,28.080000000000002
95,54.0,,0.54,51.300000000000004
94,54.0,,0.54,50.760000000000005
92,54.0,,0.54,49.68000000000001
87,54.0,,0.54,46.980000000000004
51,54.0,,0.54,27.540000000000003
48,59.0,False,0.59,28.32
96,59.0,,0.59,56.64
100,59.0,,0.59,59.0
93,59.0,,0.59,54.87
89,59.0,,0.59,52.51
88,59.0,,0.59,51.919999999999995
54,59.0,,0.59,31.86
42,56.0,False,0.56,23.520000000000003
95,56.0,,0.56,53.2
92,56.0,,0.56,51.52
91,56.0,,0.56,50.96000000000001
88,56.0,,0.56,49.28
79,56.0,,0.56,44.24
52,56.0,,0.56,29.120000000000005
46,56.0,False,0.56,25.76
91,56.0,,0.56,50.96000000000001
91,56.0,,0.56,50.96000000000001
91,56.0,,0.56,50.96000000000001
87,56.0,,0.56,48.720000000000006
86,56.0,,0.56,48.160000000000004
50,56.0,,0.56,28.000000000000004
46,56.0,False,0.56,25.76
89,56.0,,0.56,49.84
95,56.0,,0.56,53.2
89,56.0,,0.56,49.84
85,56.0,,0.56,47.6
88,56.0,,0.56,49.28
48,56.0,,0.56,26.880000000000003
41,53.0,False,0.53,21.73
77,53.0,,0.53,40.81
50,53.0,,0.53,26.5
79,53.0,,0.53,41.870000000000005
90,53.0,,0.53,47.7
92,53.0,,0.53,48.760000000000005
53,53.0,,0.53,28.09
42,63.0,False,0.63,26.46
95,63.0,,0.63,59.85
100,63.0,,0.63,63.0
94,63.0,,0.63,59.22
89,63.0,,0.63,56.07
84,63.0,,0.63,52.92
53,63.0,,0.63,33.39
47,59.0,False,0.59,27.729999999999997
92,59.0,,0.59,54.279999999999994
98,59.0,,0.59,57.82
96,59.0,,0.59,56.64
86,59.0,,0.59,50.739999999999995
83,59.0,,0.59,48.97
49,59.0,,0.59,28.91
40,60.0,False,0.6,24.0
93,60.0,,0.6,55.8
97,60.0,,0.6,58.199999999999996
95,60.0,,0.6,57.0
92,60.0,,0.6,55.199999999999996
81,60.0,,0.6,48.6
52,60.0,,0.6,31.2
42,59.0,False,0.59,24.779999999999998
91,59.0,,0.59,53.69
90,59.0,,0.59,53.099999999999994
87,59.0,,0.59,51.33
86,59.0,,0.59,50.739999999999995
81,59.0,,0.59,47.79
51,59.0,,0.59,30.09
43,61.0,False,0.61,26.23
89,61.0,,0.61,54.29
100,61.0,,0.61,61.0
98,61.0,,0.61,59.78
93,61.0,,0.61,56.73
83,61.0,,0.61,50.629999999999995
50,61.0,,0.61,30.5
44,61.0,False,0.61,26.84
91,61.0,,0.61,55.51
92,61.0,,0.61,56.12
95,61.0,,0.61,57.949999999999996
86,61.0,,0.61,52.46
77,61.0,,0.61,46.97
52,61.0,,0.61,31.72
42,58.0,False,0.58,24.36
88,58.0,,0.58,51.04
88,58.0,,0.58,51.04
94,58.0,,0.58,54.519999999999996
86,58.0,,0.58,49.879999999999995
81,58.0,,0.58,46.98
46,58.0,,0.58,26.68
44,56.0,False,0.56,24.64
84,56.0,,0.56,47.040000000000006
87,56.0,,0.56,48.720000000000006
91,56.0,,0.56,50.96000000000001
85,56.0,,0.56,47.6
80,56.0,,0.56,44.800000000000004
55,56.0,,0.56,30.800000000000004
43,58.0,False,0.58,24.939999999999998
56,58.0,,0.58,32.48
96,58.0,,0.58,55.67999999999999
95,58.0,,0.58,55.099999999999994
92,58.0,,0.58,53.36
85,58.0,,0.58,49.3
53,58.0,,0.58,30.74
43,60.0,False,0.6,25.8
92,60.0,,0.6,55.199999999999996
93,60.0,,0.6,55.8
99,60.0,,0.6,59.4
96,60.0,,0.6,57.599999999999994
85,60.0,,0.6,51.0
56,60.0,,0.6,33.6
42,62.0,False,0.62,26.04
88,62.0,,0.62,54.56
100,62.0,,0.62,62.0
97,62.0,,0.62,60.14
92,62.0,,0.62,57.04
86,62.0,,0.62,53.32
58,62.0,,0.62,35.96
43,62.0,False,0.62,26.66
94,62.0,,0.62,58.28
95,62.0,,0.62,58.9
96,62.0,,0.62,59.519999999999996
97,62.0,,0.62,60.14
93,62.0,,0.62,57.66
63,62.0,,0.62,39.06
33,90.0,False,0.9,29.7
69,90.0,,0.9,62.1
65,90.0,,0.9,58.5
100,90.0,,0.9,90.0
85,90.0,,0.9,76.5
65,90.0,,0.9,58.5
33,90.0,,0.9,29.7
27,66.0,False,0.66,17.82
56,66.0,,0.66,36.96
55,66.0,,0.66,36.300000000000004
53,66.0,,0.66,34.980000000000004
52,66.0,,0.66,34.32
52,66.0,,0.66,34.32
33,66.0,,0.66,21.78
26,60.0,False,0.6,15.6
51,60.0,,0.6,30.599999999999998
53,60.0,,0.6,31.799999999999997
50,60.0,,0.6,30.0
47,60.0,,0.6,28.2
44,60.0,,0.6,26.4
29,60.0,,0.6,17.4
24,57.0,False,0.57,13.68
49,57.0,,0.57,27.929999999999996
49,57.0,,0.57,27.929999999999996
48,57.0,,0.57,27.36
47,57.0,,0.57,26.79
43,57.0,,0.57,24.509999999999998
25,57.0,,0.57,14.249999999999998
21,61.0,False,0.61,12.81
46,61.0,,0.61,28.06
49,61.0,,0.61,29.89
88,61.0,,0.61,53.68
90,61.0,,0.61,54.9
95,61.0,,0.61,57.949999999999996
57,61.0,,0.61,34.769999999999996
49,60.0,False,0.6,29.4
95,60.0,,0.6,57.0
100,60.0,,0.6,60.0
83,60.0,,0.6,49.8
89,60.0,,0.6,53.4
88,60.0,,0.6,52.8
51,60.0,,0.6,30.599999999999998
43,56.0,False,0.56,24.080000000000002
81,56.0,,0.56,45.36000000000001
96,56.0,,0.56,53.760000000000005
87,56.0,,0.56,48.720000000000006
87,56.0,,0.56,48.720000000000006
73,56.0,,0.56,40.88
51,56.0,,0.56,28.560000000000002
43,43.0,False,0.43,18.49
79,43.0,,0.43,33.97
78,43.0,,0.43,33.54
78,43.0,,0.43,33.54
43,43.0,,0.43,18.49
53,43.0,,0.43,22.79
42,43.0,,0.43,18.06
41,54.0,False,0.54,22.14
86,54.0,,0.54,46.440000000000005
91,54.0,,0.54,49.14
92,54.0,,0.54,49.68000000000001
86,54.0,,0.54,46.440000000000005
95,54.0,,0.54,51.300000000000004
57,54.0,,0.54,30.78
49,57.0,False,0.57,27.929999999999996
99,57.0,,0.57,56.42999999999999
100,57.0,,0.57,56.99999999999999
100,57.0,,0.57,56.99999999999999
97,57.0,,0.57,55.28999999999999
87,57.0,,0.57,49.589999999999996
58,57.0,,0.57,33.059999999999995
49,54.0,False,0.54,26.46
88,54.0,,0.54,47.52
93,54.0,,0.54,50.220000000000006
96,54.0,,0.54,51.84
95,54.0,,0.54,51.300000000000004
93,54.0,,0.54,50.220000000000006
59,54.0,,0.54,31.860000000000003
45,51.0,False,0.51,22.95
85,51.0,,0.51,43.35
98,51.0,,0.51,49.980000000000004
91,51.0,,0.51,46.410000000000004
87,51.0,,0.51,44.37
87,51.0,,0.51,44.37
51,51.0,,0.51,26.01
37,48.0,False,0.48,17.759999999999998
35,48.0,,0.48,16.8
84,48.0,,0.48,40.32
96,48.0,,0.48,46.08
100,48.0,,0.48,48.0
94,48.0,,0.48,45.12
64,48.0,,0.48,30.72
48,59.0,False,0.59,28.32
47,59.0,,0.59,27.729999999999997
95,59.0,,0.59,56.05
100,59.0,,0.59,59.0
99,59.0,,0.59,58.41
85,59.0,,0.59,50.15
53,59.0,,0.59,31.27
41,60.0,False,0.6,24.599999999999998
87,60.0,,0.6,52.199999999999996
88,60.0,,0.6,52.8
87,60.0,,0.6,52.199999999999996
83,60.0,,0.6,49.8
78,60.0,,0.6,46.8
49,60.0,,0.6,29.4
38,55.0,False,0.55,20.900000000000002
58,55.0,,0.55,31.900000000000002
85,55.0,,0.55,46.75000000000001
86,55.0,,0.55,47.300000000000004
86,55.0,,0.55,47.300000000000004
75,55.0,,0.55,41.25
56,55.0,,0.55,30.800000000000004
41,58.0,False,0.58,23.779999999999998
81,58.0,,0.58,46.98
87,58.0,,0.58,50.459999999999994
86,58.0,,0.58,49.879999999999995
82,58.0,,0.58,47.559999999999995
76,58.0,,0.58,44.08
51,58.0,,0.58,29.58
40,59.0,False,0.59,23.599999999999998
79,59.0,,0.59,46.61
91,59.0,,0.59,53.69
87,59.0,,0.59,51.33
93,59.0,,0.59,54.87
86,59.0,,0.59,50.739999999999995
66,59.0,,0.59,38.94
51,56.0,False,0.56,28.560000000000002
90,56.0,,0.56,50.400000000000006
100,56.0,,0.56,56.00000000000001
85,56.0,,0.56,47.6
84,56.0,,0.56,47.040000000000006
84,56.0,,0.56,47.040000000000006
55,56.0,,0.56,30.800000000000004
43,53.0,False,0.53,22.790000000000003
78,53.0,,0.53,41.34
86,53.0,,0.53,45.580000000000005
84,53.0,,0.53,44.52
85,53.0,,0.53,45.050000000000004
86,53.0,,0.53,45.580000000000005
61,53.0,,0.53,32.33
45,54.0,False,0.54,24.3
73,54.0,,0.54,39.42
88,54.0,,0.54,47.52
97,54.0,,0.54,52.38
88,54.0,,0.54,47.52
89,54.0,,0.54,48.06
56,54.0,,0.54,30.240000000000002
44,58.0,False,0.58,25.52
91,58.0,,0.58,52.779999999999994
96,58.0,,0.58,55.67999999999999
98,58.0,,0.58,56.839999999999996
92,58.0,,0.58,53.36
90,58.0,,0.58,52.199999999999996
55,58.0,,0.58,31.9
51,56.0,False,0.56,28.560000000000002
91,56.0,,0.56,50.96000000000001
100,56.0,,0.56,56.00000000000001
96,56.0,,0.56,53.760000000000005
89,56.0,,0.56,49.84
86,56.0,,0.56,48.160000000000004
57,56.0,,0.56,31.92
48,52.0,False,0.52,24.96
92,52.0,,0.52,47.84
96,52.0,,0.52,49.92
96,52.0,,0.52,49.92
85,52.0,,0.52,44.2
82,52.0,,0.52,42.64
61,52.0,,0.52,31.720000000000002
45,53.0,False,0.53,23.85
93,53.0,,0.53,49.29
95,53.0,,0.53,50.35
96,53.0,,0.53,50.88
89,53.0,,0.53,47.17
81,53.0,,0.53,42.93
55,53.0,,0.53,29.150000000000002
49,53.0,False,0.53,25.970000000000002
89,53.0,,0.53,47.17
93,53.0,,0.53,49.29
90,53.0,,0.53,47.7
90,53.0,,0.53,47.7
78,53.0,,0.53,41.34
55,53.0,,0.53,29.150000000000002
43,55.0,False,0.55,23.650000000000002
91,55.0,,0.55,50.050000000000004
85,55.0,,0.55,46.75000000000001
93,55.0,,0.55,51.150000000000006
86,55.0,,0.55,47.300000000000004
83,55.0,,0.55,45.650000000000006
53,55.0,,0.55,29.150000000000002
46,53.0,False,0.53,24.380000000000003
81,53.0,,0.53,42.93
88,53.0,,0.53,46.64
89,53.0,,0.53,47.17
85,53.0,,0.53,45.050000000000004
79,53.0,,0.53,41.870000000000005
50,53.0,,0.53,26.5
45,54.0,False,0.54,24.3
83,54.0,,0.54,44.82
92,54.0,,0.54,49.68000000000001
85,54.0,,0.54,45.900000000000006
86,54.0,,0.54,46.440000000000005
79,54.0,,0.54,42.660000000000004
51,54.0,,0.54,27.540000000000003
43,55.0,False,0.55,23.650000000000002
88,55.0,,0.55,48.400000000000006
100,55.0,,0.55,55.00000000000001
85,55.0,,0.55,46.75000000000001
84,55.0,,0.55,46.2
77,55.0,,0.55,42.35
55,55.0,,0.55,30.250000000000004
46,55.0,False,0.55,25.3
86,55.0,,0.55,47.300000000000004
99,55.0,,0.55,54.45
99,55.0,,0.55,54.45
88,55.0,,0.55,48.400000000000006
84,55.0,,0.55,46.2
54,55.0,,0.55,29.700000000000003
45,53.0,False,0.53,23.85
82,53.0,,0.53,43.46
86,53.0,,0.53,45.580000000000005
94,53.0,,0.53,49.82
82,53.0,,0.53,43.46
77,53.0,,0.53,40.81
50,53.0,,0.53,26.5
42,54.0,False,0.54,22.68
88,54.0,,0.54,47.52
92,54.0,,0.54,49.68000000000001
86,54.0,,0.54,46.440000000000005
84,54.0,,0.54,45.36
83,54.0,,0.54,44.82
54,54.0,,0.54,29.160000000000004
48,56.0,False,0.56,26.880000000000003
91,56.0,,0.56,50.96000000000001
93,56.0,,0.56,52.080000000000005
87,56.0,,0.56,48.720000000000006
90,56.0,,0.56,50.400000000000006
88,56.0,,0.56,49.28
59,56.0,,0.56,33.040000000000006
47,56.0,False,0.56,26.320000000000004
54,56.0,,0.56,30.240000000000002
95,56.0,,0.56,53.2
100,56.0,,0.56,56.00000000000001
93,56.0,,0.56,52.080000000000005
84,56.0,,0.56,47.040000000000006
54,56.0,,0.56,30.240000000000002
43,57.0,False,0.57,24.509999999999998
100,57.0,,0.57,56.99999999999999
86,57.0,,0.57,49.019999999999996
86,57.0,,0.57,49.019999999999996
83,57.0,,0.57,47.309999999999995
82,57.0,,0.57,46.739999999999995
47,57.0,,0.57,26.79
42,55.0,False,0.55,23.1
85,55.0,,0.55,46.75000000000001
87,55.0,,0.55,47.85
82,55.0,,0.55,45.1
83,55.0,,0.55,45.650000000000006
74,55.0,,0.55,40.7
46,55.0,,0.55,25.3
42,55.0,False,0.55,23.1
87,55.0,,0.55,47.85
83,55.0,,0.55,45.650000000000006
83,55.0,,0.55,45.650000000000006
78,55.0,,0.55,42.900000000000006
76,55.0,,0.55,41.800000000000004
47,55.0,,0.55,25.85
41,59.0,False,0.59,24.189999999999998
87,59.0,,0.59,51.33
86,59.0,,0.59,50.739999999999995
86,59.0,,0.59,50.739999999999995
80,59.0,,0.59,47.199999999999996
85,59.0,,0.59,50.15
51,59.0,,0.59,30.09
43,52.0,False,0.52,22.36
92,52.0,,0.52,47.84
92,52.0,,0.52,47.84
88,52.0,,0.52,45.760000000000005
53,52.0,,0.52,27.560000000000002
76,52.0,,0.52,39.52
52,52.0,,0.52,27.04
46,58.0,False,0.58,26.68
97,58.0,,0.58,56.26
100,58.0,,0.58,57.99999999999999
93,58.0,,0.58,53.94
87,58.0,,0.58,50.459999999999994
94,58.0,,0.58,54.519999999999996
54,58.0,,0.58,31.319999999999997
45,56.0,False,0.56,25.200000000000003
87,56.0,,0.56,48.720000000000006
94,56.0,,0.56,52.64000000000001
99,56.0,,0.56,55.440000000000005
87,56.0,,0.56,48.720000000000006
87,56.0,,0.56,48.720000000000006
53,56.0,,0.56,29.680000000000003
50,57.0,False,0.57,28.499999999999996
92,57.0,,0.57,52.44
99,57.0,,0.57,56.42999999999999
99,57.0,,0.57,56.42999999999999
91,57.0,,0.57,51.87
87,57.0,,0.57,49.589999999999996
51,57.0,,0.57,29.069999999999997
48,62.0,False,0.62,29.759999999999998
95,62.0,,0.62,58.9
100,62.0,,0.62,62.0
96,62.0,,0.62,59.519999999999996
77,62.0,,0.62,47.74
76,62.0,,0.62,47.12
47,62.0,,0.62,29.14
43,57.0,False,0.57,24.509999999999998
79,57.0,,0.57,45.029999999999994
72,57.0,,0.57,41.04
75,57.0,,0.57,42.74999999999999
70,57.0,,0.57,39.9
71,57.0,,0.57,40.47
43,57.0,,0.57,24.509999999999998
35,57.0,False,0.57,19.95
81,57.0,,0.57,46.169999999999995
83,57.0,,0.57,47.309999999999995
78,57.0,,0.57,44.459999999999994
72,57.0,,0.57,41.04
70,57.0,,0.57,39.9
43,57.0,,0.57,24.509999999999998
37,63.0,False,0.63,23.31
79,63.0,,0.63,49.77
100,63.0,,0.63,63.0
85,63.0,,0.63,53.55
71,63.0,,0.63,44.73
73,63.0,,0.63,45.99
44,63.0,,0.63,27.72
41,60.0,False,0.6,24.599999999999998
78,60.0,,0.6,46.8
77,60.0,,0.6,46.199999999999996
77,60.0,,0.6,46.199999999999996
77,60.0,,0.6,46.199999999999996
76,60.0,,0.6,45.6
45,60.0,,0.6,27.0
45,55.0,False,0.55,24.750000000000004
56,55.0,,0.55,30.800000000000004
100,55.0,,0.55,55.00000000000001
96,55.0,,0.55,52.800000000000004
91,55.0,,0.55,50.050000000000004
83,55.0,,0.55,45.650000000000006
52,55.0,,0.55,28.6
47,59.0,False,0.59,27.729999999999997
98,59.0,,0.59,57.82
86,59.0,,0.59,50.739999999999995
93,59.0,,0.59,54.87
92,59.0,,0.59,54.279999999999994
92,59.0,,0.59,54.279999999999994
59,59.0,,0.59,34.809999999999995
42,57.0,False,0.57,23.939999999999998
95,57.0,,0.57,54.15
97,57.0,,0.57,55.28999999999999
96,57.0,,0.57,54.72
85,57.0,,0.57,48.449999999999996
84,57.0,,0.57,47.879999999999995
50,57.0,,0.57,28.499999999999996
46,52.0,False,0.52,23.92
93,52.0,,0.52,48.36
92,52.0,,0.52,47.84
97,52.0,,0.52,50.440000000000005
81,52.0,,0.52,42.120000000000005
76,52.0,,0.52,39.52
50,52.0,,0.52,26.0
45,58.0,False,0.58,26.099999999999998
91,58.0,,0.58,52.779999999999994
93,58.0,,0.58,53.94
99,58.0,,0.58,57.419999999999995
100,58.0,,0.58,57.99999999999999
90,58.0,,0.58,52.199999999999996
60,58.0,,0.58,34.8
49,55.0,False,0.55,26.950000000000003
87,55.0,,0.55,47.85
95,55.0,,0.55,52.25000000000001
88,55.0,,0.55,48.400000000000006
89,55.0,,0.55,48.95
86,55.0,,0.55,47.300000000000004
56,55.0,,0.55,30.800000000000004
44,55.0,False,0.55,24.200000000000003
94,55.0,,0.55,51.7
99,55.0,,0.55,54.45
93,55.0,,0.55,51.150000000000006
91,55.0,,0.55,50.050000000000004
83,55.0,,0.55,45.650000000000006
57,55.0,,0.55,31.35
47,53.0,False,0.53,24.91
90,53.0,,0.53,47.7
96,53.0,,0.53,50.88
88,53.0,,0.53,46.64
82,53.0,,0.53,43.46
83,53.0,,0.53,43.99
49,53.0,,0.53,25.970000000000002
46,53.0,False,0.53,24.380000000000003
90,53.0,,0.53,47.7
87,53.0,,0.53,46.11
88,53.0,,0.53,46.64
81,53.0,,0.53,42.93
90,53.0,,0.53,47.7
60,53.0,,0.53,31.8
53,51.0,False,0.51,27.03
100,51.0,,0.51,51.0
91,51.0,,0.51,46.410000000000004
68,51.0,,0.51,34.68
93,51.0,,0.51,47.43
93,51.0,,0.51,47.43
60,51.0,,0.51,30.6
47,51.0,False,0.51,23.97
93,51.0,,0.51,47.43
97,51.0,,0.51,49.47
96,51.0,,0.51,48.96
90,51.0,,0.51,45.9
90,51.0,,0.51,45.9
54,51.0,,0.51,27.54
54,54.0,False,0.54,29.160000000000004
91,54.0,,0.54,49.14
95,54.0,,0.54,51.300000000000004
93,54.0,,0.54,50.220000000000006
90,54.0,,0.54,48.6
86,54.0,,0.54,46.440000000000005
55,54.0,,0.54,29.700000000000003
45,38.0,False,0.38,17.1
88,38.0,,0.38,33.44
86,38.0,,0.38,32.68
78,38.0,,0.38,29.64
47,38.0,,0.38,17.86
59,38.0,,0.38,22.42
50,38.0,,0.38,19.0
46,56.0,False,0.56,25.76
87,56.0,,0.56,48.720000000000006
100,56.0,,0.56,56.00000000000001
98,56.0,,0.56,54.88
95,56.0,,0.56,53.2
92,56.0,,0.56,51.52
62,56.0,,0.56,34.720000000000006
46,53.0,False,0.53,24.380000000000003
87,53.0,,0.53,46.11
89,53.0,,0.53,47.17
89,53.0,,0.53,47.17
88,53.0,,0.53,46.64
87,53.0,,0.53,46.11
58,53.0,,0.53,30.740000000000002
48,53.0,False,0.53,25.44
83,53.0,,0.53,43.99
92,53.0,,0.53,48.760000000000005
87,53.0,,0.53,46.11
88,53.0,,0.53,46.64
85,53.0,,0.53,45.050000000000004
52,53.0,,0.53,27.560000000000002
44,37.0,False,0.37,16.28
80,37.0,,0.37,29.6
72,37.0,,0.37,26.64
40,37.0,,0.37,14.8
73,37.0,,0.37,27.009999999999998
84,37.0,,0.37,31.08
60,37.0,,0.37,22.2
57,55.0,False,0.55,31.35
91,55.0,,0.55,50.050000000000004
92,55.0,,0.55,50.6
57,55.0,,0.55,31.35
92,55.0,,0.55,50.6
94,55.0,,0.55,51.7
63,55.0,,0.55,34.650000000000006
47,59.0,False,0.59,27.729999999999997
98,59.0,,0.59,57.82
94,59.0,,0.59,55.459999999999994
93,59.0,,0.59,54.87
80,59.0,,0.59,47.199999999999996
79,59.0,,0.59,46.61
55,59.0,,0.59,32.449999999999996
49,56.0,False,0.56,27.44
91,56.0,,0.56,50.96000000000001
100,56.0,,0.56,56.00000000000001
95,56.0,,0.56,53.2
87,56.0,,0.56,48.720000000000006
82,56.0,,0.56,45.92
55,56.0,,0.56,30.800000000000004
43,51.0,False,0.51,21.93
59,51.0,,0.51,30.09
84,51.0,,0.51,42.84
89,51.0,,0.51,45.39
88,51.0,,0.51,44.88
78,51.0,,0.51,39.78
54,51.0,,0.51,27.54
45,54.0,False,0.54,24.3
79,54.0,,0.54,42.660000000000004
93,54.0,,0.54,50.220000000000006
84,54.0,,0.54,45.36
81,54.0,,0.54,43.74
85,54.0,,0.54,45.900000000000006
57,54.0,,0.54,30.78
52,56.0,False,0.56,29.120000000000005
94,56.0,,0.56,52.64000000000001
92,56.0,,0.56,51.52
88,56.0,,0.56,49.28
86,56.0,,0.56,48.160000000000004
81,56.0,,0.56,45.36000000000001
58,56.0,,0.56,32.480000000000004
42,51.0,False,0.51,21.42
81,51.0,,0.51,41.31
83,51.0,,0.51,42.33
88,51.0,,0.51,44.88
82,51.0,,0.51,41.82
76,51.0,,0.51,38.76
56,51.0,,0.51,28.560000000000002
49,55.0,False,0.55,26.950000000000003
82,55.0,,0.55,45.1
100,55.0,,0.55,55.00000000000001
90,55.0,,0.55,49.50000000000001
86,55.0,,0.55,47.300000000000004
91,55.0,,0.55,50.050000000000004
57,55.0,,0.55,31.35
48,53.0,False,0.53,25.44
88,53.0,,0.53,46.64
87,53.0,,0.53,46.11
89,53.0,,0.53,47.17
88,53.0,,0.53,46.64
80,53.0,,0.53,42.400000000000006
59,53.0,,0.53,31.270000000000003
53,53.0,False,0.53,28.09
91,53.0,,0.53,48.230000000000004
93,53.0,,0.53,49.29
87,53.0,,0.53,46.11
94,53.0,,0.53,49.82
86,53.0,,0.53,45.580000000000005
56,53.0,,0.53,29.68
50,55.0,False,0.55,27.500000000000004
92,55.0,,0.55,50.6
97,55.0,,0.55,53.35
95,55.0,,0.55,52.25000000000001
90,55.0,,0.55,49.50000000000001
88,55.0,,0.55,48.400000000000006
62,55.0,,0.55,34.1
50,55.0,False,0.55,27.500000000000004
94,55.0,,0.55,51.7
98,55.0,,0.55,53.900000000000006
98,55.0,,0.55,53.900000000000006
95,55.0,,0.55,52.25000000000001
84,55.0,,0.55,46.2
56,55.0,,0.55,30.800000000000004
52,54.0,False,0.54,28.080000000000002
94,54.0,,0.54,50.760000000000005
100,54.0,,0.54,54.0
94,54.0,,0.54,50.760000000000005
90,54.0,,0.54,48.6
86,54.0,,0.54,46.440000000000005
56,54.0,,0.54,30.240000000000002
50,53.0,False,0.53,26.5
91,53.0,,0.53,48.230000000000004
100,53.0,,0.53,53.0
90,53.0,,0.53,47.7
86,53.0,,0.53,45.580000000000005
80,53.0,,0.53,42.400000000000006
54,53.0,,0.53,28.62
48,52.0,False,0.52,24.96
87,52.0,,0.52,45.24
87,52.0,,0.52,45.24
84,52.0,,0.52,43.68
83,52.0,,0.52,43.160000000000004
82,52.0,,0.52,42.64
54,52.0,,0.52,28.080000000000002
50,51.0,False,0.51,25.5
85,51.0,,0.51,43.35
85,51.0,,0.51,43.35
90,51.0,,0.51,45.9
86,51.0,,0.51,43.86
80,51.0,,0.51,40.8
52,51.0,,0.51,26.52
46,53.0,False,0.53,24.380000000000003
88,53.0,,0.53,46.64
88,53.0,,0.53,46.64
90,53.0,,0.53,47.7
85,53.0,,0.53,45.050000000000004
79,53.0,,0.53,41.870000000000005
51,53.0,,0.53,27.03
45,52.0,False,0.52,23.400000000000002
93,52.0,,0.52,48.36
87,52.0,,0.52,45.24
86,52.0,,0.52,44.72
85,52.0,,0.52,44.2
79,52.0,,0.52,41.08
51,52.0,,0.52,26.52
42,50.0,False,0.5,21.0
84,50.0,,0.5,42.0
82,50.0,,0.5,41.0
