Golden State Warriors_unscaled,Golden State Warriors_monthly,isPartial,scale,Golden State Warriors
41,5.0,,0.05,2.0500000000000003
100,5.0,,0.05,5.0
75,5.0,,0.05,3.75
59,5.0,,0.05,2.95
58,5.0,,0.05,2.9000000000000004
55,4.0,False,0.04,2.2
57,4.0,,0.04,2.28
52,4.0,,0.04,2.08
57,4.0,,0.04,2.28
32,4.0,,0.04,1.28
30,4.0,,0.04,1.2
24,4.0,,0.04,0.96
24,4.0,False,0.04,0.96
23,4.0,,0.04,0.92
21,4.0,,0.04,0.84
26,4.0,,0.04,1.04
24,4.0,,0.04,0.96
28,4.0,,0.04,1.12
21,4.0,,0.04,0.84
21,4.0,False,0.04,0.84
26,4.0,,0.04,1.04
25,4.0,,0.04,1.0
30,4.0,,0.04,1.2
27,4.0,,0.04,1.08
29,4.0,,0.04,1.16
24,4.0,,0.04,0.96
23,5.0,False,0.05,1.15
24,5.0,,0.05,1.2000000000000002
22,5.0,,0.05,1.1
35,5.0,,0.05,1.75
25,5.0,,0.05,1.25
34,5.0,,0.05,1.7000000000000002
33,5.0,,0.05,1.65
28,7.0,False,0.07,1.96
27,7.0,,0.07,1.89
32,7.0,,0.07,2.24
33,7.0,,0.07,2.31
52,7.0,,0.07,3.640000000000001
100,7.0,,0.07,7.000000000000001
50,7.0,,0.07,3.5000000000000004
52,12.0,False,0.12,6.24
53,12.0,,0.12,6.359999999999999
100,12.0,,0.12,12.0
96,12.0,,0.12,11.52
72,12.0,,0.12,8.64
75,12.0,,0.12,9.0
68,12.0,,0.12,8.16
48,7.0,False,0.07,3.3600000000000003
40,7.0,,0.07,2.8000000000000003
49,7.0,,0.07,3.43
45,7.0,,0.07,3.1500000000000004
46,7.0,,0.07,3.22
43,7.0,,0.07,3.01
46,7.0,,0.07,3.22
38,6.0,False,0.06,2.28
40,6.0,,0.06,2.4
36,6.0,,0.06,2.16
39,6.0,,0.06,2.34
38,6.0,,0.06,2.28
33,6.0,,0.06,1.98
32,6.0,,0.06,1.92
28,5.0,False,0.05,1.4
25,5.0,,0.05,1.25
29,5.0,,0.05,1.4500000000000002
30,5.0,,0.05,1.5
25,5.0,,0.05,1.25
31,5.0,,0.05,1.55
30,5.0,,0.05,1.5
25,4.0,False,0.04,1.0
25,4.0,,0.04,1.0
23,4.0,,0.04,0.92
100,4.0,,0.04,4.0
93,4.0,,0.04,3.72
84,4.0,,0.04,3.36
81,4.0,,0.04,3.24
80,4.0,False,0.04,3.2
75,4.0,,0.04,3.0
72,4.0,,0.04,2.88
78,4.0,,0.04,3.12
88,4.0,,0.04,3.52
87,4.0,,0.04,3.48
57,4.0,,0.04,2.28
60,4.0,False,0.04,2.4
62,4.0,,0.04,2.48
61,4.0,,0.04,2.44
68,4.0,,0.04,2.72
83,4.0,,0.04,3.3200000000000003
75,4.0,,0.04,3.0
66,4.0,,0.04,2.64
66,4.0,False,0.04,2.64
59,4.0,,0.04,2.36
63,4.0,,0.04,2.52
79,4.0,,0.04,3.16
89,4.0,,0.04,3.56
88,4.0,,0.04,3.52
85,4.0,,0.04,3.4
70,4.0,False,0.04,2.8000000000000003
79,4.0,,0.04,3.16
92,4.0,,0.04,3.68
86,4.0,,0.04,3.44
92,4.0,,0.04,3.68
11,4.0,,0.04,0.44
13,4.0,,0.04,0.52
12,8.0,False,0.08,0.96
14,8.0,,0.08,1.12
35,8.0,,0.08,2.8000000000000003
18,8.0,,0.08,1.44
33,8.0,,0.08,2.64
18,8.0,,0.08,1.44
38,8.0,,0.08,3.04
17,8.0,False,0.08,1.36
17,8.0,,0.08,1.36
15,8.0,,0.08,1.2
37,8.0,,0.08,2.96
20,8.0,,0.08,1.6
19,8.0,,0.08,1.52
32,8.0,,0.08,2.56
20,18.0,False,0.18,3.5999999999999996
18,18.0,,0.18,3.24
28,18.0,,0.18,5.04
95,18.0,,0.18,17.099999999999998
38,18.0,,0.18,6.84
100,18.0,,0.18,18.0
37,18.0,,0.18,6.66
36,18.0,False,0.18,6.4799999999999995
65,18.0,,0.18,11.7
32,18.0,,0.18,5.76
71,18.0,,0.18,12.78
34,18.0,,0.18,6.12
72,18.0,,0.18,12.96
29,18.0,,0.18,5.22
55,16.0,False,0.16,8.8
25,16.0,,0.16,4.0
23,16.0,,0.16,3.68
29,16.0,,0.16,4.64
75,16.0,,0.16,12.0
29,16.0,,0.16,4.64
65,16.0,,0.16,10.4
34,24.0,False,0.24,8.16
59,24.0,,0.24,14.16
76,24.0,,0.24,18.24
42,24.0,,0.24,10.08
78,24.0,,0.24,18.72
37,24.0,,0.24,8.879999999999999
100,24.0,,0.24,24.0
44,25.0,False,0.25,11.0
63,25.0,,0.25,15.75
34,25.0,,0.25,8.5
97,25.0,,0.25,24.25
45,25.0,,0.25,11.25
88,25.0,,0.25,22.0
83,25.0,,0.25,20.75
49,23.0,False,0.23,11.27
67,23.0,,0.23,15.41
33,23.0,,0.23,7.590000000000001
38,23.0,,0.23,8.74
99,23.0,,0.23,22.77
36,23.0,,0.23,8.280000000000001
96,23.0,,0.23,22.08
79,24.0,False,0.24,18.96
50,24.0,,0.24,12.0
41,24.0,,0.24,9.84
88,24.0,,0.24,21.119999999999997
26,24.0,,0.24,6.24
33,24.0,,0.24,7.92
100,24.0,,0.24,24.0
69,20.0,False,0.2,13.8
29,20.0,,0.2,5.800000000000001
61,20.0,,0.2,12.2
35,20.0,,0.2,7.0
69,20.0,,0.2,13.8
35,20.0,,0.2,7.0
44,20.0,,0.2,8.8
99,26.0,False,0.26,25.74
37,26.0,,0.26,9.62
91,26.0,,0.26,23.66
94,26.0,,0.26,24.44
29,26.0,,0.26,7.54
32,26.0,,0.26,8.32
70,26.0,,0.26,18.2
57,20.0,False,0.2,11.4
33,20.0,,0.2,6.6000000000000005
50,20.0,,0.2,10.0
29,20.0,,0.2,5.800000000000001
34,20.0,,0.2,6.800000000000001
67,20.0,,0.2,13.4
