Golden State Warriors_unscaled,Golden State Warriors_monthly,isPartial,scale,Golden State Warriors
46,44.0,,0.44,20.24
15,44.0,,0.44,6.6
18,44.0,,0.44,7.92
49,44.0,,0.44,21.56
17,44.0,,0.44,7.48
55,52.0,False,0.52,28.6
23,52.0,,0.52,11.96
15,52.0,,0.52,7.800000000000001
18,52.0,,0.52,9.36
52,52.0,,0.52,27.04
21,52.0,,0.52,10.92
75,52.0,,0.52,39.0
100,63.0,False,0.63,63.0
34,63.0,,0.63,21.42
23,63.0,,0.63,14.49
62,63.0,,0.63,39.06
20,63.0,,0.63,12.6
64,63.0,,0.63,40.32
28,63.0,,0.63,17.64
63,67.0,False,0.67,42.21
22,67.0,,0.67,14.74
63,67.0,,0.67,42.21
21,67.0,,0.67,14.07
70,67.0,,0.67,46.900000000000006
26,67.0,,0.67,17.42
100,67.0,,0.67,67.0
14,8.0,False,0.08,1.12
8,8.0,,0.08,0.64
5,8.0,,0.08,0.4
6,8.0,,0.08,0.48
4,8.0,,0.08,0.32
5,8.0,,0.08,0.4
5,8.0,,0.08,0.4
8,6.0,False,0.06,0.48
6,6.0,,0.06,0.36
5,6.0,,0.06,0.3
4,6.0,,0.06,0.24
4,6.0,,0.06,0.24
4,6.0,,0.06,0.24
3,6.0,,0.06,0.18
4,5.0,False,0.05,0.2
4,5.0,,0.05,0.2
6,5.0,,0.05,0.3
4,5.0,,0.05,0.2
25,5.0,,0.05,1.25
24,5.0,,0.05,1.2000000000000002
21,5.0,,0.05,1.05
33,4.0,False,0.04,1.32
23,4.0,,0.04,0.92
17,4.0,,0.04,0.68
17,4.0,,0.04,0.68
20,4.0,,0.04,0.8
18,4.0,,0.04,0.72
24,4.0,,0.04,0.96
19,5.0,False,0.05,0.95
25,5.0,,0.05,1.25
25,5.0,,0.05,1.25
29,5.0,,0.05,1.4500000000000002
22,5.0,,0.05,1.1
22,5.0,,0.05,1.1
24,5.0,,0.05,1.2000000000000002
32,10.0,False,0.1,3.2
35,10.0,,0.1,3.5
29,10.0,,0.1,2.9000000000000004
31,10.0,,0.1,3.1
76,10.0,,0.1,7.6
100,10.0,,0.1,10.0
55,10.0,,0.1,5.5
51,7.0,False,0.07,3.5700000000000003
37,7.0,,0.07,2.5900000000000003
35,7.0,,0.07,2.45
32,7.0,,0.07,2.24
32,7.0,,0.07,2.24
39,7.0,,0.07,2.7300000000000004
100,7.0,,0.07,7.000000000000001
85,9.0,False,0.09,7.65
74,9.0,,0.09,6.66
87,9.0,,0.09,7.83
64,9.0,,0.09,5.76
61,9.0,,0.09,5.49
56,9.0,,0.09,5.04
82,9.0,,0.09,7.38
70,7.0,False,0.07,4.9
76,7.0,,0.07,5.32
49,7.0,,0.07,3.43
57,7.0,,0.07,3.99
47,7.0,,0.07,3.2900000000000005
47,7.0,,0.07,3.2900000000000005
47,7.0,,0.07,3.2900000000000005
45,6.0,False,0.06,2.6999999999999997
46,6.0,,0.06,2.76
67,6.0,,0.06,4.02
67,6.0,,0.06,4.02
38,6.0,,0.06,2.28
36,6.0,,0.06,2.16
39,6.0,,0.06,2.34
36,4.0,False,0.04,1.44
35,4.0,,0.04,1.4
35,4.0,,0.04,1.4
29,4.0,,0.04,1.16
32,4.0,,0.04,1.28
36,4.0,,0.04,1.44
35,4.0,,0.04,1.4
38,4.0,False,0.04,1.52
30,4.0,,0.04,1.2
49,4.0,,0.04,1.96
54,4.0,,0.04,2.16
51,4.0,,0.04,2.04
47,4.0,,0.04,1.88
48,4.0,,0.04,1.92
52,3.0,False,0.03,1.56
49,3.0,,0.03,1.47
52,3.0,,0.03,1.56
48,3.0,,0.03,1.44
50,3.0,,0.03,1.5
48,3.0,,0.03,1.44
64,3.0,,0.03,1.92
52,5.0,False,0.05,2.6
50,5.0,,0.05,2.5
51,5.0,,0.05,2.5500000000000003
66,5.0,,0.05,3.3000000000000003
100,5.0,,0.05,5.0
79,5.0,,0.05,3.95
80,5.0,,0.05,4.0
62,4.0,False,0.04,2.48
47,4.0,,0.04,1.88
74,4.0,,0.04,2.96
58,4.0,,0.04,2.32
59,4.0,,0.04,2.36
50,4.0,,0.04,2.0
52,4.0,,0.04,2.08
60,4.0,False,0.04,2.4
51,4.0,,0.04,2.04
47,4.0,,0.04,1.88
50,4.0,,0.04,2.0
39,4.0,,0.04,1.56
75,4.0,,0.04,3.0
83,4.0,,0.04,3.3200000000000003
50,4.0,False,0.04,2.0
56,4.0,,0.04,2.24
52,4.0,,0.04,2.08
66,4.0,,0.04,2.64
73,4.0,,0.04,2.92
70,4.0,,0.04,2.8000000000000003
61,4.0,,0.04,2.44
60,4.0,False,0.04,2.4
55,4.0,,0.04,2.2
51,4.0,,0.04,2.04
55,4.0,,0.04,2.2
62,4.0,,0.04,2.48
100,4.0,,0.04,4.0
76,4.0,,0.04,3.04
71,4.0,False,0.04,2.84
62,4.0,,0.04,2.48
55,4.0,,0.04,2.2
66,4.0,,0.04,2.64
76,4.0,,0.04,3.04
79,4.0,,0.04,3.16
71,4.0,,0.04,2.84
64,4.0,False,0.04,2.56
60,4.0,,0.04,2.4
67,4.0,,0.04,2.68
81,4.0,,0.04,3.24
78,4.0,,0.04,3.12
76,4.0,,0.04,3.04
82,4.0,,0.04,3.28
14,5.0,False,0.05,0.7000000000000001
18,5.0,,0.05,0.9
13,5.0,,0.05,0.65
13,5.0,,0.05,0.65
19,5.0,,0.05,0.95
15,5.0,,0.05,0.75
20,5.0,,0.05,1.0
51,9.0,False,0.09,4.59
18,9.0,,0.09,1.62
20,9.0,,0.09,1.7999999999999998
17,9.0,,0.09,1.53
14,9.0,,0.09,1.26
17,9.0,,0.09,1.53
48,9.0,,0.09,4.32
21,10.0,False,0.1,2.1
35,10.0,,0.1,3.5
20,10.0,,0.1,2.0
19,10.0,,0.1,1.9
42,10.0,,0.1,4.2
21,10.0,,0.1,2.1
45,10.0,,0.1,4.5
22,15.0,False,0.15,3.3
18,15.0,,0.15,2.6999999999999997
33,15.0,,0.15,4.95
100,15.0,,0.15,15.0
23,15.0,,0.15,3.4499999999999997
29,15.0,,0.15,4.35
66,15.0,,0.15,9.9
38,19.0,False,0.19,7.22
56,19.0,,0.19,10.64
58,19.0,,0.19,11.02
35,19.0,,0.19,6.65
80,19.0,,0.19,15.2
40,19.0,,0.19,7.6
100,19.0,,0.19,19.0
56,18.0,False,0.18,10.08
59,18.0,,0.18,10.62
60,18.0,,0.18,10.8
34,18.0,,0.18,6.12
72,18.0,,0.18,12.96
33,18.0,,0.18,5.9399999999999995
50,18.0,,0.18,9.0
79,19.0,False,0.19,15.01
61,19.0,,0.19,11.59
33,19.0,,0.19,6.2700000000000005
93,19.0,,0.19,17.67
43,19.0,,0.19,8.17
64,19.0,,0.19,12.16
38,19.0,,0.19,7.22
75,17.0,False,0.17,12.750000000000002
28,17.0,,0.17,4.760000000000001
60,17.0,,0.17,10.2
27,17.0,,0.17,4.590000000000001
76,17.0,,0.17,12.920000000000002
28,17.0,,0.17,4.760000000000001
75,17.0,,0.17,12.750000000000002
24,14.0,False,0.14,3.3600000000000003
23,14.0,,0.14,3.22
29,14.0,,0.14,4.0600000000000005
79,14.0,,0.14,11.06
26,14.0,,0.14,3.640000000000001
61,14.0,,0.14,8.540000000000001
62,14.0,,0.14,8.680000000000001
37,12.0,False,0.12,4.4399999999999995
23,12.0,,0.12,2.76
26,12.0,,0.12,3.12
26,12.0,,0.12,3.12
56,12.0,,0.12,6.72
29,12.0,,0.12,3.48
66,12.0,,0.12,7.92
28,12.0,False,0.12,3.36
20,12.0,,0.12,2.4
28,12.0,,0.12,3.36
75,12.0,,0.12,9.0
38,12.0,,0.12,4.56
58,12.0,,0.12,6.96
31,12.0,,0.12,3.72
60,17.0,False,0.17,10.2
56,17.0,,0.17,9.52
30,17.0,,0.17,5.1000000000000005
92,17.0,,0.17,15.64
32,17.0,,0.17,5.44
39,17.0,,0.17,6.630000000000001
100,17.0,,0.17,17.0
70,15.0,False,0.15,10.5
99,15.0,,0.15,14.85
34,15.0,,0.15,5.1
28,15.0,,0.15,4.2
30,15.0,,0.15,4.5
65,15.0,,0.15,9.75
33,15.0,,0.15,4.95
52,15.0,False,0.15,7.8
23,15.0,,0.15,3.4499999999999997
29,15.0,,0.15,4.35
59,15.0,,0.15,8.85
31,15.0,,0.15,4.6499999999999995
82,15.0,,0.15,12.3
65,15.0,,0.15,9.75
30,13.0,False,0.13,3.9
48,13.0,,0.13,6.24
25,13.0,,0.13,3.25
29,13.0,,0.13,3.77
66,13.0,,0.13,8.58
35,13.0,,0.13,4.55
61,13.0,,0.13,7.930000000000001
51,15.0,False,0.15,7.65
30,15.0,,0.15,4.5
46,15.0,,0.15,6.8999999999999995
57,15.0,,0.15,8.549999999999999
65,15.0,,0.15,9.75
36,15.0,,0.15,5.3999999999999995
35,15.0,,0.15,5.25
27,13.0,False,0.13,3.51
26,13.0,,0.13,3.38
28,13.0,,0.13,3.64
30,13.0,,0.13,3.9
68,13.0,,0.13,8.84
70,13.0,,0.13,9.1
34,13.0,,0.13,4.42
100,14.0,False,0.14,14.000000000000002
23,14.0,,0.14,3.22
28,14.0,,0.14,3.92
64,14.0,,0.14,8.96
26,14.0,,0.14,3.640000000000001
25,14.0,,0.14,3.5000000000000004
60,14.0,,0.14,8.4
78,17.0,False,0.17,13.260000000000002
26,17.0,,0.17,4.42
48,17.0,,0.17,8.16
32,17.0,,0.17,5.44
76,17.0,,0.17,12.920000000000002
68,17.0,,0.17,11.56
38,17.0,,0.17,6.460000000000001
100,22.0,False,0.22,22.0
30,22.0,,0.22,6.6
68,22.0,,0.22,14.96
38,22.0,,0.22,8.36
91,22.0,,0.22,20.02
91,22.0,,0.22,20.02
27,22.0,,0.22,5.94
22,12.0,False,0.12,2.6399999999999997
19,12.0,,0.12,2.28
18,12.0,,0.12,2.16
20,12.0,,0.12,2.4
25,12.0,,0.12,3.0
73,12.0,,0.12,8.76
80,12.0,,0.12,9.6
46,18.0,False,0.18,8.28
67,18.0,,0.18,12.06
29,18.0,,0.18,5.22
56,18.0,,0.18,10.08
37,18.0,,0.18,6.66
66,18.0,,0.18,11.88
64,18.0,,0.18,11.52
93,19.0,False,0.19,17.67
50,19.0,,0.19,9.5
24,19.0,,0.19,4.5600000000000005
27,19.0,,0.19,5.13
71,19.0,,0.19,13.49
61,19.0,,0.19,11.59
32,19.0,,0.19,6.08
64,15.0,False,0.15,9.6
28,15.0,,0.15,4.2
52,15.0,,0.15,7.8
28,15.0,,0.15,4.2
50,15.0,,0.15,7.5
19,15.0,,0.15,2.85
28,15.0,,0.15,4.2
100,19.0,False,0.19,19.0
30,19.0,,0.19,5.7
63,19.0,,0.19,11.97
22,19.0,,0.19,4.18
51,19.0,,0.19,9.69
24,19.0,,0.19,4.5600000000000005
58,19.0,,0.19,11.02
35,18.0,False,0.18,6.3
45,18.0,,0.18,8.1
32,18.0,,0.18,5.76
64,18.0,,0.18,11.52
69,18.0,,0.18,12.42
35,18.0,,0.18,6.3
53,18.0,,0.18,9.54
38,18.0,False,0.18,6.84
31,18.0,,0.18,5.58
18,18.0,,0.18,3.24
38,18.0,,0.18,6.84
20,18.0,,0.18,3.5999999999999996
40,18.0,,0.18,7.199999999999999
39,18.0,,0.18,7.02
22,22.0,False,0.22,4.84
35,22.0,,0.22,7.7
17,22.0,,0.22,3.74
50,22.0,,0.22,11.0
22,22.0,,0.22,4.84
48,22.0,,0.22,10.56
54,22.0,,0.22,11.88
41,21.0,False,0.21,8.61
21,21.0,,0.21,4.41
23,21.0,,0.21,4.83
100,21.0,,0.21,21.0
20,21.0,,0.21,4.2
11,21.0,,0.21,2.31
12,21.0,,0.21,2.52
10,5.0,False,0.05,0.5
8,5.0,,0.05,0.4
8,5.0,,0.05,0.4
7,5.0,,0.05,0.35
7,5.0,,0.05,0.35
7,5.0,,0.05,0.35
7,5.0,,0.05,0.35
9,4.0,False,0.04,0.36
8,4.0,,0.04,0.32
9,4.0,,0.04,0.36
95,4.0,,0.04,3.8
93,4.0,,0.04,3.72
90,4.0,,0.04,3.6
93,4.0,,0.04,3.72
96,3.0,False,0.03,2.88
78,3.0,,0.03,2.34
87,3.0,,0.03,2.61
100,3.0,,0.03,3.0
81,3.0,,0.03,2.4299999999999997
77,3.0,,0.03,2.31
86,3.0,,0.03,2.58
87,3.0,False,0.03,2.61
95,3.0,,0.03,2.85
94,3.0,,0.03,2.82
87,3.0,,0.03,2.61
78,3.0,,0.03,2.34
73,3.0,,0.03,2.19
65,3.0,,0.03,1.95
100,3.0,False,0.03,3.0
93,3.0,,0.03,2.79
76,3.0,,0.03,2.28
69,3.0,,0.03,2.07
72,3.0,,0.03,2.16
62,3.0,,0.03,1.86
78,3.0,,0.03,2.34
80,3.0,False,0.03,2.4
90,3.0,,0.03,2.6999999999999997
84,3.0,,0.03,2.52
89,3.0,,0.03,2.67
68,3.0,,0.03,2.04
78,3.0,,0.03,2.34
24,3.0,,0.03,0.72
22,3.0,False,0.03,0.6599999999999999
22,3.0,,0.03,0.6599999999999999
22,3.0,,0.03,0.6599999999999999
21,3.0,,0.03,0.63
25,3.0,,0.03,0.75
24,3.0,,0.03,0.72
20,3.0,,0.03,0.6
25,3.0,False,0.03,0.75
25,3.0,,0.03,0.75
22,3.0,,0.03,0.6599999999999999
23,3.0,,0.03,0.69
26,3.0,,0.03,0.78
22,3.0,,0.03,0.6599999999999999
28,3.0,,0.03,0.84
21,3.0,False,0.03,0.63
22,3.0,,0.03,0.6599999999999999
37,3.0,,0.03,1.11
25,3.0,,0.03,0.75
27,3.0,,0.03,0.8099999999999999
26,3.0,,0.03,0.78
30,3.0,,0.03,0.8999999999999999
29,6.0,False,0.06,1.74
30,6.0,,0.06,1.7999999999999998
32,6.0,,0.06,1.92
45,6.0,,0.06,2.6999999999999997
100,6.0,,0.06,6.0
65,6.0,,0.06,3.9
64,6.0,,0.06,3.84
86,13.0,False,0.13,11.18
100,13.0,,0.13,13.0
81,13.0,,0.13,10.53
79,13.0,,0.13,10.27
68,13.0,,0.13,8.84
60,13.0,,0.13,7.800000000000001
63,13.0,,0.13,8.19
56,6.0,False,0.06,3.36
43,6.0,,0.06,2.58
37,6.0,,0.06,2.22
35,6.0,,0.06,2.1
36,6.0,,0.06,2.16
30,6.0,,0.06,1.7999999999999998
28,6.0,,0.06,1.68
26,5.0,False,0.05,1.3
30,5.0,,0.05,1.5
32,5.0,,0.05,1.6
35,5.0,,0.05,1.75
27,5.0,,0.05,1.35
29,5.0,,0.05,1.4500000000000002
32,5.0,,0.05,1.6
28,4.0,False,0.04,1.12
26,4.0,,0.04,1.04
24,4.0,,0.04,0.96
23,4.0,,0.04,0.92
20,4.0,,0.04,0.8
22,4.0,,0.04,0.88
21,4.0,,0.04,0.84
22,3.0,False,0.03,0.6599999999999999
18,3.0,,0.03,0.54
23,3.0,,0.03,0.69
19,3.0,,0.03,0.57
50,3.0,,0.03,1.5
50,3.0,,0.03,1.5
51,3.0,,0.03,1.53
55,3.0,False,0.03,1.65
48,3.0,,0.03,1.44
49,3.0,,0.03,1.47
52,3.0,,0.03,1.56
59,3.0,,0.03,1.77
54,3.0,,0.03,1.62
100,3.0,,0.03,3.0
89,4.0,False,0.04,3.56
54,4.0,,0.04,2.16
63,4.0,,0.04,2.52
58,4.0,,0.04,2.32
68,4.0,,0.04,2.72
73,4.0,,0.04,2.92
63,4.0,,0.04,2.52
82,4.0,False,0.04,3.28
63,4.0,,0.04,2.52
81,4.0,,0.04,3.24
68,4.0,,0.04,2.72
63,4.0,,0.04,2.52
52,4.0,,0.04,2.08
67,4.0,,0.04,2.68
59,3.0,False,0.03,1.77
54,3.0,,0.03,1.62
55,3.0,,0.03,1.65
52,3.0,,0.03,1.56
59,3.0,,0.03,1.77
57,3.0,,0.03,1.71
51,3.0,,0.03,1.53
38,3.0,False,0.03,1.14
29,3.0,,0.03,0.87
38,3.0,,0.03,1.14
29,3.0,,0.03,0.87
34,3.0,,0.03,1.02
29,3.0,,0.03,0.87
38,3.0,,0.03,1.14
30,2.0,False,0.02,0.6
29,2.0,,0.02,0.58
30,2.0,,0.02,0.6
28,2.0,,0.02,0.56
28,2.0,,0.02,0.56
30,2.0,,0.02,0.6
37,2.0,,0.02,0.74
34,3.0,False,0.03,1.02
35,3.0,,0.03,1.05
31,3.0,,0.03,0.93
32,3.0,,0.03,0.96
39,3.0,,0.03,1.17
29,3.0,,0.03,0.87
32,3.0,,0.03,0.96
26,4.0,False,0.04,1.04
28,4.0,,0.04,1.12
28,4.0,,0.04,1.12
37,4.0,,0.04,1.48
39,4.0,,0.04,1.56
100,4.0,,0.04,4.0
63,4.0,,0.04,2.52
45,4.0,False,0.04,1.8
38,4.0,,0.04,1.52
17,4.0,,0.04,0.68
15,4.0,,0.04,0.6
15,4.0,,0.04,0.6
16,4.0,,0.04,0.64
27,4.0,,0.04,1.08
45,6.0,False,0.06,2.6999999999999997
18,6.0,,0.06,1.08
16,6.0,,0.06,0.96
19,6.0,,0.06,1.14
45,6.0,,0.06,2.6999999999999997
25,6.0,,0.06,1.5
53,6.0,,0.06,3.1799999999999997
28,8.0,False,0.08,2.24
36,8.0,,0.08,2.88
24,8.0,,0.08,1.92
70,8.0,,0.08,5.6000000000000005
25,8.0,,0.08,2.0
24,8.0,,0.08,1.92
48,8.0,,0.08,3.84
20,11.0,False,0.11,2.2
26,11.0,,0.11,2.86
25,11.0,,0.11,2.75
35,11.0,,0.11,3.85
100,11.0,,0.11,11.0
38,11.0,,0.11,4.18
83,11.0,,0.11,9.13
47,14.0,False,0.14,6.580000000000001
81,14.0,,0.14,11.340000000000002
38,14.0,,0.14,5.32
88,14.0,,0.14,12.32
76,14.0,,0.14,10.64
21,14.0,,0.14,2.9400000000000004
27,14.0,,0.14,3.78
54,16.0,False,0.16,8.64
22,16.0,,0.16,3.52
39,16.0,,0.16,6.24
17,16.0,,0.16,2.72
69,16.0,,0.16,11.04
28,16.0,,0.16,4.48
62,16.0,,0.16,9.92
22,19.0,False,0.19,4.18
45,19.0,,0.19,8.55
28,19.0,,0.19,5.32
100,19.0,,0.19,19.0
27,19.0,,0.19,5.13
22,19.0,,0.19,4.18
59,19.0,,0.19,11.21
24,15.0,False,0.15,3.5999999999999996
24,15.0,,0.15,3.5999999999999996
49,15.0,,0.15,7.35
24,15.0,,0.15,3.5999999999999996
48,15.0,,0.15,7.199999999999999
23,15.0,,0.15,3.4499999999999997
57,15.0,,0.15,8.549999999999999
47,12.0,False,0.12,5.64
18,12.0,,0.12,2.16
42,12.0,,0.12,5.04
21,12.0,,0.12,2.52
49,12.0,,0.12,5.88
16,12.0,,0.12,1.92
21,12.0,,0.12,2.52
50,13.0,False,0.13,6.5
22,13.0,,0.13,2.8600000000000003
25,13.0,,0.13,3.25
52,13.0,,0.13,6.76
19,13.0,,0.13,2.47
50,13.0,,0.13,6.5
64,13.0,,0.13,8.32
24,12.0,False,0.12,2.88
46,12.0,,0.12,5.52
23,12.0,,0.12,2.76
29,12.0,,0.12,3.48
83,12.0,,0.12,9.96
20,12.0,,0.12,2.4
26,12.0,,0.12,3.12
32,12.0,False,0.12,3.84
54,12.0,,0.12,6.4799999999999995
22,12.0,,0.12,2.6399999999999997
21,12.0,,0.12,2.52
23,12.0,,0.12,2.76
63,12.0,,0.12,7.56
26,12.0,,0.12,3.12
51,15.0,False,0.15,7.65
22,15.0,,0.15,3.3
44,15.0,,0.15,6.6
33,15.0,,0.15,4.95
100,15.0,,0.15,15.0
23,15.0,,0.15,3.4499999999999997
49,15.0,,0.15,7.35
49,11.0,False,0.11,5.39
23,11.0,,0.11,2.53
46,11.0,,0.11,5.06
31,11.0,,0.11,3.41
38,11.0,,0.11,4.18
75,11.0,,0.11,8.25
46,11.0,,0.11,5.06
80,11.0,False,0.11,8.8
59,11.0,,0.11,6.49
33,11.0,,0.11,3.63
61,11.0,,0.11,6.71
38,11.0,,0.11,4.18
61,11.0,,0.11,6.71
52,11.0,,0.11,5.72
29,8.0,False,0.08,2.32
31,8.0,,0.08,2.48
49,8.0,,0.08,3.92
29,8.0,,0.08,2.32
75,8.0,,0.08,6.0
32,8.0,,0.08,2.56
42,8.0,,0.08,3.36
66,10.0,False,0.1,6.6000000000000005
49,10.0,,0.1,4.9
39,10.0,,0.1,3.9
31,10.0,,0.1,3.1
69,10.0,,0.1,6.9
55,10.0,,0.1,5.5
41,10.0,,0.1,4.1000000000000005
100,12.0,False,0.12,12.0
33,12.0,,0.12,3.96
38,12.0,,0.12,4.56
65,12.0,,0.12,7.8
86,12.0,,0.12,10.32
41,12.0,,0.12,4.92
48,12.0,,0.12,5.76
32,19.0,False,0.19,6.08
35,19.0,,0.19,6.65
54,19.0,,0.19,10.26
45,19.0,,0.19,8.55
100,19.0,,0.19,19.0
75,19.0,,0.19,14.25
37,19.0,,0.19,7.03
91,18.0,False,0.18,16.38
29,18.0,,0.18,5.22
65,18.0,,0.18,11.7
31,18.0,,0.18,5.58
78,18.0,,0.18,14.04
58,18.0,,0.18,10.44
21,18.0,,0.18,3.78
19,8.0,False,0.08,1.52
20,8.0,,0.08,1.6
17,8.0,,0.08,1.36
18,8.0,,0.08,1.44
20,8.0,,0.08,1.6
27,8.0,,0.08,2.16
61,8.0,,0.08,4.88
69,17.0,False,0.17,11.73
39,17.0,,0.17,6.630000000000001
31,17.0,,0.17,5.2700000000000005
56,17.0,,0.17,9.52
33,17.0,,0.17,5.61
91,17.0,,0.17,15.47
37,17.0,,0.17,6.29
69,19.0,False,0.19,13.11
24,19.0,,0.19,4.5600000000000005
54,19.0,,0.19,10.26
59,19.0,,0.19,11.21
29,19.0,,0.19,5.51
72,19.0,,0.19,13.68
32,19.0,,0.19,6.08
82,18.0,False,0.18,14.76
28,18.0,,0.18,5.04
56,18.0,,0.18,10.08
24,18.0,,0.18,4.32
31,18.0,,0.18,5.58
69,18.0,,0.18,12.42
36,18.0,,0.18,6.4799999999999995
100,21.0,False,0.21,21.0
31,21.0,,0.21,6.51
64,21.0,,0.21,13.44
61,21.0,,0.21,12.81
30,21.0,,0.21,6.3
54,21.0,,0.21,11.34
36,21.0,,0.21,7.56
42,13.0,False,0.13,5.46
22,13.0,,0.13,2.8600000000000003
33,13.0,,0.13,4.29
46,13.0,,0.13,5.98
20,13.0,,0.13,2.6
23,13.0,,0.13,2.99
47,13.0,,0.13,6.11
32,23.0,False,0.23,7.36
38,23.0,,0.23,8.74
18,23.0,,0.23,4.140000000000001
44,23.0,,0.23,10.12
19,23.0,,0.23,4.37
67,23.0,,0.23,15.41
64,23.0,,0.23,14.72
30,26.0,False,0.26,7.800000000000001
52,26.0,,0.26,13.52
19,26.0,,0.26,4.94
45,26.0,,0.26,11.7
48,26.0,,0.26,12.48
28,26.0,,0.26,7.28
61,26.0,,0.26,15.86
75,24.0,False,0.24,18.0
27,24.0,,0.24,6.4799999999999995
24,24.0,,0.24,5.76
100,24.0,,0.24,24.0
18,24.0,,0.24,4.32
14,24.0,,0.24,3.36
17,24.0,,0.24,4.08
31,27.0,False,0.27,8.370000000000001
82,27.0,,0.27,22.14
19,27.0,,0.27,5.130000000000001
23,27.0,,0.27,6.210000000000001
75,27.0,,0.27,20.25
19,27.0,,0.27,5.130000000000001
29,27.0,,0.27,7.83
98,51.0,False,0.51,49.98
31,51.0,,0.51,15.81
100,51.0,,0.51,51.0
39,51.0,,0.51,19.89
