JPMorgan Chase_unscaled,JPMorgan Chase_monthly,isPartial,scale,JPMorgan Chase
82,39.0,,0.39,31.98
85,39.0,,0.39,33.15
98,39.0,,0.39,38.22
86,39.0,,0.39,33.54
47,39.0,,0.39,18.33
24,35.0,False,0.35,8.399999999999999
80,35.0,,0.35,28.0
96,35.0,,0.35,33.599999999999994
70,35.0,,0.35,24.5
61,35.0,,0.35,21.35
73,35.0,,0.35,25.549999999999997
32,35.0,,0.35,11.2
27,33.0,False,0.33,8.91
36,33.0,,0.33,11.88
71,33.0,,0.33,23.43
66,33.0,,0.33,21.78
71,33.0,,0.33,23.43
63,33.0,,0.33,20.790000000000003
31,33.0,,0.33,10.23
36,41.0,False,0.41,14.76
67,41.0,,0.41,27.47
100,41.0,,0.41,41.0
81,41.0,,0.41,33.21
78,41.0,,0.41,31.979999999999997
74,41.0,,0.41,30.34
44,41.0,,0.41,18.04
31,35.0,False,0.35,10.85
70,35.0,,0.35,24.5
71,35.0,,0.35,24.85
52,35.0,,0.35,18.2
76,35.0,,0.35,26.6
68,35.0,,0.35,23.799999999999997
35,35.0,,0.35,12.25
27,36.0,False,0.36,9.72
66,36.0,,0.36,23.76
78,36.0,,0.36,28.08
82,36.0,,0.36,29.52
60,36.0,,0.36,21.6
61,36.0,,0.36,21.96
39,36.0,,0.36,14.04
42,36.0,False,0.36,15.12
80,36.0,,0.36,28.799999999999997
90,36.0,,0.36,32.4
100,36.0,,0.36,36.0
81,36.0,,0.36,29.16
79,36.0,,0.36,28.44
40,36.0,,0.36,14.4
40,34.0,False,0.34,13.6
68,34.0,,0.34,23.12
73,34.0,,0.34,24.82
85,34.0,,0.34,28.9
85,34.0,,0.34,28.9
72,34.0,,0.34,24.48
44,34.0,,0.34,14.96
29,34.0,False,0.34,9.86
83,34.0,,0.34,28.22
72,34.0,,0.34,24.48
79,34.0,,0.34,26.860000000000003
76,34.0,,0.34,25.840000000000003
63,34.0,,0.34,21.42
38,34.0,,0.34,12.920000000000002
42,35.0,False,0.35,14.7
86,35.0,,0.35,30.1
76,35.0,,0.35,26.6
81,35.0,,0.35,28.35
90,35.0,,0.35,31.499999999999996
56,35.0,,0.35,19.6
42,35.0,,0.35,14.7
25,34.0,False,0.34,8.5
64,34.0,,0.34,21.76
85,34.0,,0.34,28.9
82,34.0,,0.34,27.880000000000003
100,34.0,,0.34,34.0
78,34.0,,0.34,26.520000000000003
39,34.0,,0.34,13.260000000000002
26,32.0,False,0.32,8.32
41,32.0,,0.32,13.12
80,32.0,,0.32,25.6
100,32.0,,0.32,32.0
71,32.0,,0.32,22.72
75,32.0,,0.32,24.0
39,32.0,,0.32,12.48
30,34.0,False,0.34,10.2
100,34.0,,0.34,34.0
87,34.0,,0.34,29.58
77,34.0,,0.34,26.180000000000003
84,34.0,,0.34,28.56
65,34.0,,0.34,22.1
43,34.0,,0.34,14.62
33,34.0,False,0.34,11.22
71,34.0,,0.34,24.14
85,34.0,,0.34,28.9
73,34.0,,0.34,24.82
83,34.0,,0.34,28.22
79,34.0,,0.34,26.860000000000003
45,34.0,,0.34,15.3
34,37.0,False,0.37,12.58
