Season,Date,Opponent,Result,Record,Hi Points,Hi Rebounds,Hi Assists
2022,"Mon, Feb 7",@ Oklahoma City,W 110-98,41-13,Thompson 21,Curry 9,Curry 10
2022,"Wed, Feb 9",@ Utah,L 111-85,41-14,Poole 18,Curry 7,Wiggins 4
2022,"Thu, Feb 10",vs New York,L 116-114,41-15,Curry 35,Thompson 7,Curry 10
2022,"Sat, Feb 12",vs Los Angeles,W 117-115,42-15,Thompson 33,Looney 12,Curry 8
2022,"Mon, Feb 14",@ LA,L 119-104,42-16,Curry 33,Porter Jr. 8,Looney 5
2022,"Wed, Feb 16",vs Denver,L 117-116,42-17,Curry 25,Looney 9,Curry 6
2022,"Thu, Feb 24",@ Portland,W 132-95,43-17,Curry 18,Kuminga 8,Curry 14
2022,"Sun, Feb 27",vs Dallas,L 107-101,43-18,Curry 27,Looney 10,Curry 10
2022,"Tue, Mar 1",@ Minnesota,L 129-114,43-19,Curry 34,Wiggins 7,Looney 5
2022,"Thu, Mar 3",@ Dallas,L 122-113,43-20,Poole 23,Looney 9,Curry 9
2022,"Sat, Mar 5",@ Los Angeles,L 124-116,43-21,Curry 30,Porter Jr. 10,Poole 5
2022,"Mon, Mar 7",@ Denver,L 131-124,43-22,Poole 32,Looney 11,Chiozza 8
2022,"Tue, Mar 8",vs LA,W 112-97,44-22,Kuminga 21,Wiggins 11,Kuminga 6
2022,"Thu, Mar 10",@ Denver,W 113-102,45-22,Curry 34,Curry 9,Poole 7
2022,"Sat, Mar 12",vs Milwaukee,W 122-109,46-22,Thompson 38,Kuminga 11,Curry 8
2022,"Mon, Mar 14",vs Washington,W 126-112,47-22,Curry 47,Kuminga 8,Curry 6
2022,"Wed, Mar 16",vs Boston,L 110-88,47-23,Poole 29,Looney 8,Looney 4
2022,"Sun, Mar 20",vs San Antonio,L 110-108,47-24,Poole 28,Porter Jr. 16,Bjelica 6
2022,"Tue, Mar 22",@ Orlando,L 94-90,47-25,Poole 26,Porter Jr. 15,Green 7
2022,"Wed, Mar 23",@ Miami,W 118-104,48-25,Poole 30,Looney 16,Poole 9
2022,"Fri, Mar 25",@ Atlanta,L 121-110,48-26,Thompson 37,Looney 8,Poole 10
2022,"Sun, Mar 27",@ Washington,L 123-115,48-27,Poole 26,Porter Jr. 11,Green 6
2022,"Mon, Mar 28",@ Memphis,L 123-95,48-28,Poole 25,Kuminga 7,Kuminga 4
2022,"Wed, Mar 30",vs Phoenix,L 107-103,48-29,Poole 38,Green 10,Poole 7
2022,"Sat, Apr 2",vs Utah,W 111-107,49-29,Thompson 36,Green 9,Green 7
2022,"Sun, Apr 3",@ Sacramento,W 109-90,50-29,Wiggins 25,Bjelica 12,Bjelica 6
2022,"Thu, Apr 7",vs Los Angeles,W 128-112,51-29,Thompson 33,Porter Jr. 8,Poole 11
2022,"Sat, Apr 9",@ San Antonio,W 100-94,52-29,Poole 18,Green 13,Poole 8
2022,"Sun, Apr 10",@ New Orleans,W 128-107,53-29,Thompson 41,Bjelica 7,Bjelica 7
2023,"Tue, Oct 18",vs Los Angeles,W 123-109,1-0,Curry 33,Wiseman 7,Curry 7
2023,"Fri, Oct 21",vs Denver,L 128-123,1-1,Curry 34,Wiggins 8,Green 9
2023,"Sun, Oct 23",vs Sacramento,W 130-125,2-1,Curry 33,Looney 8,Looney 6
2023,"Tue, Oct 25",@ Phoenix,L 134-105,2-2,Curry 21,Green 8,Curry 8
2023,"Thu, Oct 27",vs Miami,W 123-110,3-2,Curry 33,Wiggins 10,Curry 9
2023,"Sat, Oct 29",@ Charlotte,L 120-113 OT,3-3,Curry 31,Curry 11,Curry 6
2023,"Sun, Oct 30",@ Detroit,L 128-114,3-4,Curry 32,Looney 9,Green 7
2023,"Tue, Nov 1",@ Miami,L 116-109,3-5,Curry 23,Curry 13,Curry 13
2023,"Thu, Nov 3",@ Orlando,L 130-129,3-6,Curry 39,Looney 7,Curry 9
2023,"Fri, Nov 4",@ New Orleans,L 114-105,3-7,Poole 20,Jerome 6,Poole 9
2023,"Mon, Nov 7",vs Sacramento,W 116-113,4-7,Curry 47,Looney 13,Curry 8
2023,"Fri, Nov 11",vs Cleveland,W 106-101,5-7,Curry 40,Looney 9,Green 13
2023,"Sun, Nov 13",@ Sacramento,L 122-115,5-8,Curry 27,Looney 10,Green 11
2023,"Mon, Nov 14",vs San Antonio,W 132-95,6-8,Poole 36,Green 7,Green 6
2023,"Wed, Nov 16",@ Phoenix,L 130-119,6-9,Curry 50,Curry 9,Green 8
2023,"Fri, Nov 18",vs New York,W 111-101,7-9,Curry 24,Green 9,Curry 10
2023,"Sun, Nov 20",@ Houston,W 127-120,8-9,Thompson 41,Looney 7,Curry 15
2023,"Mon, Nov 21",@ New Orleans,L 128-83,8-10,Poole 26,Green 8,Lamb 5
2023,"Wed, Nov 23",vs LA,W 124-107,9-10,Wiggins 31,Green 7,Green 12
2023,"Fri, Nov 25",vs Utah,W 129-118,10-10,Curry 33,Looney 12,Poole 6
2023,"Sun, Nov 27",@ Minnesota,W 137-114,11-10,Curry 25,Curry 11,Green 11
2023,"Tue, Nov 29",@ Dallas,L 116-113,11-11,Curry 32,Kuminga 10,Poole 9
2023,"Fri, Dec 2",vs Chicago,W 119-111,12-11,Poole 30,Looney 12,Green 10
2023,"Sat, Dec 3",vs Houston,W 120-101,13-11,Wiggins 36,Looney 12,Curry 10
2023,"Mon, Dec 5",vs Indiana,L 112-104,13-12,Thompson 28,Green 9,Curry 6
2023,"Wed, Dec 7",@ Utah,L 124-123,13-13,Poole 36,DiVincenzo 9,Poole 8
2023,"Sat, Dec 10",vs Boston,W 123-107,14-13,Thompson 34,Looney 15,Curry 7
2023,"Tue, Dec 13",@ Milwaukee,L 128-111,14-14,Curry 20,Looney 8,Green 7
2023,"Wed, Dec 14",@ Indiana,L 125-119,14-15,Curry 38,DiVincenzo 8,Curry 7
2023,"Fri, Dec 16",@ Philadelphia,L 118-106,14-16,Poole 29,Looney 11,Looney 9
2023,"Sun, Dec 18",@ Toronto,W 126-110,15-16,Poole 43,Looney 11,Poole 6
2023,"Tue, Dec 20",@ New York,L 132-94,15-17,Poole 26,Looney 6,Green 6
2023,"Wed, Dec 21",@ Brooklyn,L 143-113,15-18,Wiseman 30,Looney 7,Jerome 7
2023,"Sun, Dec 25",vs Memphis,W 123-109,16-18,Poole 32,Green 13,Green 13
2023,"Tue, Dec 27",vs Charlotte,W 110-105,17-18,Thompson 29,Green 10,DiVincenzo 7
2023,"Wed, Dec 28",vs Utah,W 112-107,18-18,Poole 26,Looney 12,Looney 5
2023,"Fri, Dec 30",vs Portland,W 118-112,19-18,Poole 41,Green 11,Poole 6
2023,"Mon, Jan 2",vs Atlanta,W 143-141 2OT,20-18,Thompson 54,Looney 20,Green 11
2023,"Wed, Jan 4",vs Detroit,L 122-119,20-19,Thompson 30,Looney 15,Green 7
2023,"Sat, Jan 7",vs Orlando,L 115-101,20-20,Lamb 26,Looney 12,Poole 6
2023,"Tue, Jan 10",vs Phoenix,L 125-113,20-21,Thompson 29,Green 12,Poole 6
2023,"Fri, Jan 13",@ San Antonio,W 144-113,21-21,Poole 25,Green 12,Poole 6
2023,"Sun, Jan 15",@ Chicago,L 132-118,21-22,Thompson 26,Curry 10,Green 7
2023,"Mon, Jan 16",@ Washington,W 127-118,22-22,Curry 41,Looney 9,Green 10
2023,"Thu, Jan 19",@ Boston,L 121-118 OT,22-23,Curry 29,Green 13,Green 9
2023,"Fri, Jan 20",@ Cleveland,W 120-114,23-23,Poole 32,Looney 17,Jerome 8
2023,"Sun, Jan 22",vs Brooklyn,L 120-116,23-24,Curry 26,Green 11,DiVincenzo 8
2023,"Wed, Jan 25",vs Memphis,W 122-120,24-24,Curry 34,Green 13,Poole 7
2023,"Fri, Jan 27",vs Toronto,W 129-117,25-24,Curry 35,Thompson 8,Curry 11
2023,"Mon, Jan 30",@ Oklahoma City,W 128-120,26-24,Curry 38,Green 9,Curry 12
2023,"Wed, Feb 1",@ Minnesota,L 119-114 OT,26-25,Curry 29,Green 12,Poole 5
2023,"Thu, Feb 2",@ Denver,L 134-117,26-26,Curry 28,Wiggins 10,Curry 5
2023,"Sat, Feb 4",vs Dallas,W 119-113,27-26,Curry 21,Green 9,Green 9
2023,"Mon, Feb 6",vs Oklahoma City,W 141-114,28-26,Thompson 42,Looney 11,Poole 12
2023,"Wed, Feb 8",@ Portland,L 125-122,28-27,Poole 38,Wiggins 10,Poole 7
2023,"Sat, Feb 11",vs Los Angeles,L 109-103,28-28,Poole 29,Looney 13,Green 10
2023,"Mon, Feb 13",vs Washington,W 135-126,29-28,Wiggins 29,Looney 13,Jerome 7
2023,"Tue, Feb 14",@ LA,L 134-124,29-29,Poole 28,Looney 14,Green 7
2023,"Thu, Feb 23",@ Los Angeles,L 124-111,29-30,Thompson 22,Looney 15,Kuminga 5
2023,"Fri, Feb 24",vs Houston,W 116-101,30-30,Thompson 42,Looney 13,Poole 8
2023,"Sun, Feb 26",vs Minnesota,W 109-104,31-30,Thompson 32,Looney 17,DiVincenzo 5
2023,"Tue, Feb 28",vs Portland,W 123-105,32-30,Poole 29,Green 9,Green 8
2023,"Thu, Mar 2",vs LA,W 115-91,33-30,Poole 34,Thompson 11,Green 9
2023,"Fri, Mar 3",vs New Orleans,W 108-99,34-30,Thompson 27,Looney 11,Poole 7
2023,"Sun, Mar 5",@ Los Angeles,L 113-105,34-31,Curry 27,Green 8,Curry 6
2023,"Tue, Mar 7",@ Oklahoma City,L 137-128,34-32,Curry 40,Curry 6,Green 11
2023,"Thu, Mar 9",@ Memphis,L 131-110,34-33,Curry 29,Curry 7,Green 7
2023,"Sat, Mar 11",vs Milwaukee,W 125-116 OT,35-33,Curry 36,Looney 15,Green 9
2023,"Mon, Mar 13",vs Phoenix,W 123-112,36-33,Thompson 38,Looney 10,Poole 6
2023,"Wed, Mar 15",@ LA,L 134-126,36-34,Curry 50,Looney 13,Curry 6
2023,"Fri, Mar 17",@ Atlanta,L 127-119,36-35,Curry 31,Looney 16,DiVincenzo 6
2023,"Sat, Mar 18",@ Memphis,L 133-119,36-36,Kuminga 24,Kuminga 8,DiVincenzo 7
2023,"Mon, Mar 20",@ Houston,W 121-108,37-36,Curry 30,Looney 10,Poole 8
2023,"Wed, Mar 22",@ Dallas,W 127-125,38-36,Kuminga 22,Looney 12,Curry 13
2023,"Fri, Mar 24",vs Philadelphia,W 120-112,44-38,Poole 33,Looney 10,Green 10
2023,"Sun, Mar 26",vs Minnesota,L 99-96,39-37,Poole 27,Green 7,Curry 9
2023,"Tue, Mar 28",vs New Orleans,W 120-109,40-37,Curry 39,Curry 8,Green 13
2023,"Fri, Mar 31",vs San Antonio,W 130-115,41-37,Curry 33,Looney 9,Green 11
2023,"Sun, Apr 2",@ Denver,L 112-110,41-38,Thompson 25,Looney 14,Green 7
2023,"Tue, Apr 4",vs Oklahoma City,W 136-125,42-38,Curry 34,Looney 11,Curry 6
2023,"Fri, Apr 7",@ Sacramento,W 119-97,43-38,Thompson 29,Looney 16,DiVincenzo 9
2023,"Sun, Apr 9",@ Portland,W 157-101,44-38,Curry 26,Looney 8,DiVincenzo 8
2024,"Tue, Oct 24",vs Phoenix,L 108-104,0-1,Curry 27,Looney 11,Paul 9
2024,"Fri, Oct 27",@ Sacramento,W 122-114,1-1,Curry 41,Looney 12,Paul 12
2024,"Sun, Oct 29",@ Houston,W 106-95,2-1,Curry 24,Looney 11,Paul 7
2024,"Mon, Oct 30",@ New Orleans,W 130-102,3-1,Curry 42,Saric 10,Green 7
2024,"Wed, Nov 1",vs Sacramento,W 102-101,4-1,Curry 21,Looney 9,Green 9
2024,"Fri, Nov 3",@ Oklahoma City,W 141-139,5-1,Curry 30,Curry 8,Paul 13
2024,"Sun, Nov 5",@ Cleveland,L 115-104,5-2,Curry 28,Looney 11,Green 8
2024,"Mon, Nov 6",@ Detroit,W 120-109,6-2,Curry 34,Green 9,Green 8
2024,"Wed, Nov 8",@ Denver,L 108-105,6-3,Curry 23,Looney 8,Curry 4
2024,"Sat, Nov 11",vs Cleveland,L 118-110,6-4,Curry 30,Looney 13,Paul 9
2024,"Sun, Nov 12",vs Minnesota,L 116-110,6-5,Curry 38,Saric 10,Green 7
2024,"Tue, Nov 14",vs Minnesota,L 104-101,6-6,Podziemski 23,Looney 12,Podziemski 5
2024,"Thu, Nov 16",vs Oklahoma City,L 128-109,6-7,Kuminga 21,Looney 11,Paul 8
2024,"Sat, Nov 18",vs Oklahoma City,L 130-123 OT,6-8,Wiggins 31,Looney 16,Paul 11
2024,"Mon, Nov 20",vs Houston,W 121-116,7-8,Curry 32,Wiggins 7,Paul 12
2024,"Wed, Nov 22",@ Phoenix,L 123-115,7-9,Thompson 23,Moody 9,Curry 6
2024,"Fri, Nov 24",vs San Antonio,W 118-112,8-9,Curry 35,Looney 8,Paul 10
2024,"Tue, Nov 28",@ Sacramento,L 124-123,8-10,Curry 29,Curry 10,Curry 6
2024,"Thu, Nov 30",vs LA,W 120-114,9-10,Curry 26,Podziemski 8,Curry 8
2024,"Sat, Dec 2",@ LA,L 113-112,9-11,Curry 22,Green 9,Curry 11
2024,"Wed, Dec 6",vs Portland,W 110-106,10-11,Curry 31,Green 10,Green 9
2024,"Fri, Dec 8",@ Oklahoma City,L 138-136 OT,10-12,Curry 34,Kuminga 12,Green 13
2024,"Tue, Dec 12",@ Phoenix,L 119-116,10-13,Curry 24,Podziemski 11,Paul 11
2024,"Thu, Dec 14",@ LA,L 121-113,10-14,Thompson 30,Looney 7,Thompson 5
2024,"Sat, Dec 16",vs Brooklyn,W 124-120,11-14,Curry 37,Looney 7,Paul 11
2024,"Sun, Dec 17",@ Portland,W 118-114,12-14,Thompson 28,Jackson-Davis 8,Curry 8
2024,"Tue, Dec 19",vs Boston,W 132-126 OT,13-14,Curry 33,Jackson-Davis 13,Paul 12
2024,"Fri, Dec 22",vs Washington,W 129-118,14-14,Curry 30,Jackson-Davis 15,Paul 10
2024,"Sat, Dec 23",vs Portland,W 126-106,15-14,Thompson 28,Looney 11,Paul 11
2024,"Mon, Dec 25",@ Denver,L 120-114,15-15,Wiggins 22,Podziemski 9,Podziemski 6
2024,"Thu, Dec 28",vs Miami,L 114-102,15-16,Curry 13,Jackson-Davis 11,Podziemski 6
2024,"Sat, Dec 30",vs Dallas,L 132-122,15-17,Curry 25,Kuminga 9,Curry 7
2024,"Tue, Jan 2",vs Orlando,W 121-115,16-17,Curry 36,Kuminga 6,Curry 6
2024,"Thu, Jan 4",vs Denver,L 130-127,16-18,Curry 30,Saric 7,Curry 6
2024,"Fri, Jan 5",vs Detroit,W 113-109,17-18,Curry 26,Jackson-Davis 9,Podziemski 5
2024,"Sun, Jan 7",vs Toronto,L 133-118,17-19,Thompson 25,Jackson-Davis 11,Curry 6
2024,"Wed, Jan 10",vs New Orleans,L 141-105,17-20,Moody 21,Podziemski 9,Curry 6
2024,"Fri, Jan 12",@ Chicago,W 140-131,18-20,Thompson 30,Jackson-Davis 7,Curry 9
2024,"Sat, Jan 13",@ Milwaukee,L 129-118,18-21,Kuminga 28,Podziemski 10,Saric 6
2024,"Mon, Jan 15",@ Memphis,L 116-107,18-22,Curry 26,Kuminga 11,Curry 8
2024,"Wed, Jan 24",vs Atlanta,W 134-112,19-22,Kuminga 25,Kuminga 9,Curry 8
2024,"Thu, Jan 25",vs Sacramento,L 134-133,19-23,Curry 33,Curry 6,Green 11
2024,"Sat, Jan 27",vs Los Angeles,L 145-144 2OT,19-24,Curry 46,Green 14,Green 11
2024,"Tue, Jan 30",vs Philadelphia,W 119-107,20-24,Curry 37,Curry 8,Curry 7
2024,"Fri, Feb 2",@ Memphis,W 121-101,21-24,Kuminga 29,Green 12,Podziemski 14
2024,"Sat, Feb 3",@ Atlanta,L 141-134 OT,21-25,Curry 60,Podziemski 11,Green 8
2024,"Mon, Feb 5",@ Brooklyn,W 109-98,22-25,Curry 29,Podziemski 11,Green 7
