Season,Date,Opponent,Result,Record,Hi Points,Hi Rebounds,Hi Assists
2025,"Mon, Dec 23",vs Indiana,L 111-105,15-13,Kuminga 26,Kuminga 8,Curry 7
2025,"Wed, Dec 25",vs Los Angeles,L 115-113,15-14,Curry 38,Wiggins 12,Curry 6
2025,"Fri, Dec 27",@ LA,L 102-92,15-15,Kuminga 34,Kuminga 10,Kuminga 5
2025,"Sat, Dec 28",vs Phoenix,W 109-105,16-15,Kuminga 34,Jackson-Davis 10,Green 7
2025,"Mon, Dec 30",vs Cleveland,L 113-95,16-16,Moody 19,Jackson-Davis 16,Green 5
2025,"Thu, Jan 2",vs Philadelphia,W 139-105,17-16,Curry 30,Wiggins 7,Curry 10
2025,"Sat, Jan 4",vs Memphis,W 121-113,18-16,Wiggins 24,Jackson-Davis 9,Schroder 9
2025,"Sun, Jan 5",vs Sacramento,L 129-99,18-17,Curry 26,Curry 7,Green 4
2025,"Tue, Jan 7",vs Miami,L 114-98,18-18,Curry 31,Green 10,Green 10
2025,"Thu, Jan 9",@ Detroit,W 107-104,19-18,Hield 19,Jackson-Davis 10,Curry 6
2025,"Fri, Jan 10",@ Indiana,L 108-96,19-19,Hield 17,Jackson-Davis 10,Hield 5
2025,"Mon, Jan 13",@ Toronto,L 104-101,19-20,Curry 26,Looney 9,Curry 7
2025,"Wed, Jan 15",@ Minnesota,W 116-115,20-20,Curry 31,Jackson-Davis 15,Curry 8
2025,"Sat, Jan 18",vs Washington,W 122-114,21-20,Wiggins 31,Jackson-Davis 15,Curry 6
2025,"Mon, Jan 20",vs Boston,L 125-85,21-21,Curry 18,Looney 7,Moody 5
2025,"Wed, Jan 22",@ Sacramento,L 123-117,21-22,Wiggins 25,Jackson-Davis 8,Curry 12
2025,"Thu, Jan 23",vs Chicago,W 131-106,22-22,Curry 21,Looney 11,Curry 7
2025,"Sat, Jan 25",vs Los Angeles,L 118-108,22-23,Wiggins 20,Wiggins 6,Curry 9
2025,"Tue, Jan 28",vs Utah,W 114-103,23-23,Schroder 23,Looney 11,Podziemski 6
2025,"Wed, Jan 29",vs Oklahoma City,W 116-109,24-23,Wiggins 27,Payton II 9,Schroder 7
2025,"Fri, Jan 31",vs Phoenix,L 130-105,24-24,Wiggins 17,Wiggins 8,Wiggins 6
2025,"Mon, Feb 3",vs Orlando,W 104-99,25-24,Wiggins 25,Looney 15,Looney 6
2025,"Wed, Feb 5",@ Utah,L 131-128,25-25,Curry 32,Looney 10,Green 9
2025,"Thu, Feb 6",@ Los Angeles,L 120-112,25-26,Curry 37,Podziemski 8,Podziemski 7
2025,"Sat, Feb 8",@ Chicago,W 132-111,26-26,Curry 34,Santos 8,Podziemski 7
2025,"Mon, Feb 10",@ Milwaukee,W 125-111,27-26,Curry 38,Butler III 9,Butler III 6
2025,"Wed, Feb 12",@ Dallas,L 111-107,27-27,Curry 25,Butler III 9,Curry 8
2025,"Thu, Feb 13",@ Houston,W 105-98,28-27,Curry 27,Looney 9,Green 8
2025,"Fri, Feb 21",@ Sacramento,W 132-108,29-27,Hield 22,Green 8,Green 9
2025,"Sun, Feb 23",vs Dallas,W 126-102,30-27,Curry 30,Podziemski 13,Curry 7
2025,"Tue, Feb 25",vs Charlotte,W 128-92,31-27,Hield 16,Butler III 8,Green 6
2025,"Thu, Feb 27",@ Orlando,W 121-115,32-27,Curry 56,Green 10,Podziemski 7
2025,"Sat, Mar 1",@ Philadelphia,L 126-119,32-28,Curry 29,Post 9,Curry 13
