Adobe_unscaled,Adobe_monthly,isPartial,scale,Adobe
42,59.0,False,0.59,24.779999999999998
75,59.0,,0.59,44.25
77,59.0,,0.59,45.43
99,59.0,,0.59,58.41
80,59.0,,0.59,47.199999999999996
70,59.0,,0.59,41.3
40,59.0,,0.59,23.599999999999998
40,59.0,False,0.59,23.599999999999998
78,59.0,,0.59,46.019999999999996
73,59.0,,0.59,43.07
100,59.0,,0.59,59.0
80,59.0,,0.59,47.199999999999996
73,59.0,,0.59,43.07
45,59.0,,0.59,26.549999999999997
39,55.0,False,0.55,21.450000000000003
52,55.0,,0.55,28.6
75,55.0,,0.55,41.25
94,55.0,,0.55,51.7
84,55.0,,0.55,46.2
70,55.0,,0.55,38.5
43,55.0,,0.55,23.650000000000002
41,61.0,False,0.61,25.009999999999998
80,61.0,,0.61,48.8
82,61.0,,0.61,50.019999999999996
96,61.0,,0.61,58.56
82,61.0,,0.61,50.019999999999996
84,61.0,,0.61,51.24
43,61.0,,0.61,26.23
43,58.0,False,0.58,24.939999999999998
82,58.0,,0.58,47.559999999999995
80,58.0,,0.58,46.4
94,58.0,,0.58,54.519999999999996
80,58.0,,0.58,46.4
79,58.0,,0.58,45.82
46,58.0,,0.58,26.68
42,63.0,False,0.63,26.46
70,63.0,,0.63,44.1
78,63.0,,0.63,49.14
94,63.0,,0.63,59.22
79,63.0,,0.63,49.77
100,63.0,,0.63,63.0
47,63.0,,0.63,29.61
41,58.0,False,0.58,23.779999999999998
68,58.0,,0.58,39.44
77,58.0,,0.58,44.66
81,58.0,,0.58,46.98
68,58.0,,0.58,39.44
60,58.0,,0.58,34.8
39,58.0,,0.58,22.619999999999997
38,55.0,False,0.55,20.900000000000002
67,55.0,,0.55,36.85
68,55.0,,0.55,37.400000000000006
84,55.0,,0.55,46.2
70,55.0,,0.55,38.5
63,55.0,,0.55,34.650000000000006
40,55.0,,0.55,22.0
37,65.0,False,0.65,24.05
71,65.0,,0.65,46.15
80,65.0,,0.65,52.0
92,65.0,,0.65,59.800000000000004
79,65.0,,0.65,51.35
76,65.0,,0.65,49.4
42,65.0,,0.65,27.3
40,69.0,False,0.69,27.599999999999998
75,69.0,,0.69,51.74999999999999
85,69.0,,0.69,58.65
100,69.0,,0.69,69.0
81,69.0,,0.69,55.88999999999999
86,69.0,,0.69,59.339999999999996
46,69.0,,0.69,31.74
57,69.0,False,0.69,39.33
84,69.0,,0.69,57.959999999999994
91,69.0,,0.69,62.78999999999999
92,69.0,,0.69,63.48
71,69.0,,0.69,48.989999999999995
64,69.0,,0.69,44.16
37,69.0,,0.69,25.529999999999998
36,63.0,False,0.63,22.68
39,63.0,,0.63,24.57
71,63.0,,0.63,44.73
87,63.0,,0.63,54.81
69,63.0,,0.63,43.47
61,63.0,,0.63,38.43
36,63.0,,0.63,22.68
37,70.0,False,0.7,25.9
69,70.0,,0.7,48.3
73,70.0,,0.7,51.099999999999994
93,70.0,,0.7,65.1
74,70.0,,0.7,51.8
67,70.0,,0.7,46.9
35,70.0,,0.7,24.5
37,69.0,False,0.69,25.529999999999998
71,69.0,,0.69,48.989999999999995
71,69.0,,0.69,48.989999999999995
92,69.0,,0.69,63.48
70,69.0,,0.69,48.3
62,69.0,,0.69,42.779999999999994
38,69.0,,0.69,26.22
33,68.0,False,0.68,22.44
65,68.0,,0.68,44.2
67,68.0,,0.68,45.56
100,68.0,,0.68,68.0
70,68.0,,0.68,47.6
72,68.0,,0.68,48.96
39,68.0,,0.68,26.520000000000003
41,67.0,False,0.67,27.470000000000002
72,67.0,,0.67,48.24
74,67.0,,0.67,49.580000000000005
86,67.0,,0.67,57.620000000000005
73,67.0,,0.67,48.910000000000004
66,67.0,,0.67,44.220000000000006
38,67.0,,0.67,25.46
36,66.0,False,0.66,23.76
65,66.0,,0.66,42.9
75,66.0,,0.66,49.5
74,66.0,,0.66,48.84
82,66.0,,0.66,54.120000000000005
70,66.0,,0.66,46.2
40,66.0,,0.66,26.400000000000002
40,69.0,False,0.69,27.599999999999998
71,69.0,,0.69,48.989999999999995
77,69.0,,0.69,53.129999999999995
83,69.0,,0.69,57.269999999999996
78,69.0,,0.69,53.81999999999999
66,69.0,,0.69,45.54
40,69.0,,0.69,27.599999999999998
41,72.0,False,0.72,29.52
