Adobe_unscaled,Adobe_monthly,isPartial,scale,Adobe
93,86.0,,0.86,79.98
92,86.0,,0.86,79.12
71,86.0,,0.86,61.06
50,86.0,,0.86,43.0
50,86.0,False,0.86,43.0
87,86.0,,0.86,74.82
95,86.0,,0.86,81.7
100,86.0,,0.86,86.0
98,86.0,,0.86,84.28
76,86.0,,0.86,65.36
49,86.0,,0.86,42.14
48,84.0,False,0.84,40.32
92,84.0,,0.84,77.28
96,84.0,,0.84,80.64
97,84.0,,0.84,81.48
89,84.0,,0.84,74.75999999999999
77,84.0,,0.84,64.67999999999999
46,84.0,,0.84,38.64
45,87.0,False,0.87,39.15
96,87.0,,0.87,83.52
97,87.0,,0.87,84.39
96,87.0,,0.87,83.52
94,87.0,,0.87,81.78
81,87.0,,0.87,70.47
52,87.0,,0.87,45.24
49,89.0,False,0.89,43.61
97,89.0,,0.89,86.33
100,89.0,,0.89,89.0
100,89.0,,0.89,89.0
97,89.0,,0.89,86.33
83,89.0,,0.89,73.87
47,89.0,,0.89,41.83
45,78.0,False,0.78,35.1
90,78.0,,0.78,70.2
94,78.0,,0.78,73.32000000000001
93,78.0,,0.78,72.54
94,78.0,,0.78,73.32000000000001
79,78.0,,0.78,61.620000000000005
45,78.0,,0.78,35.1
41,79.0,False,0.79,32.39
91,79.0,,0.79,71.89
99,79.0,,0.79,78.21000000000001
91,79.0,,0.79,71.89
88,79.0,,0.79,69.52000000000001
81,79.0,,0.79,63.99
44,79.0,,0.79,34.760000000000005
44,85.0,False,0.85,37.4
87,85.0,,0.85,73.95
96,85.0,,0.85,81.6
97,85.0,,0.85,82.45
99,85.0,,0.85,84.14999999999999
80,85.0,,0.85,68.0
55,85.0,,0.85,46.75
47,82.0,False,0.82,38.54
49,82.0,,0.82,40.18
95,82.0,,0.82,77.89999999999999
95,82.0,,0.82,77.89999999999999
100,82.0,,0.82,82.0
81,82.0,,0.82,66.42
55,82.0,,0.82,45.099999999999994
44,83.0,False,0.83,36.519999999999996
84,83.0,,0.83,69.72
92,83.0,,0.83,76.36
95,83.0,,0.83,78.85
90,83.0,,0.83,74.7
76,83.0,,0.83,63.08
44,83.0,,0.83,36.519999999999996
42,84.0,False,0.84,35.28
90,84.0,,0.84,75.6
94,84.0,,0.84,78.96
95,84.0,,0.84,79.8
95,84.0,,0.84,79.8
77,84.0,,0.84,64.67999999999999
45,84.0,,0.84,37.8
42,77.0,False,0.77,32.34
67,77.0,,0.77,51.59
91,77.0,,0.77,70.07000000000001
93,77.0,,0.77,71.61
82,77.0,,0.77,63.14
78,77.0,,0.77,60.06
50,77.0,,0.77,38.5
41,81.0,False,0.81,33.21
84,81.0,,0.81,68.04
97,81.0,,0.81,78.57000000000001
95,81.0,,0.81,76.95
87,81.0,,0.81,70.47
70,81.0,,0.81,56.7
48,81.0,,0.81,38.88
47,69.0,False,0.69,32.43
66,69.0,,0.69,45.54
49,69.0,,0.69,33.809999999999995
81,69.0,,0.69,55.88999999999999
95,69.0,,0.69,65.55
83,69.0,,0.69,57.269999999999996
51,69.0,,0.69,35.19
49,79.0,False,0.79,38.71
84,79.0,,0.79,66.36
98,79.0,,0.79,77.42
95,79.0,,0.79,75.05
90,79.0,,0.79,71.10000000000001
80,79.0,,0.79,63.2
58,79.0,,0.79,45.82
48,75.0,False,0.75,36.0
89,75.0,,0.75,66.75
83,75.0,,0.75,62.25
88,75.0,,0.75,66.0
85,75.0,,0.75,63.75
72,75.0,,0.75,54.0
58,75.0,,0.75,43.5
46,79.0,False,0.79,36.34
87,79.0,,0.79,68.73
95,79.0,,0.79,75.05
100,79.0,,0.79,79.0
93,79.0,,0.79,73.47
72,79.0,,0.79,56.88
51,79.0,,0.79,40.29
45,78.0,False,0.78,35.1
81,78.0,,0.78,63.18
90,78.0,,0.78,70.2
81,78.0,,0.78,63.18
80,78.0,,0.78,62.400000000000006
70,78.0,,0.78,54.6
54,78.0,,0.78,42.120000000000005
41,76.0,False,0.76,31.16
76,76.0,,0.76,57.76
82,76.0,,0.76,62.32
79,76.0,,0.76,60.04
80,76.0,,0.76,60.8
67,76.0,,0.76,50.92
52,76.0,,0.76,39.52
44,84.0,False,0.84,36.96
84,84.0,,0.84,70.56
84,84.0,,0.84,70.56
87,84.0,,0.84,73.08
87,84.0,,0.84,73.08
77,84.0,,0.84,64.67999999999999
53,84.0,,0.84,44.519999999999996
46,90.0,False,0.9,41.4
90,90.0,,0.9,81.0
100,90.0,,0.9,90.0
99,90.0,,0.9,89.10000000000001
96,90.0,,0.9,86.4
80,90.0,,0.9,72.0
56,90.0,,0.9,50.4
49,87.0,False,0.87,42.63
92,87.0,,0.87,80.04
97,87.0,,0.87,84.39
97,87.0,,0.87,84.39
95,87.0,,0.87,82.65
84,87.0,,0.87,73.08
61,87.0,,0.87,53.07
43,82.0,False,0.82,35.26
52,82.0,,0.82,42.64
85,82.0,,0.82,69.7
97,82.0,,0.82,79.53999999999999
90,82.0,,0.82,73.8
80,82.0,,0.82,65.6
53,82.0,,0.82,43.46
46,91.0,False,0.91,41.86
84,91.0,,0.91,76.44
97,91.0,,0.91,88.27
96,91.0,,0.91,87.36
100,91.0,,0.91,91.0
83,91.0,,0.91,75.53
56,91.0,,0.91,50.96
47,82.0,False,0.82,38.54
87,82.0,,0.82,71.33999999999999
91,82.0,,0.82,74.61999999999999
91,82.0,,0.82,74.61999999999999
94,82.0,,0.82,77.08
78,82.0,,0.82,63.959999999999994
49,82.0,,0.82,40.18
43,86.0,False,0.86,36.98
86,86.0,,0.86,73.96
92,86.0,,0.86,79.12
95,86.0,,0.86,81.7
93,86.0,,0.86,79.98
74,86.0,,0.86,63.64
55,86.0,,0.86,47.3
46,83.0,False,0.83,38.18
93,83.0,,0.83,77.19
98,83.0,,0.83,81.33999999999999
93,83.0,,0.83,77.19
90,83.0,,0.83,74.7
89,83.0,,0.83,73.86999999999999
53,83.0,,0.83,43.989999999999995
43,85.0,False,0.85,36.55
80,85.0,,0.85,68.0
100,85.0,,0.85,85.0
98,85.0,,0.85,83.3
98,85.0,,0.85,83.3
79,85.0,,0.85,67.14999999999999
49,85.0,,0.85,41.65
51,85.0,False,0.85,43.35
84,85.0,,0.85,71.39999999999999
97,85.0,,0.85,82.45
94,85.0,,0.85,79.89999999999999
96,85.0,,0.85,81.6
79,85.0,,0.85,67.14999999999999
62,85.0,,0.85,52.699999999999996
48,88.0,False,0.88,42.24
88,88.0,,0.88,77.44
95,88.0,,0.88,83.6
99,88.0,,0.88,87.12
96,88.0,,0.88,84.48
81,88.0,,0.88,71.28
51,88.0,,0.88,44.88
44,83.0,False,0.83,36.519999999999996
85,83.0,,0.83,70.55
97,83.0,,0.83,80.50999999999999
100,83.0,,0.83,83.0
91,83.0,,0.83,75.53
81,83.0,,0.83,67.22999999999999
60,83.0,,0.83,49.8
45,83.0,False,0.83,37.35
88,83.0,,0.83,73.03999999999999
91,83.0,,0.83,75.53
88,83.0,,0.83,73.03999999999999
86,83.0,,0.83,71.38
70,83.0,,0.83,58.099999999999994
58,83.0,,0.83,48.14
45,83.0,False,0.83,37.35
87,83.0,,0.83,72.21
90,83.0,,0.83,74.7
94,83.0,,0.83,78.02
82,83.0,,0.83,68.06
77,83.0,,0.83,63.91
55,83.0,,0.83,45.65
41,62.0,False,0.62,25.419999999999998
80,62.0,,0.62,49.6
79,62.0,,0.62,48.98
62,62.0,,0.62,38.44
38,62.0,,0.62,23.56
43,62.0,,0.62,26.66
53,62.0,,0.62,32.86
44,80.0,False,0.8,35.2
83,80.0,,0.8,66.4
95,80.0,,0.8,76.0
96,80.0,,0.8,76.80000000000001
88,80.0,,0.8,70.4
82,80.0,,0.8,65.60000000000001
59,80.0,,0.8,47.2
52,91.0,False,0.91,47.32
95,91.0,,0.91,86.45
97,91.0,,0.91,88.27
93,91.0,,0.91,84.63000000000001
95,91.0,,0.91,86.45
90,91.0,,0.91,81.9
59,91.0,,0.91,53.690000000000005
44,84.0,False,0.84,36.96
91,84.0,,0.84,76.44
98,84.0,,0.84,82.32
100,84.0,,0.84,84.0
89,84.0,,0.84,74.75999999999999
77,84.0,,0.84,64.67999999999999
56,84.0,,0.84,47.04
40,75.0,False,0.75,30.0
92,75.0,,0.75,69.0
83,75.0,,0.75,62.25
75,75.0,,0.75,56.25
71,75.0,,0.75,53.25
59,75.0,,0.75,44.25
50,75.0,,0.75,37.5
34,57.0,False,0.57,19.38
31,57.0,,0.57,17.669999999999998
52,57.0,,0.57,29.639999999999997
59,57.0,,0.57,33.629999999999995
69,57.0,,0.57,39.33
55,57.0,,0.57,31.349999999999998
52,57.0,,0.57,29.639999999999997
36,73.0,False,0.73,26.28
35,73.0,,0.73,25.55
70,73.0,,0.73,51.1
80,73.0,,0.73,58.4
78,73.0,,0.73,56.94
74,73.0,,0.73,54.019999999999996
57,73.0,,0.73,41.61
45,88.0,False,0.88,39.6
74,88.0,,0.88,65.12
85,88.0,,0.88,74.8
94,88.0,,0.88,82.72
88,88.0,,0.88,77.44
73,88.0,,0.88,64.24
52,88.0,,0.88,45.76
49,82.0,False,0.82,40.18
53,82.0,,0.82,43.46
81,82.0,,0.82,66.42
90,82.0,,0.82,73.8
92,82.0,,0.82,75.44
79,82.0,,0.82,64.78
54,82.0,,0.82,44.279999999999994
44,92.0,False,0.92,40.480000000000004
82,92.0,,0.92,75.44
92,92.0,,0.92,84.64
94,92.0,,0.92,86.48
97,92.0,,0.92,89.24000000000001
88,92.0,,0.92,80.96000000000001
61,92.0,,0.92,56.120000000000005
48,96.0,False,0.96,46.08
91,96.0,,0.96,87.36
100,96.0,,0.96,96.0
100,96.0,,0.96,96.0
100,96.0,,0.96,96.0
89,96.0,,0.96,85.44
59,96.0,,0.96,56.64
48,95.0,False,0.95,45.599999999999994
91,95.0,,0.95,86.45
95,95.0,,0.95,90.25
95,95.0,,0.95,90.25
95,95.0,,0.95,90.25
78,95.0,,0.95,74.1
58,95.0,,0.95,55.099999999999994
45,93.0,False,0.93,41.85
78,93.0,,0.93,72.54
95,93.0,,0.93,88.35000000000001
92,93.0,,0.93,85.56
89,93.0,,0.93,82.77000000000001
87,93.0,,0.93,80.91000000000001
54,93.0,,0.93,50.220000000000006
48,92.0,False,0.92,44.160000000000004
67,92.0,,0.92,61.64
95,92.0,,0.92,87.4
97,92.0,,0.92,89.24000000000001
87,92.0,,0.92,80.04
82,92.0,,0.92,75.44
59,92.0,,0.92,54.28
55,89.0,False,0.89,48.95
93,89.0,,0.89,82.77
92,89.0,,0.89,81.88
91,89.0,,0.89,80.99
89,89.0,,0.89,79.21000000000001
83,89.0,,0.89,73.87
58,89.0,,0.89,51.62
46,90.0,False,0.9,41.4
87,90.0,,0.9,78.3
92,90.0,,0.9,82.8
94,90.0,,0.9,84.60000000000001
84,90.0,,0.9,75.60000000000001
74,90.0,,0.9,66.60000000000001
58,90.0,,0.9,52.2
45,91.0,False,0.91,40.95
83,91.0,,0.91,75.53
92,91.0,,0.91,83.72
90,91.0,,0.91,81.9
94,91.0,,0.91,85.54
83,91.0,,0.91,75.53
60,91.0,,0.91,54.6
50,89.0,False,0.89,44.5
93,89.0,,0.89,82.77
93,89.0,,0.89,82.77
88,89.0,,0.89,78.32000000000001
100,89.0,,0.89,89.0
75,89.0,,0.89,66.75
56,89.0,,0.89,49.84
50,87.0,False,0.87,43.5
91,87.0,,0.87,79.17
97,87.0,,0.87,84.39
98,87.0,,0.87,85.26
84,87.0,,0.87,73.08
65,87.0,,0.87,56.55
55,87.0,,0.87,47.85
43,91.0,False,0.91,39.13
90,91.0,,0.91,81.9
94,91.0,,0.91,85.54
95,91.0,,0.91,86.45
95,91.0,,0.91,86.45
77,91.0,,0.91,70.07000000000001
58,91.0,,0.91,52.78
45,87.0,False,0.87,39.15
71,87.0,,0.87,61.77
92,87.0,,0.87,80.04
96,87.0,,0.87,83.52
95,87.0,,0.87,82.65
79,87.0,,0.87,68.73
57,87.0,,0.87,49.589999999999996
48,86.0,False,0.86,41.28
88,86.0,,0.86,75.67999999999999
96,86.0,,0.86,82.56
90,86.0,,0.86,77.4
86,86.0,,0.86,73.96
75,86.0,,0.86,64.5
54,86.0,,0.86,46.44
48,89.0,False,0.89,42.72
89,89.0,,0.89,79.21000000000001
92,89.0,,0.89,81.88
100,89.0,,0.89,89.0
94,89.0,,0.89,83.66
79,89.0,,0.89,70.31
60,89.0,,0.89,53.4
53,85.0,False,0.85,45.05
86,85.0,,0.85,73.1
92,85.0,,0.85,78.2
92,85.0,,0.85,78.2
100,85.0,,0.85,85.0
80,85.0,,0.85,68.0
56,85.0,,0.85,47.6
54,85.0,False,0.85,45.9
92,85.0,,0.85,78.2
97,85.0,,0.85,82.45
91,85.0,,0.85,77.35
95,85.0,,0.85,80.75
85,85.0,,0.85,72.25
58,85.0,,0.85,49.3
45,85.0,False,0.85,38.25
92,85.0,,0.85,78.2
99,85.0,,0.85,84.14999999999999
93,85.0,,0.85,79.05
92,85.0,,0.85,78.2
79,85.0,,0.85,67.14999999999999
61,85.0,,0.85,51.85
46,81.0,False,0.81,37.260000000000005
82,81.0,,0.81,66.42
86,81.0,,0.81,69.66000000000001
86,81.0,,0.81,69.66000000000001
91,81.0,,0.81,73.71000000000001
74,81.0,,0.81,59.940000000000005
64,81.0,,0.81,51.84
46,77.0,False,0.77,35.42
51,77.0,,0.77,39.27
88,77.0,,0.77,67.76
91,77.0,,0.77,70.07000000000001
87,77.0,,0.77,66.99
76,77.0,,0.77,58.52
64,77.0,,0.77,49.28
41,84.0,False,0.84,34.44
81,84.0,,0.84,68.03999999999999
91,84.0,,0.84,76.44
90,84.0,,0.84,75.6
89,84.0,,0.84,74.75999999999999
78,84.0,,0.84,65.52
68,84.0,,0.84,57.12
50,85.0,False,0.85,42.5
100,85.0,,0.85,85.0
93,85.0,,0.85,79.05
87,85.0,,0.85,73.95
93,85.0,,0.85,79.05
84,85.0,,0.85,71.39999999999999
61,85.0,,0.85,51.85
41,81.0,False,0.81,33.21
91,81.0,,0.81,73.71000000000001
95,81.0,,0.81,76.95
71,81.0,,0.81,57.510000000000005
81,81.0,,0.81,65.61
75,81.0,,0.81,60.75000000000001
55,81.0,,0.81,44.550000000000004
46,82.0,False,0.82,37.72
86,82.0,,0.82,70.52
90,82.0,,0.82,73.8
99,82.0,,0.82,81.17999999999999
82,82.0,,0.82,67.24
72,82.0,,0.82,59.04
58,82.0,,0.82,47.559999999999995
43,72.0,False,0.72,30.959999999999997
87,72.0,,0.72,62.64
90,72.0,,0.72,64.8
74,72.0,,0.72,53.28
46,72.0,,0.72,33.12
62,72.0,,0.72,44.64
61,72.0,,0.72,43.92
45,75.0,False,0.75,33.75
82,75.0,,0.75,61.5
90,75.0,,0.75,67.5
93,75.0,,0.75,69.75
85,75.0,,0.75,63.75
78,75.0,,0.75,58.5
61,75.0,,0.75,45.75
41,75.0,False,0.75,30.75
79,75.0,,0.75,59.25
88,75.0,,0.75,66.0
93,75.0,,0.75,69.75
83,75.0,,0.75,62.25
72,75.0,,0.75,54.0
63,75.0,,0.75,47.25
50,79.0,False,0.79,39.5
86,79.0,,0.79,67.94
100,79.0,,0.79,79.0
93,79.0,,0.79,73.47
88,79.0,,0.79,69.52000000000001
73,79.0,,0.79,57.67
64,79.0,,0.79,50.56
43,76.0,False,0.76,32.68
76,76.0,,0.76,57.76
91,76.0,,0.76,69.16
91,76.0,,0.76,69.16
81,76.0,,0.76,61.56
70,76.0,,0.76,53.2
56,76.0,,0.76,42.56
40,79.0,False,0.79,31.6
73,79.0,,0.79,57.67
81,79.0,,0.79,63.99
78,79.0,,0.79,61.620000000000005
80,79.0,,0.79,63.2
61,79.0,,0.79,48.190000000000005
56,79.0,,0.79,44.24
39,81.0,False,0.81,31.590000000000003
74,81.0,,0.81,59.940000000000005
81,81.0,,0.81,65.61
84,81.0,,0.81,68.04
83,81.0,,0.81,67.23
62,81.0,,0.81,50.220000000000006
55,81.0,,0.81,44.550000000000004
43,87.0,False,0.87,37.41
80,87.0,,0.87,69.6
84,87.0,,0.87,73.08
97,87.0,,0.87,84.39
89,87.0,,0.87,77.42999999999999
80,87.0,,0.87,69.6
61,87.0,,0.87,53.07
42,87.0,False,0.87,36.54
91,87.0,,0.87,79.17
97,87.0,,0.87,84.39
100,87.0,,0.87,87.0
88,87.0,,0.87,76.56
73,87.0,,0.87,63.51
52,87.0,,0.87,45.24
42,83.0,False,0.83,34.86
50,83.0,,0.83,41.5
90,83.0,,0.83,74.7
96,83.0,,0.83,79.67999999999999
86,83.0,,0.83,71.38
77,83.0,,0.83,63.91
53,83.0,,0.83,43.989999999999995
42,88.0,False,0.88,36.96
91,88.0,,0.88,80.08
92,88.0,,0.88,80.96
88,88.0,,0.88,77.44
95,88.0,,0.88,83.6
79,88.0,,0.88,69.52
56,88.0,,0.88,49.28
40,92.0,False,0.92,36.800000000000004
91,92.0,,0.92,83.72
100,92.0,,0.92,92.0
93,92.0,,0.92,85.56
92,92.0,,0.92,84.64
76,92.0,,0.92,69.92
60,92.0,,0.92,55.2
48,93.0,False,0.93,44.64
92,93.0,,0.93,85.56
93,93.0,,0.93,86.49000000000001
91,93.0,,0.93,84.63000000000001
91,93.0,,0.93,84.63000000000001
72,93.0,,0.93,66.96000000000001
57,93.0,,0.93,53.010000000000005
42,88.0,False,0.88,36.96
82,88.0,,0.88,72.16
100,88.0,,0.88,88.0
95,88.0,,0.88,83.6
83,88.0,,0.88,73.04
71,88.0,,0.88,62.48
57,88.0,,0.88,50.160000000000004
42,82.0,False,0.82,34.44
81,82.0,,0.82,66.42
92,82.0,,0.82,75.44
79,82.0,,0.82,64.78
76,82.0,,0.82,62.31999999999999
67,82.0,,0.82,54.94
62,82.0,,0.82,50.839999999999996
44,87.0,False,0.87,38.28
76,87.0,,0.87,66.12
94,87.0,,0.87,81.78
96,87.0,,0.87,83.52
89,87.0,,0.87,77.42999999999999
79,87.0,,0.87,68.73
56,87.0,,0.87,48.72
44,88.0,False,0.88,38.72
92,88.0,,0.88,80.96
94,88.0,,0.88,82.72
99,88.0,,0.88,87.12
99,88.0,,0.88,87.12
75,88.0,,0.88,66.0
63,88.0,,0.88,55.44
45,87.0,False,0.87,39.15
88,87.0,,0.87,76.56
93,87.0,,0.87,80.91
86,87.0,,0.87,74.82
87,87.0,,0.87,75.69
83,87.0,,0.87,72.21
60,87.0,,0.87,52.2
53,80.0,False,0.8,42.400000000000006
92,80.0,,0.8,73.60000000000001
81,80.0,,0.8,64.8
62,80.0,,0.8,49.6
89,80.0,,0.8,71.2
77,80.0,,0.8,61.6
66,80.0,,0.8,52.800000000000004
47,87.0,False,0.87,40.89
80,87.0,,0.87,69.6
91,87.0,,0.87,79.17
100,87.0,,0.87,87.0
96,87.0,,0.87,83.52
87,87.0,,0.87,75.69
57,87.0,,0.87,49.589999999999996
47,90.0,False,0.9,42.300000000000004
95,90.0,,0.9,85.5
97,90.0,,0.9,87.3
97,90.0,,0.9,87.3
97,90.0,,0.9,87.3
85,90.0,,0.9,76.5
70,90.0,,0.9,63.0
47,65.0,False,0.65,30.55
94,65.0,,0.65,61.1
81,65.0,,0.65,52.65
72,65.0,,0.65,46.800000000000004
40,65.0,,0.65,26.0
45,65.0,,0.65,29.25
63,65.0,,0.65,40.95
43,93.0,False,0.93,39.99
78,93.0,,0.93,72.54
100,93.0,,0.93,93.0
91,93.0,,0.93,84.63000000000001
89,93.0,,0.93,82.77000000000001
79,93.0,,0.93,73.47
59,93.0,,0.93,54.870000000000005
45,90.0,False,0.9,40.5
85,90.0,,0.9,76.5
83,90.0,,0.9,74.7
90,90.0,,0.9,81.0
94,90.0,,0.9,84.60000000000001
72,90.0,,0.9,64.8
63,90.0,,0.9,56.7
42,85.0,False,0.85,35.699999999999996
77,85.0,,0.85,65.45
82,85.0,,0.85,69.7
80,85.0,,0.85,68.0
72,85.0,,0.85,61.199999999999996
69,85.0,,0.85,58.65
60,85.0,,0.85,51.0
44,57.0,False,0.57,25.08
58,57.0,,0.57,33.059999999999995
48,57.0,,0.57,27.36
30,57.0,,0.57,17.099999999999998
50,57.0,,0.57,28.499999999999996
50,57.0,,0.57,28.499999999999996
61,57.0,,0.57,34.769999999999996
38,65.0,False,0.65,24.7
57,65.0,,0.65,37.050000000000004
50,65.0,,0.65,32.5
37,65.0,,0.65,24.05
70,65.0,,0.65,45.5
67,65.0,,0.65,43.550000000000004
61,65.0,,0.65,39.65
43,89.0,False,0.89,38.27
74,89.0,,0.89,65.86
90,89.0,,0.89,80.1
82,89.0,,0.89,72.98
79,89.0,,0.89,70.31
79,89.0,,0.89,70.31
67,89.0,,0.89,59.63
46,91.0,False,0.91,41.86
85,91.0,,0.91,77.35000000000001
95,91.0,,0.91,86.45
93,91.0,,0.91,84.63000000000001
91,91.0,,0.91,82.81
78,91.0,,0.91,70.98
55,91.0,,0.91,50.050000000000004
52,90.0,False,0.9,46.800000000000004
60,90.0,,0.9,54.0
91,90.0,,0.9,81.9
95,90.0,,0.9,85.5
100,90.0,,0.9,90.0
90,90.0,,0.9,81.0
72,90.0,,0.9,64.8
48,93.0,False,0.93,44.64
91,93.0,,0.93,84.63000000000001
100,93.0,,0.93,93.0
96,93.0,,0.93,89.28
95,93.0,,0.93,88.35000000000001
87,93.0,,0.93,80.91000000000001
68,93.0,,0.93,63.24
53,96.0,False,0.96,50.879999999999995
89,96.0,,0.96,85.44
100,96.0,,0.96,96.0
94,96.0,,0.96,90.24
86,96.0,,0.96,82.56
83,96.0,,0.96,79.67999999999999
65,96.0,,0.96,62.4
55,96.0,False,0.96,52.8
85,96.0,,0.96,81.6
92,96.0,,0.96,88.32
94,96.0,,0.96,90.24
94,96.0,,0.96,90.24
78,96.0,,0.96,74.88
60,96.0,,0.96,57.599999999999994
48,95.0,False,0.95,45.599999999999994
69,95.0,,0.95,65.55
90,95.0,,0.95,85.5
95,95.0,,0.95,90.25
94,95.0,,0.95,89.3
89,95.0,,0.95,84.55
73,95.0,,0.95,69.35
50,100.0,False,1.0,50.0
91,100.0,,1.0,91.0
98,100.0,,1.0,98.0
100,100.0,,1.0,100.0
86,100.0,,1.0,86.0
81,100.0,,1.0,81.0
75,100.0,,1.0,75.0
52,95.0,False,0.95,49.4
89,95.0,,0.95,84.55
95,95.0,,0.95,90.25
95,95.0,,0.95,90.25
93,95.0,,0.95,88.35
87,95.0,,0.95,82.64999999999999
67,95.0,,0.95,63.65
50,94.0,False,0.94,47.0
87,94.0,,0.94,81.78
94,94.0,,0.94,88.36
100,94.0,,0.94,94.0
93,94.0,,0.94,87.42
76,94.0,,0.94,71.44
64,94.0,,0.94,60.16
46,94.0,False,0.94,43.239999999999995
91,94.0,,0.94,85.53999999999999
91,94.0,,0.94,85.53999999999999
92,94.0,,0.94,86.47999999999999
91,94.0,,0.94,85.53999999999999
80,94.0,,0.94,75.19999999999999
66,94.0,,0.94,62.04
50,89.0,False,0.89,44.5
86,89.0,,0.89,76.54
98,89.0,,0.89,87.22
87,89.0,,0.89,77.43
88,89.0,,0.89,78.32000000000001
79,89.0,,0.89,70.31
65,89.0,,0.89,57.85
46,92.0,False,0.92,42.32
82,92.0,,0.92,75.44
100,92.0,,0.92,92.0
92,92.0,,0.92,84.64
96,92.0,,0.92,88.32000000000001
77,92.0,,0.92,70.84
71,92.0,,0.92,65.32000000000001
48,87.0,False,0.87,41.76
88,87.0,,0.87,76.56
93,87.0,,0.87,80.91
96,87.0,,0.87,83.52
95,87.0,,0.87,82.65
78,87.0,,0.87,67.86
66,87.0,,0.87,57.42
46,88.0,False,0.88,40.48
88,88.0,,0.88,77.44
98,88.0,,0.88,86.24
94,88.0,,0.88,82.72
85,88.0,,0.88,74.8
69,88.0,,0.88,60.72
63,88.0,,0.88,55.44
44,88.0,False,0.88,38.72
82,88.0,,0.88,72.16
93,88.0,,0.88,81.84
96,88.0,,0.88,84.48
95,88.0,,0.88,83.6
79,88.0,,0.88,69.52
63,88.0,,0.88,55.44
52,92.0,False,0.92,47.84
99,92.0,,0.92,91.08
97,92.0,,0.92,89.24000000000001
97,92.0,,0.92,89.24000000000001
