Date,Adobe_unscaled,Adobe_monthly,isPartial,scale,Adobe
2023-07-18,83,75.0,,0.75,62.25
2023-07-19,88,75.0,,0.75,66.0
2023-07-20,85,75.0,,0.75,63.75
2023-07-21,72,75.0,,0.75,54.0
2023-07-22,58,75.0,,0.75,43.5
2023-07-23,46,79.0,False,0.79,36.34
2023-07-24,87,79.0,,0.79,68.73
2023-07-25,95,79.0,,0.79,75.05
2023-07-26,100,79.0,,0.79,79.0
2023-07-27,93,79.0,,0.79,73.47
2023-07-28,72,79.0,,0.79,56.88
2023-07-29,51,79.0,,0.79,40.29
2023-07-30,45,78.0,False,0.78,35.1
2023-07-31,81,78.0,,0.78,63.18
2023-08-01,90,78.0,,0.78,70.2
2023-08-02,81,78.0,,0.78,63.18
2023-08-03,80,78.0,,0.78,62.400000000000006
2023-08-04,70,78.0,,0.78,54.6
2023-08-05,54,78.0,,0.78,42.120000000000005
2023-08-06,41,76.0,False,0.76,31.16
2023-08-07,76,76.0,,0.76,57.76
2023-08-08,82,76.0,,0.76,62.32
2023-08-09,79,76.0,,0.76,60.04
2023-08-10,80,76.0,,0.76,60.8
2023-08-11,67,76.0,,0.76,50.92
2023-08-12,52,76.0,,0.76,39.52
2023-08-13,44,84.0,False,0.84,36.96
2023-08-14,84,84.0,,0.84,70.56
2023-08-15,84,84.0,,0.84,70.56
2023-08-16,87,84.0,,0.84,73.08
2023-08-17,87,84.0,,0.84,73.08
2023-08-18,77,84.0,,0.84,64.67999999999999
2023-08-19,53,84.0,,0.84,44.52
2023-08-20,46,90.0,False,0.9,41.4
2023-08-21,90,90.0,,0.9,81.0
2023-08-22,100,90.0,,0.9,90.0
2023-08-23,99,90.0,,0.9,89.10000000000001
2023-08-24,96,90.0,,0.9,86.4
2023-08-25,80,90.0,,0.9,72.0
2023-08-26,56,90.0,,0.9,50.4
2023-08-27,49,87.0,False,0.87,42.63
2023-08-28,92,87.0,,0.87,80.04
2023-08-29,97,87.0,,0.87,84.39
2023-08-30,97,87.0,,0.87,84.39
2023-08-31,95,87.0,,0.87,82.65
2023-09-01,84,87.0,,0.87,73.08
2023-09-02,61,87.0,,0.87,53.07
2023-09-03,43,82.0,False,0.82,35.26
2023-09-04,52,82.0,,0.82,42.64
2023-09-05,85,82.0,,0.82,69.7
2023-09-06,97,82.0,,0.82,79.53999999999999
2023-09-07,90,82.0,,0.82,73.8
2023-09-08,80,82.0,,0.82,65.6
2023-09-09,53,82.0,,0.82,43.46
2023-09-10,46,91.0,False,0.91,41.86
2023-09-11,84,91.0,,0.91,76.44
2023-09-12,97,91.0,,0.91,88.27
2023-09-13,96,91.0,,0.91,87.36
2023-09-14,100,91.0,,0.91,91.0
2023-09-15,83,91.0,,0.91,75.53
2023-09-16,56,91.0,,0.91,50.96
2023-09-17,47,82.0,False,0.82,38.54
2023-09-18,87,82.0,,0.82,71.33999999999999
2023-09-19,91,82.0,,0.82,74.61999999999999
2023-09-20,91,82.0,,0.82,74.61999999999999
2023-09-21,94,82.0,,0.82,77.08
2023-09-22,78,82.0,,0.82,63.959999999999994
2023-09-23,49,82.0,,0.82,40.18
2023-09-24,43,86.0,False,0.86,36.98
2023-09-25,86,86.0,,0.86,73.96
2023-09-26,92,86.0,,0.86,79.12
2023-09-27,95,86.0,,0.86,81.7
2023-09-28,93,86.0,,0.86,79.98
2023-09-29,74,86.0,,0.86,63.64
2023-09-30,55,86.0,,0.86,47.3
2023-10-01,46,83.0,False,0.83,38.18
2023-10-02,93,83.0,,0.83,77.19
2023-10-03,98,83.0,,0.83,81.33999999999999
2023-10-04,93,83.0,,0.83,77.19
2023-10-05,90,83.0,,0.83,74.7
2023-10-06,89,83.0,,0.83,73.86999999999999
2023-10-07,53,83.0,,0.83,43.989999999999995
2023-10-08,43,85.0,False,0.85,36.55
2023-10-09,80,85.0,,0.85,68.0
2023-10-10,100,85.0,,0.85,85.0
2023-10-11,98,85.0,,0.85,83.3
2023-10-12,98,85.0,,0.85,83.3
2023-10-13,79,85.0,,0.85,67.14999999999999
2023-10-14,49,85.0,,0.85,41.65
2023-10-15,51,85.0,False,0.85,43.35
2023-10-16,84,85.0,,0.85,71.39999999999999
2023-10-17,97,85.0,,0.85,82.45
2023-10-18,94,85.0,,0.85,79.89999999999999
2023-10-19,96,85.0,,0.85,81.6
2023-10-20,79,85.0,,0.85,67.14999999999999
2023-10-21,62,85.0,,0.85,52.7
2023-10-22,48,88.0,False,0.88,42.24
2023-10-23,88,88.0,,0.88,77.44
2023-10-24,95,88.0,,0.88,83.6
2023-10-25,99,88.0,,0.88,87.12
2023-10-26,96,88.0,,0.88,84.48
2023-10-27,81,88.0,,0.88,71.28
2023-10-28,51,88.0,,0.88,44.88
2023-10-29,44,83.0,False,0.83,36.52
2023-10-30,85,83.0,,0.83,70.55
2023-10-31,97,83.0,,0.83,80.50999999999999
2023-11-01,100,83.0,,0.83,83.0
2023-11-02,91,83.0,,0.83,75.53
2023-11-03,81,83.0,,0.83,67.22999999999999
2023-11-04,60,83.0,,0.83,49.8
2023-11-05,45,83.0,False,0.83,37.35
2023-11-06,88,83.0,,0.83,73.03999999999999
2023-11-07,91,83.0,,0.83,75.53
2023-11-08,88,83.0,,0.83,73.03999999999999
2023-11-09,86,83.0,,0.83,71.38
2023-11-10,70,83.0,,0.83,58.099999999999994
2023-11-11,58,83.0,,0.83,48.14
2023-11-12,45,83.0,False,0.83,37.35
2023-11-13,87,83.0,,0.83,72.21
2023-11-14,90,83.0,,0.83,74.7
2023-11-15,94,83.0,,0.83,78.02
2023-11-16,82,83.0,,0.83,68.06
2023-11-17,77,83.0,,0.83,63.91
2023-11-18,55,83.0,,0.83,45.65
2023-11-19,41,62.0,False,0.62,25.42
2023-11-20,80,62.0,,0.62,49.6
2023-11-21,79,62.0,,0.62,48.98
2023-11-22,62,62.0,,0.62,38.44
2023-11-23,38,62.0,,0.62,23.56
2023-11-24,43,62.0,,0.62,26.66
2023-11-25,53,62.0,,0.62,32.86
2023-11-26,44,80.0,False,0.8,35.2
2023-11-27,83,80.0,,0.8,66.4
2023-11-28,95,80.0,,0.8,76.0
2023-11-29,96,80.0,,0.8,76.80000000000001
2023-11-30,88,80.0,,0.8,70.4
2023-12-01,82,80.0,,0.8,65.60000000000001
2023-12-02,59,80.0,,0.8,47.2
2023-12-03,52,91.0,False,0.91,47.32
2023-12-04,95,91.0,,0.91,86.45
2023-12-05,97,91.0,,0.91,88.27
2023-12-06,93,91.0,,0.91,84.63000000000001
2023-12-07,95,91.0,,0.91,86.45
2023-12-08,90,91.0,,0.91,81.9
2023-12-09,59,91.0,,0.91,53.690000000000005
2023-12-10,44,84.0,False,0.84,36.96
2023-12-11,91,84.0,,0.84,76.44
2023-12-12,98,84.0,,0.84,82.32
2023-12-13,100,84.0,,0.84,84.0
2023-12-14,89,84.0,,0.84,74.75999999999999
2023-12-15,77,84.0,,0.84,64.67999999999999
2023-12-16,56,84.0,,0.84,47.04
2023-12-17,40,75.0,False,0.75,30.0
2023-12-18,92,75.0,,0.75,69.0
2023-12-19,83,75.0,,0.75,62.25
2023-12-20,75,75.0,,0.75,56.25
2023-12-21,71,75.0,,0.75,53.25
2023-12-22,59,75.0,,0.75,44.25
2023-12-23,50,75.0,,0.75,37.5
2023-12-24,34,57.0,False,0.57,19.38
2023-12-25,31,57.0,,0.57,17.669999999999998
2023-12-26,52,57.0,,0.57,29.639999999999997
2023-12-27,59,57.0,,0.57,33.629999999999995
2023-12-28,69,57.0,,0.57,39.33
2023-12-29,55,57.0,,0.57,31.35
2023-12-30,52,57.0,,0.57,29.639999999999997
2023-12-31,36,73.0,False,0.73,26.28
2024-01-01,35,73.0,,0.73,25.55
2024-01-02,70,73.0,,0.73,51.1
2024-01-03,80,73.0,,0.73,58.4
2024-01-04,78,73.0,,0.73,56.94
2024-01-05,74,73.0,,0.73,54.02
2024-01-06,57,73.0,,0.73,41.61
2024-01-07,45,88.0,False,0.88,39.6
2024-01-08,74,88.0,,0.88,65.12
2024-01-09,85,88.0,,0.88,74.8
2024-01-10,94,88.0,,0.88,82.72
2024-01-11,88,88.0,,0.88,77.44
2024-01-12,73,88.0,,0.88,64.24
2024-01-13,52,88.0,,0.88,45.76
2024-01-14,49,82.0,False,0.82,40.18
2024-01-15,53,82.0,,0.82,43.46
2024-01-16,81,82.0,,0.82,66.42
2024-01-17,90,82.0,,0.82,73.8
2024-01-18,92,82.0,,0.82,75.44
2024-01-19,79,82.0,,0.82,64.78
2024-01-20,54,82.0,,0.82,44.279999999999994
2024-01-21,44,92.0,False,0.92,40.48
2024-01-22,82,92.0,,0.92,75.44
2024-01-23,92,92.0,,0.92,84.64
2024-01-24,94,92.0,,0.92,86.48
2024-01-25,97,92.0,,0.92,89.24000000000001
2024-01-26,88,92.0,,0.92,80.96000000000001
2024-01-27,61,92.0,,0.92,56.120000000000005
2024-01-28,48,96.0,False,0.96,46.08
2024-01-29,91,96.0,,0.96,87.36
2024-01-30,100,96.0,,0.96,96.0
2024-01-31,100,96.0,,0.96,96.0
2024-02-01,100,96.0,,0.96,96.0
2024-02-02,89,96.0,,0.96,85.44
2024-02-03,59,96.0,,0.96,56.64
2024-02-04,48,95.0,False,0.95,45.599999999999994
2024-02-05,91,95.0,,0.95,86.45
2024-02-06,95,95.0,,0.95,90.25
2024-02-07,95,95.0,,0.95,90.25
2024-02-08,95,95.0,,0.95,90.25
2024-02-09,78,95.0,,0.95,74.1
2024-02-10,58,95.0,,0.95,55.099999999999994
2024-02-11,45,93.0,False,0.93,41.85
2024-02-12,78,93.0,,0.93,72.54
2024-02-13,95,93.0,,0.93,88.35000000000001
2024-02-14,92,93.0,,0.93,85.56
2024-02-15,89,93.0,,0.93,82.77000000000001
2024-02-16,87,93.0,,0.93,80.91000000000001
2024-02-17,54,93.0,,0.93,50.220000000000006
2024-02-18,48,92.0,False,0.92,44.16
2024-02-19,67,92.0,,0.92,61.64
2024-02-20,95,92.0,,0.92,87.4
2024-02-21,97,92.0,,0.92,89.24000000000001
2024-02-22,87,92.0,,0.92,80.04
2024-02-23,82,92.0,,0.92,75.44
2024-02-24,59,92.0,,0.92,54.28
2024-02-25,55,89.0,False,0.89,48.95
2024-02-26,93,89.0,,0.89,82.77
2024-02-27,92,89.0,,0.89,81.88
2024-02-28,91,89.0,,0.89,80.99
2024-02-29,89,89.0,,0.89,79.21000000000001
2024-03-01,83,89.0,,0.89,73.87
2024-03-02,58,89.0,,0.89,51.62
2024-03-03,46,90.0,False,0.9,41.4
2024-03-04,87,90.0,,0.9,78.3
2024-03-05,92,90.0,,0.9,82.8
2024-03-06,94,90.0,,0.9,84.60000000000001
2024-03-07,84,90.0,,0.9,75.60000000000001
2024-03-08,74,90.0,,0.9,66.60000000000001
2024-03-09,58,90.0,,0.9,52.2
2024-03-10,45,91.0,False,0.91,40.95
2024-03-11,83,91.0,,0.91,75.53
2024-03-12,92,91.0,,0.91,83.72
2024-03-13,90,91.0,,0.91,81.9
2024-03-14,94,91.0,,0.91,85.54
2024-03-15,83,91.0,,0.91,75.53
2024-03-16,60,91.0,,0.91,54.6
2024-03-17,50,89.0,False,0.89,44.5
2024-03-18,93,89.0,,0.89,82.77
2024-03-19,93,89.0,,0.89,82.77
2024-03-20,88,89.0,,0.89,78.32000000000001
2024-03-21,100,89.0,,0.89,89.0
2024-03-22,75,89.0,,0.89,66.75
2024-03-23,56,89.0,,0.89,49.84
2024-03-24,50,87.0,False,0.87,43.5
2024-03-25,91,87.0,,0.87,79.17
2024-03-26,97,87.0,,0.87,84.39
2024-03-27,98,87.0,,0.87,85.26
2024-03-28,84,87.0,,0.87,73.08
2024-03-29,65,87.0,,0.87,56.55
2024-03-30,55,87.0,,0.87,47.85
2024-03-31,43,91.0,False,0.91,39.13
2024-04-01,90,91.0,,0.91,81.9
2024-04-02,94,91.0,,0.91,85.54
2024-04-03,95,91.0,,0.91,86.45
2024-04-04,95,91.0,,0.91,86.45
2024-04-05,77,91.0,,0.91,70.07000000000001
2024-04-06,58,91.0,,0.91,52.78
2024-04-07,45,87.0,False,0.87,39.15
2024-04-08,71,87.0,,0.87,61.77
2024-04-09,92,87.0,,0.87,80.04
2024-04-10,96,87.0,,0.87,83.52
2024-04-11,95,87.0,,0.87,82.65
2024-04-12,79,87.0,,0.87,68.73
2024-04-13,57,87.0,,0.87,49.59
2024-04-14,48,86.0,False,0.86,41.28
2024-04-15,88,86.0,,0.86,75.67999999999999
2024-04-16,96,86.0,,0.86,82.56
2024-04-17,90,86.0,,0.86,77.4
2024-04-18,86,86.0,,0.86,73.96
2024-04-19,75,86.0,,0.86,64.5
2024-04-20,54,86.0,,0.86,46.44
2024-04-21,48,89.0,False,0.89,42.72
2024-04-22,89,89.0,,0.89,79.21000000000001
2024-04-23,92,89.0,,0.89,81.88
2024-04-24,100,89.0,,0.89,89.0
2024-04-25,94,89.0,,0.89,83.66
2024-04-26,79,89.0,,0.89,70.31
2024-04-27,60,89.0,,0.89,53.4
2024-04-28,53,85.0,False,0.85,45.05
2024-04-29,86,85.0,,0.85,73.1
2024-04-30,92,85.0,,0.85,78.2
2024-05-01,92,85.0,,0.85,78.2
2024-05-02,100,85.0,,0.85,85.0
2024-05-03,80,85.0,,0.85,68.0
2024-05-04,56,85.0,,0.85,47.6
2024-05-05,54,85.0,False,0.85,45.9
2024-05-06,92,85.0,,0.85,78.2
2024-05-07,97,85.0,,0.85,82.45
2024-05-08,91,85.0,,0.85,77.35
2024-05-09,95,85.0,,0.85,80.75
2024-05-10,85,85.0,,0.85,72.25
2024-05-11,58,85.0,,0.85,49.3
2024-05-12,45,85.0,False,0.85,38.25
2024-05-13,92,85.0,,0.85,78.2
2024-05-14,99,85.0,,0.85,84.14999999999999
2024-05-15,93,85.0,,0.85,79.05
2024-05-16,92,85.0,,0.85,78.2
2024-05-17,79,85.0,,0.85,67.14999999999999
2024-05-18,61,85.0,,0.85,51.85
2024-05-19,46,81.0,False,0.81,37.260000000000005
2024-05-20,82,81.0,,0.81,66.42
2024-05-21,86,81.0,,0.81,69.66000000000001
2024-05-22,86,81.0,,0.81,69.66000000000001
2024-05-23,91,81.0,,0.81,73.71000000000001
2024-05-24,74,81.0,,0.81,59.940000000000005
2024-05-25,64,81.0,,0.81,51.84
2024-05-26,46,77.0,False,0.77,35.42
2024-05-27,51,77.0,,0.77,39.27
2024-05-28,88,77.0,,0.77,67.76
2024-05-29,91,77.0,,0.77,70.07000000000001
2024-05-30,87,77.0,,0.77,66.99
2024-05-31,76,77.0,,0.77,58.52
2024-06-01,64,77.0,,0.77,49.28
2024-06-02,41,84.0,False,0.84,34.44
2024-06-03,81,84.0,,0.84,68.03999999999999
2024-06-04,91,84.0,,0.84,76.44
2024-06-05,90,84.0,,0.84,75.6
2024-06-06,89,84.0,,0.84,74.75999999999999
2024-06-07,78,84.0,,0.84,65.52
2024-06-08,68,84.0,,0.84,57.12
2024-06-09,50,85.0,False,0.85,42.5
2024-06-10,100,85.0,,0.85,85.0
2024-06-11,93,85.0,,0.85,79.05
2024-06-12,87,85.0,,0.85,73.95
2024-06-13,93,85.0,,0.85,79.05
2024-06-14,84,85.0,,0.85,71.39999999999999
2024-06-15,61,85.0,,0.85,51.85
2024-06-16,41,81.0,False,0.81,33.21
2024-06-17,91,81.0,,0.81,73.71000000000001
2024-06-18,95,81.0,,0.81,76.95
2024-06-19,71,81.0,,0.81,57.510000000000005
2024-06-20,81,81.0,,0.81,65.61
2024-06-21,75,81.0,,0.81,60.75000000000001
2024-06-22,55,81.0,,0.81,44.55
2024-06-23,46,82.0,False,0.82,37.72
2024-06-24,86,82.0,,0.82,70.52
2024-06-25,90,82.0,,0.82,73.8
2024-06-26,99,82.0,,0.82,81.17999999999999
2024-06-27,82,82.0,,0.82,67.24
2024-06-28,72,82.0,,0.82,59.04
2024-06-29,58,82.0,,0.82,47.559999999999995
2024-06-30,43,72.0,False,0.72,30.959999999999997
2024-07-01,87,72.0,,0.72,62.64
2024-07-02,90,72.0,,0.72,64.8
2024-07-03,74,72.0,,0.72,53.28
2024-07-04,46,72.0,,0.72,33.12
2024-07-05,62,72.0,,0.72,44.64
2024-07-06,61,72.0,,0.72,43.92
2024-07-07,45,75.0,False,0.75,33.75
2024-07-08,82,75.0,,0.75,61.5
2024-07-09,90,75.0,,0.75,67.5
2024-07-10,93,75.0,,0.75,69.75
2024-07-11,85,75.0,,0.75,63.75
2024-07-12,78,75.0,,0.75,58.5
2024-07-13,61,75.0,,0.75,45.75
2024-07-14,41,75.0,False,0.75,30.75
2024-07-15,79,75.0,,0.75,59.25
2024-07-16,88,75.0,,0.75,66.0
2024-07-17,93,75.0,,0.75,69.75
2024-07-18,83,75.0,,0.75,62.25
2024-07-19,72,75.0,,0.75,54.0
2024-07-20,63,75.0,,0.75,47.25
2024-07-21,50,79.0,False,0.79,39.5
2024-07-22,86,79.0,,0.79,67.94
2024-07-23,100,79.0,,0.79,79.0
2024-07-24,93,79.0,,0.79,73.47
2024-07-25,88,79.0,,0.79,69.52000000000001
2024-07-26,73,79.0,,0.79,57.67
2024-07-27,64,79.0,,0.79,50.56
2024-07-28,43,76.0,False,0.76,32.68
2024-07-29,76,76.0,,0.76,57.76
2024-07-30,91,76.0,,0.76,69.16
2024-07-31,91,76.0,,0.76,69.16
2024-08-01,81,76.0,,0.76,61.56
2024-08-02,70,76.0,,0.76,53.2
2024-08-03,56,76.0,,0.76,42.56
2024-08-04,40,79.0,False,0.79,31.6
2024-08-05,73,79.0,,0.79,57.67
2024-08-06,81,79.0,,0.79,63.99
2024-08-07,78,79.0,,0.79,61.620000000000005
2024-08-08,80,79.0,,0.79,63.2
2024-08-09,61,79.0,,0.79,48.190000000000005
2024-08-10,56,79.0,,0.79,44.24
2024-08-11,39,81.0,False,0.81,31.590000000000003
2024-08-12,74,81.0,,0.81,59.940000000000005
2024-08-13,81,81.0,,0.81,65.61
2024-08-14,84,81.0,,0.81,68.04
2024-08-15,83,81.0,,0.81,67.23
2024-08-16,62,81.0,,0.81,50.220000000000006
2024-08-17,55,81.0,,0.81,44.55
2024-08-18,43,87.0,False,0.87,37.41
2024-08-19,80,87.0,,0.87,69.6
2024-08-20,84,87.0,,0.87,73.08
2024-08-21,97,87.0,,0.87,84.39
2024-08-22,89,87.0,,0.87,77.42999999999999
2024-08-23,80,87.0,,0.87,69.6
2024-08-24,61,87.0,,0.87,53.07
2024-08-25,42,87.0,False,0.87,36.54
2024-08-26,91,87.0,,0.87,79.17
2024-08-27,97,87.0,,0.87,84.39
2024-08-28,100,87.0,,0.87,87.0
2024-08-29,88,87.0,,0.87,76.56
2024-08-30,73,87.0,,0.87,63.51
2024-08-31,52,87.0,,0.87,45.24
2024-09-01,42,83.0,False,0.83,34.86
2024-09-02,50,83.0,,0.83,41.5
2024-09-03,90,83.0,,0.83,74.7
2024-09-04,96,83.0,,0.83,79.67999999999999
2024-09-05,86,83.0,,0.83,71.38
2024-09-06,77,83.0,,0.83,63.91
2024-09-07,53,83.0,,0.83,43.989999999999995
2024-09-08,42,88.0,False,0.88,36.96
2024-09-09,91,88.0,,0.88,80.08
2024-09-10,92,88.0,,0.88,80.96
2024-09-11,88,88.0,,0.88,77.44
2024-09-12,95,88.0,,0.88,83.6
2024-09-13,79,88.0,,0.88,69.52
2024-09-14,56,88.0,,0.88,49.28
2024-09-15,40,92.0,False,0.92,36.8
2024-09-16,91,92.0,,0.92,83.72
2024-09-17,100,92.0,,0.92,92.0
2024-09-18,93,92.0,,0.92,85.56
2024-09-19,92,92.0,,0.92,84.64
2024-09-20,76,92.0,,0.92,69.92
2024-09-21,60,92.0,,0.92,55.2
2024-09-22,48,93.0,False,0.93,44.64
2024-09-23,92,93.0,,0.93,85.56
2024-09-24,93,93.0,,0.93,86.49000000000001
2024-09-25,91,93.0,,0.93,84.63000000000001
2024-09-26,91,93.0,,0.93,84.63000000000001
2024-09-27,72,93.0,,0.93,66.96000000000001
2024-09-28,57,93.0,,0.93,53.010000000000005
2024-09-29,42,88.0,False,0.88,36.96
2024-09-30,82,88.0,,0.88,72.16
2024-10-01,100,88.0,,0.88,88.0
2024-10-02,95,88.0,,0.88,83.6
2024-10-03,83,88.0,,0.88,73.04
2024-10-04,71,88.0,,0.88,62.48
2024-10-05,57,88.0,,0.88,50.16
2024-10-06,42,82.0,False,0.82,34.44
2024-10-07,81,82.0,,0.82,66.42
2024-10-08,92,82.0,,0.82,75.44
2024-10-09,79,82.0,,0.82,64.78
2024-10-10,76,82.0,,0.82,62.31999999999999
2024-10-11,67,82.0,,0.82,54.94
2024-10-12,62,82.0,,0.82,50.84
2024-10-13,44,87.0,False,0.87,38.28
2024-10-14,76,87.0,,0.87,66.12
2024-10-15,94,87.0,,0.87,81.78
2024-10-16,96,87.0,,0.87,83.52
2024-10-17,89,87.0,,0.87,77.42999999999999
2024-10-18,79,87.0,,0.87,68.73
2024-10-19,56,87.0,,0.87,48.72
2024-10-20,44,88.0,False,0.88,38.72
2024-10-21,92,88.0,,0.88,80.96
2024-10-22,94,88.0,,0.88,82.72
2024-10-23,99,88.0,,0.88,87.12
2024-10-24,99,88.0,,0.88,87.12
2024-10-25,75,88.0,,0.88,66.0
2024-10-26,63,88.0,,0.88,55.44
2024-10-27,45,87.0,False,0.87,39.15
2024-10-28,88,87.0,,0.87,76.56
2024-10-29,93,87.0,,0.87,80.91
2024-10-30,86,87.0,,0.87,74.82
2024-10-31,87,87.0,,0.87,75.69
2024-11-01,83,87.0,,0.87,72.21
2024-11-02,60,87.0,,0.87,52.2
2024-11-03,53,80.0,False,0.8,42.400000000000006
2024-11-04,92,80.0,,0.8,73.60000000000001
2024-11-05,81,80.0,,0.8,64.8
2024-11-06,62,80.0,,0.8,49.6
2024-11-07,89,80.0,,0.8,71.2
2024-11-08,77,80.0,,0.8,61.6
2024-11-09,66,80.0,,0.8,52.8
2024-11-10,47,87.0,False,0.87,40.89
2024-11-11,80,87.0,,0.87,69.6
2024-11-12,91,87.0,,0.87,79.17
2024-11-13,100,87.0,,0.87,87.0
2024-11-14,96,87.0,,0.87,83.52
2024-11-15,87,87.0,,0.87,75.69
2024-11-16,57,87.0,,0.87,49.59
2024-11-17,47,90.0,False,0.9,42.3
2024-11-18,95,90.0,,0.9,85.5
2024-11-19,97,90.0,,0.9,87.3
2024-11-20,97,90.0,,0.9,87.3
2024-11-21,97,90.0,,0.9,87.3
2024-11-22,85,90.0,,0.9,76.5
2024-11-23,70,90.0,,0.9,63.0
2024-11-24,47,65.0,False,0.65,30.55
2024-11-25,94,65.0,,0.65,61.1
2024-11-26,81,65.0,,0.65,52.65
2024-11-27,72,65.0,,0.65,46.8
2024-11-28,40,65.0,,0.65,26.0
2024-11-29,45,65.0,,0.65,29.25
2024-11-30,63,65.0,,0.65,40.95
2024-12-01,43,93.0,False,0.93,39.99
2024-12-02,78,93.0,,0.93,72.54
2024-12-03,100,93.0,,0.93,93.0
2024-12-04,91,93.0,,0.93,84.63000000000001
2024-12-05,89,93.0,,0.93,82.77000000000001
2024-12-06,79,93.0,,0.93,73.47
2024-12-07,59,93.0,,0.93,54.870000000000005
2024-12-08,45,90.0,False,0.9,40.5
2024-12-09,85,90.0,,0.9,76.5
2024-12-10,83,90.0,,0.9,74.7
2024-12-11,90,90.0,,0.9,81.0
2024-12-12,94,90.0,,0.9,84.60000000000001
2024-12-13,72,90.0,,0.9,64.8
2024-12-14,63,90.0,,0.9,56.7
2024-12-15,42,85.0,False,0.85,35.699999999999996
2024-12-16,77,85.0,,0.85,65.45
2024-12-17,82,85.0,,0.85,69.7
2024-12-18,80,85.0,,0.85,68.0
2024-12-19,72,85.0,,0.85,61.2
2024-12-20,69,85.0,,0.85,58.65
2024-12-21,60,85.0,,0.85,51.0
2024-12-22,44,57.0,False,0.57,25.08
2024-12-23,58,57.0,,0.57,33.059999999999995
2024-12-24,48,57.0,,0.57,27.36
2024-12-25,30,57.0,,0.57,17.099999999999998
2024-12-26,50,57.0,,0.57,28.499999999999996
2024-12-27,50,57.0,,0.57,28.499999999999996
2024-12-28,61,57.0,,0.57,34.769999999999996
2024-12-29,38,65.0,False,0.65,24.7
2024-12-30,57,65.0,,0.65,37.05
2024-12-31,50,65.0,,0.65,32.5
2025-01-01,37,65.0,,0.65,24.05
2025-01-02,70,65.0,,0.65,45.5
2025-01-03,67,65.0,,0.65,43.55
2025-01-04,61,65.0,,0.65,39.65
2025-01-05,43,89.0,False,0.89,38.27
2025-01-06,74,89.0,,0.89,65.86
2025-01-07,90,89.0,,0.89,80.1
2025-01-08,82,89.0,,0.89,72.98
2025-01-09,79,89.0,,0.89,70.31
2025-01-10,79,89.0,,0.89,70.31
2025-01-11,67,89.0,,0.89,59.63
2025-01-12,46,91.0,False,0.91,41.86
2025-01-13,85,91.0,,0.91,77.35000000000001
2025-01-14,95,91.0,,0.91,86.45
2025-01-15,93,91.0,,0.91,84.63000000000001
2025-01-16,91,91.0,,0.91,82.81
2025-01-17,78,91.0,,0.91,70.98
2025-01-18,55,91.0,,0.91,50.05
2025-01-19,52,90.0,False,0.9,46.8
2025-01-20,60,90.0,,0.9,54.0
2025-01-21,91,90.0,,0.9,81.9
2025-01-22,95,90.0,,0.9,85.5
2025-01-23,100,90.0,,0.9,90.0
2025-01-24,90,90.0,,0.9,81.0
2025-01-25,72,90.0,,0.9,64.8
2025-01-26,48,93.0,False,0.93,44.64
2025-01-27,91,93.0,,0.93,84.63000000000001
2025-01-28,100,93.0,,0.93,93.0
2025-01-29,96,93.0,,0.93,89.28
2025-01-30,95,93.0,,0.93,88.35000000000001
2025-01-31,87,93.0,,0.93,80.91000000000001
2025-02-01,68,93.0,,0.93,63.24
2025-02-02,53,96.0,False,0.96,50.879999999999995
2025-02-03,89,96.0,,0.96,85.44
2025-02-04,100,96.0,,0.96,96.0
2025-02-05,94,96.0,,0.96,90.24
2025-02-06,86,96.0,,0.96,82.56
2025-02-07,83,96.0,,0.96,79.67999999999999
2025-02-08,65,96.0,,0.96,62.4
2025-02-09,55,96.0,False,0.96,52.8
2025-02-10,85,96.0,,0.96,81.6
2025-02-11,92,96.0,,0.96,88.32
2025-02-12,94,96.0,,0.96,90.24
2025-02-13,94,96.0,,0.96,90.24
2025-02-14,78,96.0,,0.96,74.88
2025-02-15,60,96.0,,0.96,57.599999999999994
2025-02-16,48,95.0,False,0.95,45.599999999999994
2025-02-17,69,95.0,,0.95,65.55
2025-02-18,90,95.0,,0.95,85.5
2025-02-19,95,95.0,,0.95,90.25
2025-02-20,94,95.0,,0.95,89.3
2025-02-21,89,95.0,,0.95,84.55
2025-02-22,73,95.0,,0.95,69.35
2025-02-23,50,100.0,False,1.0,50.0
2025-02-24,91,100.0,,1.0,91.0
2025-02-25,98,100.0,,1.0,98.0
2025-02-26,100,100.0,,1.0,100.0
2025-02-27,86,100.0,,1.0,86.0
2025-02-28,81,100.0,,1.0,81.0
2025-03-01,75,100.0,,1.0,75.0
2025-03-02,52,95.0,False,0.95,49.4
2025-03-03,89,95.0,,0.95,84.55
2025-03-04,95,95.0,,0.95,90.25
2025-03-05,95,95.0,,0.95,90.25
2025-03-06,93,95.0,,0.95,88.35
2025-03-07,87,95.0,,0.95,82.64999999999999
2025-03-08,67,95.0,,0.95,63.65
2025-03-09,50,94.0,False,0.94,47.0
2025-03-10,87,94.0,,0.94,81.78
2025-03-11,94,94.0,,0.94,88.36
2025-03-12,100,94.0,,0.94,94.0
2025-03-13,93,94.0,,0.94,87.42
2025-03-14,76,94.0,,0.94,71.44
2025-03-15,64,94.0,,0.94,60.16
2025-03-16,46,94.0,False,0.94,43.239999999999995
2025-03-17,91,94.0,,0.94,85.53999999999999
2025-03-18,91,94.0,,0.94,85.53999999999999
2025-03-19,92,94.0,,0.94,86.47999999999999
