Date,Golden State Warriors,GoldenStateWarriors_adjusted,Rakuten,Rakuten_adjusted,United Airlines,UnitedAirlines_adjusted,JPMorgan Chase,JPMorganChase_adjusted,Article_Count,Rakuten_Count,UnitedAirlines_Count,Chase_Count,Win,Abs_Point_Difference,Hi_Points_Player,Hi_Points_Value,Hi_Rebounds_Player,Hi_Rebounds_Value,Hi_Assists_Player,Hi_Assists_Value,Curry_Hi_Points,Curry_Hi_Points_Value
2021-10-19,5.04,17.099999999999998,20.24,18.4,39.52,38.48,32.64,24.48,2.0,0.0,0.0,0.0,1.0,7.0,Curry,21.0,Bjelica,11.0,Curry,10.0,1.0,21.0
2021-10-20,17.099999999999998,6.84,18.4,18.630000000000003,38.48,38.48,24.48,25.840000000000003,0.0,0.0,0.0,0.0,,,,,,,,,,
2021-10-21,6.84,18.0,18.630000000000003,19.55,38.48,36.4,25.840000000000003,24.14,0.0,0.0,0.0,0.0,1.0,2.0,Curry,45.0,Curry,10.0,Green,7.0,1.0,45.0
2021-10-22,18.0,6.66,19.55,17.02,36.4,32.76,24.14,12.58,0.0,0.0,0.0,0.0,,,,,,,,,,
2021-10-23,6.66,6.4799999999999995,17.02,21.16,32.76,35.1,12.58,13.6,1.0,0.0,0.0,0.0,,,,,,,,,,
2021-10-24,6.4799999999999995,11.7,21.16,20.01,35.1,54.0,13.6,24.14,0.0,0.0,0.0,0.0,1.0,12.0,Curry,27.0,Porter Jr.,9.0,Curry,10.0,1.0,27.0
2021-10-25,11.7,5.76,20.01,23.0,54.0,42.120000000000005,24.14,24.48,1.0,0.0,0.0,0.0,,,,,,,,,,
2021-10-26,5.76,12.78,23.0,19.32,42.120000000000005,38.34,24.48,26.520000000000003,0.0,0.0,0.0,0.0,1.0,8.0,Curry,23.0,Green,9.0,Green,8.0,1.0,23.0
2021-10-27,12.78,6.12,19.32,18.86,38.34,39.42,26.520000000000003,24.82,0.0,0.0,0.0,0.0,,,,,,,,,,
2021-10-28,6.12,12.96,18.86,18.4,39.42,36.72,24.82,18.360000000000003,0.0,0.0,0.0,0.0,0.0,3.0,Curry,36.0,Green,12.0,Curry,8.0,1.0,36.0
2021-10-29,12.96,5.22,18.4,19.55,36.72,33.480000000000004,18.360000000000003,13.6,2.0,0.0,0.0,0.0,,,,,,,,,,
2021-10-30,5.22,8.8,19.55,23.4,33.480000000000004,36.0,13.6,9.1,1.0,0.0,0.0,0.0,1.0,21.0,Curry,20.0,Green,11.0,Green,8.0,1.0,20.0
2021-10-31,8.8,4.0,23.4,5.2,36.0,44.5,9.1,25.549999999999997,0.0,0.0,0.0,0.0,,,,,,,,,,
2021-11-01,4.0,3.68,5.2,5.46,44.5,43.0,25.549999999999997,35.0,1.0,0.0,0.0,0.0,,,,,,,,,,
2021-11-02,3.68,4.64,5.46,4.16,43.0,46.0,35.0,28.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2021-11-03,4.64,12.0,4.16,4.94,46.0,45.5,28.0,25.549999999999997,2.0,0.0,0.0,0.0,1.0,22.0,Poole,31.0,Green,10.0,Curry,9.0,0.0,
2021-11-04,12.0,4.64,4.94,5.46,45.5,42.0,25.549999999999997,22.049999999999997,1.0,0.0,0.0,0.0,,,,,,,,,,
2021-11-05,4.64,10.4,5.46,5.46,42.0,38.0,22.049999999999997,13.65,0.0,0.0,0.0,0.0,1.0,41.0,Poole,26.0,Green,8.0,Iguodala,10.0,0.0,
2021-11-06,10.4,8.16,5.46,6.3,38.0,39.36,13.65,12.6,1.0,0.0,0.0,1.0,,,,,,,,,,
2021-11-07,8.16,14.16,6.3,6.3,39.36,48.0,12.6,27.299999999999997,1.0,0.0,0.0,1.0,1.0,13.0,Poole,25.0,Porter Jr.,9.0,Green,9.0,0.0,
2021-11-08,14.16,18.24,6.3,6.3,48.0,46.559999999999995,27.299999999999997,27.65,1.0,0.0,0.0,0.0,1.0,14.0,Curry,50.0,Curry,7.0,Curry,10.0,1.0,50.0
2021-11-09,18.24,10.08,6.3,6.0,46.559999999999995,42.239999999999995,27.65,25.549999999999997,0.0,0.0,0.0,0.0,,,,,,,,,,
2021-11-10,10.08,18.72,6.0,7.8,42.239999999999995,43.68,25.549999999999997,21.0,0.0,0.0,0.0,0.0,1.0,13.0,Wiggins,35.0,Looney,17.0,Iguodala,8.0,0.0,
2021-11-11,18.72,8.879999999999999,7.8,6.8999999999999995,43.68,43.2,21.0,24.15,0.0,0.0,0.0,0.0,,,,,,,,,,
