Date,Golden State Warriors,GoldenStateWarriors_adjusted,Rakuten,Rakuten_adjusted,United Airlines,UnitedAirlines_adjusted,JPMorgan Chase,JPMorganChase_adjusted,Article_Count,Rakuten_Count,UnitedAirlines_Count,Chase_Count,Win,Abs_Point_Difference,Hi_Points_Player,Hi_Points_Value,Hi_Rebounds_Player,Hi_Rebounds_Value,Hi_Assists_Player,Hi_Assists_Value,Curry_Hi_Points,Curry_Hi_Points_Value
2020-12-22,4.8100000000000005,13.0,7.8,6.8999999999999995,31.04,29.76,27.839999999999996,26.97,3.0,0.0,0.0,0.0,0.0,26.0,Curry,20.0,Chriss,8.0,Curry,10.0,1.0,20.0
2020-12-23,13.0,3.25,6.8999999999999995,6.3,29.76,24.0,26.97,18.27,0.0,0.0,0.0,0.0,,,,,,,,,,
2020-12-24,3.25,9.36,6.3,6.6,24.0,19.84,18.27,8.12,0.0,0.0,0.0,0.0,,,,,,,,,,
2020-12-25,9.36,4.8100000000000005,6.6,8.1,19.84,25.28,8.12,8.41,0.0,0.0,0.0,0.0,0.0,39.0,Curry,19.0,Wiseman,8.0,Curry,6.0,1.0,19.0
2020-12-26,4.8100000000000005,3.08,8.1,8.120000000000001,25.28,23.7,8.41,10.85,0.0,0.0,0.0,0.0,,,,,,,,,,
2020-12-27,3.08,5.83,8.120000000000001,7.280000000000001,23.7,27.3,10.85,26.97,1.0,0.0,0.0,0.0,1.0,1.0,Curry,36.0,Oubre Jr.,11.0,Curry,6.0,1.0,36.0
2020-12-28,5.83,2.86,7.280000000000001,7.000000000000001,27.3,28.5,26.97,24.49,0.0,0.0,0.0,0.0,,,,,,,,,,
2020-12-29,2.86,5.06,7.000000000000001,6.44,28.5,24.9,24.49,25.11,0.0,0.0,0.0,0.0,1.0,10.0,Curry,31.0,Wiggins,7.0,Curry,6.0,1.0,31.0
2020-12-30,5.06,2.42,6.44,7.000000000000001,24.9,22.8,25.11,25.73,1.0,0.0,0.0,0.0,,,,,,,,,,
2020-12-31,2.42,2.97,7.000000000000001,25.480000000000004,22.8,21.3,25.73,15.81,0.0,0.0,0.0,0.0,,,,,,,,,,
2021-01-01,2.97,6.82,25.480000000000004,27.72,21.3,26.4,15.81,13.33,1.0,0.0,0.0,0.0,0.0,25.0,Curry,26.0,Curry,8.0,Curry,5.0,1.0,26.0
2021-01-02,6.82,3.5999999999999996,27.72,23.0,26.4,27.6,13.33,14.35,0.0,0.0,0.0,0.0,,,,,,,,,,
2021-01-03,3.5999999999999996,15.0,23.0,20.93,27.6,28.2,14.35,28.0,0.0,0.0,0.0,0.0,1.0,15.0,Curry,62.0,Wiseman,11.0,Green,8.0,1.0,62.0
2021-01-04,15.0,12.0,20.93,17.02,28.2,29.1,28.0,30.1,2.0,0.0,0.0,5.0,1.0,31.0,Curry,30.0,Curry,9.0,Curry,8.0,1.0,30.0
2021-01-05,12.0,4.2,17.02,16.1,29.1,25.5,30.1,24.15,0.0,0.0,0.0,0.0,,,,,,,,,,
2021-01-06,4.2,8.7,16.1,14.95,25.5,27.3,24.15,23.45,0.0,0.0,0.0,0.0,0.0,7.0,Paschall,19.0,Green,6.0,Green,6.0,0.0,
2021-01-07,8.7,3.5999999999999996,14.95,17.25,27.3,26.1,23.45,27.65,0.0,0.0,0.0,0.0,,,,,,,,,,
