Rakuten_unscaled,Rakuten_monthly,isPartial,scale,Rakuten
84,21.0,,0.21,17.64
84,21.0,,0.21,17.64
87,22.0,False,0.22,19.14
92,22.0,,0.22,20.24
100,22.0,,0.22,22.0
86,22.0,,0.22,18.92
93,22.0,,0.22,20.46
79,22.0,,0.22,17.38
84,22.0,,0.22,18.48
92,20.0,False,0.2,18.400000000000002
84,20.0,,0.2,16.8
88,20.0,,0.2,17.6
84,20.0,,0.2,16.8
90,20.0,,0.2,18.0
88,20.0,,0.2,17.6
71,20.0,,0.2,14.200000000000001
71,21.0,False,0.21,14.91
74,21.0,,0.21,15.54
77,21.0,,0.21,16.169999999999998
59,21.0,,0.21,12.389999999999999
75,21.0,,0.21,15.75
71,21.0,,0.21,14.91
66,21.0,,0.21,13.86
73,25.0,False,0.25,18.25
93,25.0,,0.25,23.25
92,25.0,,0.25,23.0
92,25.0,,0.25,23.0
80,25.0,,0.25,20.0
91,25.0,,0.25,22.75
93,25.0,,0.25,23.25
100,25.0,False,0.25,25.0
99,25.0,,0.25,24.75
83,25.0,,0.25,20.75
72,25.0,,0.25,18.0
66,25.0,,0.25,16.5
75,25.0,,0.25,18.75
69,25.0,,0.25,17.25
79,24.0,False,0.24,18.96
77,24.0,,0.24,18.48
77,24.0,,0.24,18.48
82,24.0,,0.24,19.68
78,24.0,,0.24,18.72
72,24.0,,0.24,17.28
89,24.0,,0.24,21.36
91,23.0,False,0.23,20.93
94,23.0,,0.23,21.62
92,23.0,,0.23,21.16
88,23.0,,0.23,20.240000000000002
82,23.0,,0.23,18.86
79,23.0,,0.23,18.17
76,23.0,,0.23,17.48
77,21.0,False,0.21,16.169999999999998
76,21.0,,0.21,15.959999999999999
83,21.0,,0.21,17.43
71,21.0,,0.21,14.91
90,21.0,,0.21,18.9
77,21.0,,0.21,16.169999999999998
74,21.0,,0.21,15.54
88,21.0,False,0.21,18.48
78,21.0,,0.21,16.38
79,21.0,,0.21,16.59
73,21.0,,0.21,15.33
86,21.0,,0.21,18.06
75,21.0,,0.21,15.75
69,21.0,,0.21,14.49
73,23.0,False,0.23,16.79
100,23.0,,0.23,23.0
94,23.0,,0.23,21.62
92,23.0,,0.23,21.16
76,23.0,,0.23,17.48
72,23.0,,0.23,16.560000000000002
75,23.0,,0.23,17.25
69,20.0,False,0.2,13.8
79,20.0,,0.2,15.8
75,20.0,,0.2,15.0
78,20.0,,0.2,15.600000000000001
88,20.0,,0.2,17.6
93,20.0,,0.2,18.6
93,20.0,,0.2,18.6
99,21.0,False,0.21,20.79
96,21.0,,0.21,20.16
91,21.0,,0.21,19.11
79,21.0,,0.21,16.59
100,21.0,,0.21,21.0
87,21.0,,0.21,18.27
89,21.0,,0.21,18.689999999999998
87,20.0,False,0.2,17.400000000000002
94,20.0,,0.2,18.8
96,20.0,,0.2,19.200000000000003
94,20.0,,0.2,18.8
83,20.0,,0.2,16.6
89,20.0,,0.2,17.8
84,20.0,,0.2,16.8
95,19.0,False,0.19,18.05
94,19.0,,0.19,17.86
89,19.0,,0.19,16.91
93,19.0,,0.19,17.67
83,19.0,,0.19,15.77
90,19.0,,0.19,17.1
66,19.0,,0.19,12.540000000000001
88,18.0,False,0.18,15.84
79,18.0,,0.18,14.219999999999999
91,18.0,,0.18,16.38
74,18.0,,0.18,13.32
83,18.0,,0.18,14.94
77,18.0,,0.18,13.86
66,18.0,,0.18,11.879999999999999
94,19.0,False,0.19,17.86
87,19.0,,0.19,16.53
88,19.0,,0.19,16.72
78,19.0,,0.19,14.82
88,19.0,,0.19,16.72
76,19.0,,0.19,14.44
79,19.0,,0.19,15.01
86,17.0,False,0.17,14.620000000000001
86,17.0,,0.17,14.620000000000001
74,17.0,,0.17,12.58
79,17.0,,0.17,13.430000000000001
79,17.0,,0.17,13.430000000000001
79,17.0,,0.17,13.430000000000001
76,17.0,,0.17,12.920000000000002
100,19.0,False,0.19,19.0
90,19.0,,0.19,17.1
88,19.0,,0.19,16.72
79,19.0,,0.19,15.01
84,19.0,,0.19,15.96
85,19.0,,0.19,16.15
77,19.0,,0.19,14.63
99,21.0,False,0.21,20.79
94,21.0,,0.21,19.74
93,21.0,,0.21,19.529999999999998
100,21.0,,0.21,21.0
90,21.0,,0.21,18.9
97,21.0,,0.21,20.37
86,21.0,,0.21,18.06
85,19.0,False,0.19,16.15
85,19.0,,0.19,16.15
82,19.0,,0.19,15.58
84,19.0,,0.19,15.96
82,19.0,,0.19,15.58
74,19.0,,0.19,14.06
79,19.0,,0.19,15.01
75,20.0,False,0.2,15.0
100,20.0,,0.2,20.0
87,20.0,,0.2,17.400000000000002
68,20.0,,0.2,13.600000000000001
77,20.0,,0.2,15.4
67,20.0,,0.2,13.4
69,20.0,,0.2,13.8
72,18.0,False,0.18,12.959999999999999
78,18.0,,0.18,14.04
75,18.0,,0.18,13.5
69,18.0,,0.18,12.42
66,18.0,,0.18,11.879999999999999
74,18.0,,0.18,13.32
72,18.0,,0.18,12.959999999999999
77,19.0,False,0.19,14.63
76,19.0,,0.19,14.44
81,19.0,,0.19,15.39
64,19.0,,0.19,12.16
79,19.0,,0.19,15.01
71,19.0,,0.19,13.49
79,19.0,,0.19,15.01
85,20.0,False,0.2,17.0
78,20.0,,0.2,15.600000000000001
83,20.0,,0.2,16.6
87,20.0,,0.2,17.400000000000002
82,20.0,,0.2,16.400000000000002
73,20.0,,0.2,14.600000000000001
76,20.0,,0.2,15.200000000000001
76,19.0,False,0.19,14.44
73,19.0,,0.19,13.870000000000001
71,19.0,,0.19,13.49
76,19.0,,0.19,14.44
72,19.0,,0.19,13.68
71,19.0,,0.19,13.49
70,19.0,,0.19,13.3
73,22.0,False,0.22,16.06
85,22.0,,0.22,18.7
80,22.0,,0.22,17.6
90,22.0,,0.22,19.8
85,22.0,,0.22,18.7
74,22.0,,0.22,16.28
81,22.0,,0.22,17.82
83,23.0,False,0.23,19.09
82,23.0,,0.23,18.86
88,23.0,,0.23,20.240000000000002
80,23.0,,0.23,18.400000000000002
81,23.0,,0.23,18.630000000000003
85,23.0,,0.23,19.55
74,23.0,,0.23,17.02
92,23.0,False,0.23,21.16
87,23.0,,0.23,20.01
100,23.0,,0.23,23.0
84,23.0,,0.23,19.32
82,23.0,,0.23,18.86
80,23.0,,0.23,18.400000000000002
85,23.0,,0.23,19.55
90,26.0,False,0.26,23.400000000000002
20,26.0,,0.26,5.2
21,26.0,,0.26,5.46
16,26.0,,0.26,4.16
19,26.0,,0.26,4.94
21,26.0,,0.26,5.46
21,26.0,,0.26,5.46
21,30.0,False,0.3,6.3
21,30.0,,0.3,6.3
21,30.0,,0.3,6.3
20,30.0,,0.3,6.0
26,30.0,,0.3,7.8
23,30.0,,0.3,6.8999999999999995
21,30.0,,0.3,6.3
24,31.0,False,0.31,7.4399999999999995
26,31.0,,0.31,8.06
23,31.0,,0.31,7.13
26,31.0,,0.31,8.06
24,31.0,,0.31,7.4399999999999995
24,31.0,,0.31,7.4399999999999995
27,31.0,,0.31,8.37
32,69.0,False,0.69,22.08
30,69.0,,0.69,20.7
34,69.0,,0.69,23.459999999999997
34,69.0,,0.69,23.459999999999997
56,69.0,,0.69,38.64
100,69.0,,0.69,69.0
75,69.0,,0.69,51.74999999999999
56,65.0,False,0.65,36.4
84,65.0,,0.65,54.6
71,65.0,,0.65,46.15
100,65.0,,0.65,65.0
80,65.0,,0.65,52.0
77,65.0,,0.65,50.050000000000004
81,65.0,,0.65,52.65
81,38.0,False,0.38,30.78
80,38.0,,0.38,30.4
81,38.0,,0.38,30.78
80,38.0,,0.38,30.4
81,38.0,,0.38,30.78
72,38.0,,0.38,27.36
71,38.0,,0.38,26.98
76,32.0,False,0.32,24.32
82,32.0,,0.32,26.240000000000002
72,32.0,,0.32,23.04
69,32.0,,0.32,22.080000000000002
66,32.0,,0.32,21.12
62,32.0,,0.32,19.84
55,32.0,,0.32,17.6
51,23.0,False,0.23,11.73
54,23.0,,0.23,12.42
54,23.0,,0.23,12.42
48,23.0,,0.23,11.040000000000001
46,23.0,,0.23,10.58
42,23.0,,0.23,9.66
34,23.0,,0.23,7.82
58,25.0,False,0.25,14.5
58,25.0,,0.25,14.5
44,25.0,,0.25,11.0
50,25.0,,0.25,12.5
45,25.0,,0.25,11.25
43,25.0,,0.25,10.75
37,25.0,,0.25,9.25
48,27.0,False,0.27,12.96
44,27.0,,0.27,11.88
55,27.0,,0.27,14.850000000000001
46,27.0,,0.27,12.420000000000002
39,27.0,,0.27,10.530000000000001
48,27.0,,0.27,12.96
43,27.0,,0.27,11.610000000000001
40,25.0,False,0.25,10.0
47,25.0,,0.25,11.75
43,25.0,,0.25,10.75
40,25.0,,0.25,10.0
49,25.0,,0.25,12.25
36,25.0,,0.25,9.0
42,25.0,,0.25,10.5
37,22.0,False,0.22,8.14
43,22.0,,0.22,9.46
40,22.0,,0.22,8.8
38,22.0,,0.22,8.36
35,22.0,,0.22,7.7
37,22.0,,0.22,8.14
42,22.0,,0.22,9.24
43,23.0,False,0.23,9.89
47,23.0,,0.23,10.81
37,23.0,,0.23,8.51
35,23.0,,0.23,8.05
37,23.0,,0.23,8.51
45,23.0,,0.23,10.35
43,23.0,,0.23,9.89
100,26.0,False,0.26,26.0
44,26.0,,0.26,11.440000000000001
44,26.0,,0.26,11.440000000000001
45,26.0,,0.26,11.700000000000001
46,26.0,,0.26,11.96
41,26.0,,0.26,10.66
43,26.0,,0.26,11.18
46,26.0,False,0.26,11.96
46,26.0,,0.26,11.96
48,26.0,,0.26,12.48
48,26.0,,0.26,12.48
51,26.0,,0.26,13.26
46,26.0,,0.26,11.96
54,26.0,,0.26,14.040000000000001
100,32.0,False,0.32,32.0
66,32.0,,0.32,21.12
58,32.0,,0.32,18.56
57,32.0,,0.32,18.240000000000002
53,32.0,,0.32,16.96
55,32.0,,0.32,17.6
57,32.0,,0.32,18.240000000000002
58,26.0,False,0.26,15.08
63,26.0,,0.26,16.38
53,26.0,,0.26,13.780000000000001
51,26.0,,0.26,13.26
48,26.0,,0.26,12.48
45,26.0,,0.26,11.700000000000001
46,26.0,,0.26,11.96
63,26.0,False,0.26,16.38
49,26.0,,0.26,12.74
95,26.0,,0.26,24.7
87,26.0,,0.26,22.62
83,26.0,,0.26,21.580000000000002
80,26.0,,0.26,20.8
77,26.0,,0.26,20.02
95,23.0,False,0.23,21.85
84,23.0,,0.23,19.32
83,23.0,,0.23,19.09
89,23.0,,0.23,20.470000000000002
82,23.0,,0.23,18.86
