title,date,excerpt,url,author
Warriors Assign Jonathan Kuminga to Santa Cruz,2021-11-06T06:45:33Z,"Golden State Warriors forward Jonathan Kuminga has been assigned to the team’s G League affiliate, the Santa Cruz Warriors, the team announced today. Kuminga has played in three games for Golden State this season, averaging 1.7 points and 1.0 rebounds in 5.0 minutes per game. The rookie forward scored 16 points to go along with four rebounds, two assists and two blocks in 30 minutes during Santa Cruz’s 110-88 victory over the NBA G League Ignite at Chase Center on Nov. 3.",https://www.nba.com/warriors/news/warriors-assign-kuminga-to-santa-cruz-20211105,Andy Fahey
"Warriors to Host Hoops for Troops Week, Presented by Pepsi",2021-11-04T21:30:00Z,"The Golden State Warriors will host Hoops for Troops Week, presented by Pepsi, with a variety of events and in-arena recognitions to honor United States military service members and veterans at home and abroad. Throughout Hoops for Troops Week, the Warriors and Pepsi will partner with local military groups to ensure military members, veterans, and their families are supported by developing skills and relationships needed to create strong connections in the Bay Area community.",https://www.nba.com/warriors/news/warriors-host-hoops-troops-week-presented-pepsi,Golden State Warriors
The Warriors and Oracle Launch New Technology Platform to Track Player Performance,2021-11-03T16:02:00Z,"The Golden State Warriors and Oracle today announced the launch of the Warriors Player Dashboard, powered by Oracle, a unique system that will provide Warriors players and coaches real-time statistics and integrated player performance data.",https://www.nba.com/warriors/news/warriors-and-oracle-launch-new-technology-platform-track-player-performance,Golden State Warriors
Warriors Assign Jonathan Kuminga and Moses Moody to Santa Cruz,2021-11-03T00:09:00Z,"Golden State Warriors forward Jonathan Kuminga and guard Moses Moody have been assigned to the team’s G League affiliate, the Santa Cruz Warriors, the team announced today.",https://www.nba.com/warriors/news/warriors-assign-jonathan-kuminga-and-moses-moody-santa-cruz,Golden State Warriors
James Wiseman Injury Update – 11/1/21,2021-11-01T19:30:00Z,"Warriors center James Wiseman , who underwent surgery on April 15 to repair a right meniscal tear, has been cleared to participate in full team practices. A timetable for his return to game action has not been determined. Wiseman suffered the injury on April 10 vs. Houston and missed the final 19 regular season games of the 2020-21 NBA season.",https://www.nba.com/warriors/news/james-wiseman-injury-update-11/1/21,Golden State Warriors
Warriors Recall Moses Moody from Santa Cruz,2021-10-30T22:09:00Z,"The Golden State Warriors have recalled guard Moses Moody from the team’s G League affiliate, the Santa Cruz Warriors, the team announced today. Moody recorded 17 points, four assists, two rebounds and three steals in 29 minutes during last night’s preseason game versus the Mexico City Capitanes in Santa Cruz. The Warriors fell to the Capitanes, 107-96.",https://www.nba.com/warriors/news/warriors-recall-moses-moody-santa-cruz,Golden State Warriors
Warriors Exercise Contract Options on Jordan Poole and James Wiseman,2021-10-29T20:09:00Z,"The Golden State Warriors have exercised the fourth-year contract option on guard Jordan Poole and third-year contract option on center James Wiseman , both of which are for the 2022-23 season, the team announced today.",https://www.nba.com/warriors/news/warriors-exercise-contract-options-jordan-poole-and-james-wiseman,Golden State Warriors
Warriors Assign Moses Moody to Santa Cruz,2021-10-29T18:24:00Z,"Golden State Warriors guard Moses Moody has been assigned to the team’s G League affiliate, the Santa Cruz Warriors, the team announced today.",https://www.nba.com/warriors/news/warriors-assign-moses-moody-santa-cruz,Golden State Warriors
Stephen Curry Named Western Conference Player of the Week,2021-10-25T19:30:00Z,"Golden State Warriors guard Stephen Curry has been named the Week 1 Western Conference Player of the Week, the NBA announced today. The award marks the 17th career weekly recognition for the 13-year veteran. Most Player of the Week Awards, Warriors History Player POW Awards",https://www.nba.com/warriors/news/stephen-curry-named-western-conference-player-week-20211025,Golden State Warriors
Jonathan Kuminga Injury Update – 10/23/21,2021-10-23T23:16:00Z,"Warriors forward Jonathan Kuminga , who suffered a strained right patellar tendon on October 6 in a preseason game against the Denver Nuggets, is making good progress and has been cleared to participate in full team practices. He will not play in the team’s next three games and will be re-evaluated again next Friday.",https://www.nba.com/warriors/news/jonathan-kuminga-injury-update-10/23/21,Golden State Warriors
Warriors 75th Anniversary Season,2021-10-19T21:58:00Z,"The Golden State Warriors are one of only three franchises in the NBA that can claim to have been around for the entirety of the league’s history. And, with the league and team’s 75th anniversary season beginning, there’s no better time to look back at how far the franchise has come. To celebrate the Warriors’ 75th anniversary, the Warriors have launched the @warriors75th Instagram account, which will pay homage to the franchise’s illustrious history all season long.",https://www.nba.com/warriors/news-blogs/warriors-75th-20211019,Golden State Warriors
Warriors Sign Gary Payton II To Contract,2021-10-19T17:15:00Z,"The Golden State Warriors have signed guard Gary Payton II to a contract, the team announced today. Per team policy, terms of the agreement were not released.",https://www.nba.com/warriors/news/warriors-sign-gary-payton-ii-contract,Golden State Warriors
Warriors Claim Jeff Dowtin Off Waivers,2021-10-18T22:41:00Z,"The Golden State Warriors have been awarded guard Jeff Dowtin off of waivers, the team announced today. Dowtin’s contract has been converted to a Two-Way deal.",https://www.nba.com/warriors/news/warriors-claim-jeff-dowtin-waivers,Golden State Warriors
Warriors Waive L.J. Figueroa and Axel Toupane,2021-10-16T20:30:00Z,"The Golden State Warriors have waived guard/forward L.J. Figueroa and forward Axel Toupane, the team announced today. Figueroa recorded one steal in three minutes during the Warriors 119-97 victory over the Trail Blazers on Friday night. He originally signed with the club as a free agent on October 13. Toupane, who signed with Golden State on October 15, did not appear in a game for the Warriors.",https://www.nba.com/warriors/news/warriors-waive-lj-figueroa-and-axel-toupane,Golden State Warriors
Warriors Sign Axel Toupane,2021-10-16T05:46:00Z,"The Golden State Warriors have signed free agent forward Axel Toupane , the team announced today.",https://www.nba.com/warriors/news/warriors-sign-axel-toupane,Golden State Warriors
"Warriors Waive Bell, Bradley, Mulder and Payton II",2021-10-16T05:39:00Z,"The Golden State Warriors have waived forward/center Jordan Bell, along with guards Avery Bradley, Mychal Mulder and Gary Payton II, the team announced today. Bell appeared in four preseason games for the Warriors, averaging 3.0 points and 1.5 rebounds in 8.3 minutes per game. He signed with Golden State as a free agent on September 24. Bradley averaged 4.3 points, 1.3 rebounds, 1.0 assist and 1.25 steals in 12.8 minutes over four preseason contests for Golden State. The guard signed with the Warriors as a free agent on September 24.",https://www.nba.com/warriors/news/bell-bradley-mulder-payton-waived-20211015,Andy Fahey
Warriors Sign L.J. Figueroa,2021-10-13T23:16:00Z,"The Golden State Warriors have signed free agent guard/forward L.J. Figueroa, the team announced today. Figueroa, 23, appeared in 26 games (21 starts) during his senior season at the University of Oregon in 2020-21, averaging 12.3 points, a team-high 6.1 rebounds and 1.58 steals. The 6’6” guard/forward began his collegiate career at Odessa College where he was named the Western Junior College Athletic Conference Player of the Year and Freshman of the Year. He transferred to St John’s for his sophomore and junior seasons. Figueroa went unselected in the 2021 NBA Draft.",https://www.nba.com/warriors/news/warriors-sign-lj-figueroa,Golden State Warriors
Warriors Waive Guard Quinndary Weatherspoon,2021-10-13T21:00:00Z,"The Golden State Warriors have waived guard Quinndary Weatherspoon, the team announced today. Weatherspoon originally signed with Golden State on October 11 and played one minute in last night’s 111-99 preseason victory against the Lakers in Los Angeles.",https://www.nba.com/warriors/news/warriors-waive-guard-quinndary-weatherspoon,Golden State Warriors
Warriors to Offer No Ticket Fees for October and November Home Games ,2021-10-13T20:15:00Z,"The Golden State Warriors are partnering with Ticketmaster to eliminate single-game ticket fees for all October and November home games, it was announced today. Beginning today at 2 p.m. through Saturday, October 16, at 5 p.m., online service fees will be waived for ticket purchases for all 12 Warriors home games during the months of October and November. The no fee offer does not include resale tickets.",https://www.nba.com/warriors/news/warriors-offer-no-ticket-fees-october-and-november-home-games,Golden State Warriors
Warriors Sign Quinndary Weatherspoon,2021-10-11T17:50:00Z,"The Golden State Warriors have signed free agent guard Quinndary Weatherspoon , the team announced today.",https://www.nba.com/warriors/news/warriors-sign-quinndary-weatherspoon,Golden State Warriors
"Warriors, United Airlines Select Small Businesses to Participate in Franchise Fund",2021-10-08T16:29:00Z,"The Golden State Warriors and United Airlines have selected several small businesses to participate in Franchise Fund, a four-month program designed to support minority-owned Bay Area businesses, it was announced today. The full list of businesses, which includes Mansfield &amp; Mansfield Construction Clean-Up Co. Site Support and All Phase Electrical Incorporated, can be viewed HERE .",https://www.nba.com/warriors/news/warriors-united-airlines-franchise-fund-20211008,Golden State Warriors
"Warriors To Host Open Practice, Presented by Chase, on Saturday, October 9",2021-10-01T17:30:00Z,"The Golden State Warriors will host Open Practice, presented by Chase, at Chase Center on Saturday, October 9, at 11:30 a.m., giving fans a rare, behind-the-scenes look at a Warriors team practice. Tickets for Open Practice will go on sale on Monday, October 4, beginning at 2 p.m. on warriors.com . All tickets are $5, with proceeds benefitting the Warriors Community Foundation.",https://www.nba.com/warriors/news/warriors-host-open-practice-presented-chase-saturday-october-9,Golden State Warriors
Warriors Announce Basketball Operations Promotions & Additions ,2021-09-30T18:55:00Z,"The Golden State Warriors have announced the following promotions within the team’s basketball operations department: Mike Dunleavy Jr. as Vice President, Basketball Operations; Nick U’Ren as Executive Director, Basketball Operations and Zaza Pachulia as Liaison, Basketball and Business.",https://www.nba.com/warriors/news/warriors-announce-basketball-operations-promotions-additions,Golden State Warriors
"Warriors Announce Roster for 2021-22 Training Camp, Fueled by Gatorade",2021-09-24T16:25:00Z,"The Golden State Warriors have finalized their training camp roster ahead of the team’s 2021-22 Training Camp, Fueled by Gatorade, set to begin Tuesday at the Oracle Performance Center located inside Chase Center. The team also announced the signing of free agent forward Jordan Bell, along with guards Avery Bradley and Langston Galloway.",https://www.nba.com/warriors/news/202122-training-camp-roster,Golden State Warriors
Warriors Announce 2021-22 Television and Radio Broadcast Schedules,2021-09-21T18:20:00Z,"For the 13th straight season, every regular season Golden State Warriors game will be available on television and radio, the team announced today.",https://www.nba.com/warriors/news/2122-broadcast-schedule,Golden State Warriors
Klay Thompson and James Wiseman Injury Updates - 9/20/21,2021-09-20T23:03:02Z,"Golden State Warriors guard Klay Thompson, who has missed the last two seasons due to a torn left ACL and a torn right Achilles, has made good progress during his rehabilitation over the course of the summer and is on pace to return for the 2021-22 season. The exact time for his return this season will be based on his continued progress. Thompson, who underwent surgery on his right Achilles on November 25, 2020, is expected to participate in various controlled drills during training camp. His return to full practices will be determined at a later date.",https://www.nba.com/warriors/news/thompson-wiseman-updates-20210920,Golden State Warriors
Warriors Issue Fraud Alert For 2021-22 NBA Season Single Game Tickets,2021-09-13T22:21:43Z,"With single-game tickets for the 2021-22 NBA season going on sale tomorrow, the Golden State Warriors have issued a fraud alert warning fans about the potential dangers of purchasing single-game tickets from a non-verified third party. Since the 2017-18 NBA season, the Warriors have seen nearly 2,000 fans denied access to home games due to counterfeit tickets purchased from non-verified third-party vendors.",https://www.nba.com/warriors/news/ticket-fraud-alert-20210913,Golden State Warriors
Warriors Single-Game Tickets for the 2021-22 NBA Season Available Tomorrow During Exclusive Presale Events,2021-09-13T19:00:00Z,"The Golden State Warriors announced today that single-game tickets for the 2021-22 NBA season will go on sale beginning tomorrow, Tuesday, September 14 with exclusive presale events before single-game options are made available to the general public on Thursday, September 16, at 10 a.m. (all times Pacific). Single-game tickets may be purchased by visiting warriors.com, calling 1-888-GSW-HOOP or at Chase Center’s box office. The Warriors will host various theme nights and giveaways throughout the 2021-22 regular season, including:",https://www.nba.com/warriors/news/single-game-tickets-20210913,Golden State Warriors
Chase Center Announces Updated Health and Safety Entry Requirements,2021-09-13T16:41:16Z,"The Golden State Warriors and Chase Center announced updated details today regarding the venue’s entry requirements, as mandated by the City and County of San Francisco Department of Public Health order issued on August 12, 2021. The order, as clarified by the City and County of San Francisco on September 10, states that fans ages 12 and older are required to show proof of full vaccination to enter the venue for events with more than 1,000 attendees, regardless of any extenuating circumstances.",https://www.nba.com/warriors/news/chase-center-updated-health-safety-entry-requirements-20210913,Andy Fahey
Warriors and American Red Cross to Host Thrive City Community Blood Drive on Sept. 7,2021-09-01T00:09:40Z,"The Golden State Warriors and the American Red Cross are teaming up to host a Thrive City Community Blood Drive for patients in need of lifesaving blood transfusions on Tuesday, September 7, from 10 a.m. to 4 p.m. The blood drive, which will be held at Thrive City, the plaza surrounding Chase Center, aims to attract a diverse group of blood donors, some of whom may be able to help patients with different illnesses or inherited diseases, such as sickle cell anemia.",https://www.nba.com/warriors/news/warriors-and-american-red-cross-host-thrive-city-community-blood-drive-sept-7,Andy Fahey
Warriors Announce 2021 Preseason Schedule,2021-08-25T20:48:00Z,"The Golden State Warriors will host three games at Chase Center as part of a five-game preseason slate to tip-off the 2021-22 season, presented by Kaiser Permanente, the team announced today.",https://www.nba.com/warriors/news/preseason-schedule-20210825,Golden State Warriors
Warriors Issue Fraud Alert For 2021-22 NBA Season Single Game Tickets,2021-08-20T20:15:00Z,"The Golden State Warriors have issued a fraud alert warning fans about the potential dangers of purchasing single-game tickets from a non-verified third party, the team announced today. Since the 2017-18 NBA season, the Warriors have seen nearly 2,000 fans denied access to home games due to counterfeit tickets purchased from non-verified third-party vendors.",https://www.nba.com/warriors/news/ticket-fraud-alert-20210820,Golden State Warriors
